"reference","instanceType","name","uuid:ID","label","id","synonyms"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","2f0d124b-8ed1-4e1b-bfa1-0002bfd286b3","Informed Consent Obtained","BiomedicalConcept_20","['Informed Consent Obtained', 'Informed Consent']"
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","b57ccfbc-483b-42aa-aba6-f00a3a4fb916","Sex","BiomedicalConcept_21",""
"/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","4dfb6203-9411-4204-b667-b4cda9d93b23","Race","BiomedicalConcept_22","['Racial Group']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","0d3b4a2e-65c0-4412-9526-f396e7f8be6d","Temperature","BiomedicalConcept_23","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","9d23e306-cb09-4a60-94ab-25049f503d8b","Weight","BiomedicalConcept_24","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","5ea5ffec-aa76-4843-be94-7194767f58d6","Height","BiomedicalConcept_25","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","06608bda-a657-4aaa-8f91-465803549060","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","b5eed0ad-019f-4b15-a757-767e1cda365c","Albumin Presence in Urine","BiomedicalConcept_27","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","2b959f72-9caa-4a44-bd27-fbf982a2ef3b","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","8876c57a-d73e-401a-820a-1647691dd05d","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","2886ef4d-4132-44b2-b92b-b39a72fb0eed","Creatinine Concentration in Urine","BiomedicalConcept_30","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","de1444d3-3397-4e7c-bb14-babd6f1c3e12","Potassium Concentration in Urine","BiomedicalConcept_31","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","6a94ca4e-893a-449d-bc48-99f1c2445db2","Sodium Concentration in Urine","BiomedicalConcept_32","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","487ce1a6-d7a8-4c8f-8191-c15650064663","Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","898ce491-9d98-4cd9-bbb7-a7358e13671a","Adverse Event Prespecified","BiomedicalConcept_1","['Adverse Event', 'Solicited Adverse Event']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","828aae7d-a60d-4432-87e8-1f5a5a63feaa","Systolic Blood Pressure","BiomedicalConcept_2","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","551f2ac0-7983-4c48-98fa-2cbb43f09b6d","Diastolic Blood Pressure","BiomedicalConcept_3","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","44cac96e-5fd3-4b9a-b37b-fb3ade43f50e","Temperature","BiomedicalConcept_4","['Temperature', 'Body Temperature']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","92bed3ec-b9b1-4136-b6be-1befd6cdef55","Weight","BiomedicalConcept_5","['Weight', 'Body Weight']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","9dbbf9a6-ab69-4ae9-a08d-1e6df024fbcd","Height","BiomedicalConcept_6","['Height', 'Body Height']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","77763680-bc65-485b-9c9b-2374c748a55f","Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","b5d51466-0564-42cb-8b34-8a3c78b4ba11","Albumin Presence in Urine","BiomedicalConcept_8","['Albumin', 'Albumin Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","ab72c72a-5e46-448c-8058-97876c2ef022","Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","e93cddb6-18c6-4051-a158-e6032063e941","Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","1dec9bbd-b3c6-4355-a874-015f9d212a62","Creatinine Concentration in Urine","BiomedicalConcept_11","['Creatinine', 'Creatinine Measurement']"
"/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","71ea0c26-88df-4a43-844e-38a4c6c507c1","Potassium Concentration in Urine","BiomedicalConcept_12","['Potassium', 'K', 'Potassium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","e25dd42c-2501-4fb8-a0ef-aa37aa9c7407","Sodium Concentration in Urine","BiomedicalConcept_13","['Sodium', 'NA', 'Sodium Measurement']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","2b72b66a-edba-4238-8820-b4ea843560aa","Systolic Blood Pressure","BiomedicalConcept_14","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","9740c381-56a6-4bdc-b26f-e3f87a1105d2","Diastolic Blood Pressure","BiomedicalConcept_15","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","d178cfc1-9bbb-45d0-a178-31d708858d0c","Heart Rate","BiomedicalConcept_16","['Heart Rate']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","a206cf9a-7f7e-4fed-a685-08273601e46f","Systolic Blood Pressure","BiomedicalConcept_17","['SYSBP', 'Systolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","2bc6eb57-e649-4d09-a30d-7c3deda83e02","Diastolic Blood Pressure","BiomedicalConcept_18","['DIABP', 'Diastolic Blood Pressure']"
"/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","6d0820f9-c998-4e66-a1e2-a76ab4ce28c8","Heart Rate","BiomedicalConcept_19","['Heart Rate']"
