"windowLabel","valueLabel","value","description","instanceType","name","uuid:ID","windowLower","windowUpper","label","id"
"","2 weeks","P2W","Screening timing","Timing","TIM1","33faf607-39e2-4ee4-b105-e7190beb187e","","","Screening","Timing_1"
"-4..0 hours","2 days","P2D","Pre dose timing","Timing","TIM2","162c50e9-7091-460c-80a9-d4ae93896a96","PT4H","PT0H","Pre dose","Timing_2"
"","1 Day","P1D","Dosing anchor","Timing","TIM3","238360ac-d92a-4b32-abfb-697183b636fe","","","Dosing","Timing_3"
"-3..3 days","2 Weeks","P2W","Week 2 timing","Timing","TIM4","d1a5336a-62b4-43d4-a1bc-c1b5ad4591b9","P3D","P3D","Week 2","Timing_4"
"-3..3 days","4 Weeks","P4W","Week 4 timing","Timing","TIM5","cfe5df91-21fd-4f77-a301-87549fdaa3c6","P3D","P3D","Week 4","Timing_5"
"-3..3 days","6 Weeks","P6W","Week 6 timing","Timing","TIM6","e4d7c63d-8d0e-4319-b2b5-c97c872758e1","P3D","P3D","Week 6","Timing_6"
"-3..3 days","8 Weeks","P8W","Week 8 timing","Timing","TIM7","b62faeb3-6e6f-4341-94f8-4e975f4c7858","P3D","P3D","Week 8","Timing_7"
"-4..4 days","12 Weeks","P12W","Week 12 timing","Timing","TIM9","249f7082-dd4c-40da-a4bf-ca3a5cc06143","P4D","P4D","Week 12","Timing_9"
"-4..4 days","16 Weeks","P16W","Week 16 timing","Timing","TIM11","a3b34408-d886-40e4-a783-8fd6bb2782c4","P4D","P4D","Week 16","Timing_11"
"-4..4 days","20 Weeks","P20W","Week 20 timing","Timing","TIM13","de87e707-39c9-4fe2-a2a7-4ed41a82189f","P4D","P4D","Week 20","Timing_13"
"-4..4 days","24 Weeks","P24W","Week 24 timing","Timing","TIM15","5ac87a53-7735-46d7-aabb-6e9cdbfd1133","P4D","P4D","Week 24","Timing_15"
"-3..3 days","26 Weeks","P26W","Week 26 timing","Timing","TIM16","dc96d3a5-cb28-4ee0-a91e-0983d4ef1cb0","P3D","P3D","Week 26","Timing_16"
"","2 Weeks","P2W","Week 8 at home timing","Timing","TIM8","6d839553-2f59-4436-b669-9a16843835fc","","","Week 8 Home","Timing_8"
"","2 Weeks","P2W","Week 12 at home timing","Timing","TIM10","953575fa-8a0d-48fd-9e75-9e7882df82dc","","","Week 12 Home","Timing_10"
"","2 Weeks","P2W","Week 16 at home timing","Timing","TIM12","c7bf1df6-3ca4-4c5f-823b-ca58807f1e73","","","Week 16 Home","Timing_12"
"","2 Weeks","P2W","Week 20 at home timing","Timing","TIM14","eef48bc6-745a-45dc-bdc6-2d2c232f26b4","","","Week 20 Home","Timing_14"
"","1 Day","P1D","Adverse Event","Timing","TIM17","e6becf40-fd0f-4a98-9b27-90a51c7727c8","","","Adverse Event","Timing_17"
"","1 Day","P1D","Early Termination","Timing","TIM18","d785114e-9135-4d16-96da-030cde38c73d","","","Early Termination","Timing_18"
"","0 mins","PT0M","Supine","Timing","TIM19","ee9461ce-6be7-467c-a2b0-d5a9533ec0ba","","","Supine","Timing_19"
"","5 mins","PT5M","VS while supine","Timing","TIM20","ed6a33c7-6c20-448c-991a-1f226e79a75c","","","VS while supine","Timing_20"
"","0 min","PT0M","Standing","Timing","TIM21","65980903-1cf6-4243-b87a-af66ad601460","","","Standing","Timing_21"
"","1 min","PT1M","VS while standing","Timing","TIM22","d0a78df1-4c0f-4ae1-8ff4-bddce8230c94","","","VS while standing","Timing_22"
"","0 min","PT0M","Standing","Timing","TIM23","5e1883eb-eeec-4bf3-b86d-961479b34fee","","","Standing","Timing_23"
"","2 min","PT2M","VS while standing","Timing","TIM24","0c93cdc6-3894-4831-b706-bf678ae1bd7a","","","VS while standing","Timing_24"
