"id","uuid:ID","name","text","instanceType"
"TransitionRule_1","2acc2be9-12f3-46fb-b77e-4b9c13d4d79b","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule"
"TransitionRule_2","5a11b923-a6be-4631-937b-c00d294405c7","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule"
"TransitionRule_3","adb182d1-3fdc-496e-b076-41ec938c933a","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","f0f23dd8-0dbe-4341-a311-495775ea8e01","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","944303a3-fb03-4a9a-af06-d2eec0d30327","ENCOUNTER_START_RULE_3","Radomized","TransitionRule"
"TransitionRule_6","7e0dc7ac-443a-4019-889f-2981c05449a8","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule"
"TransitionRule_7","8fc717b5-2294-4ea4-a76e-677a42cb8d4c","ELEMENT_START_RULE_1","Informed consent","TransitionRule"
"TransitionRule_8","c4e53a80-a68b-460a-a671-496b2dc916c9","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","d9cc73ef-1b15-4a03-b826-05c061a1653f","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule"
"TransitionRule_14","67bfd883-5ba7-4c94-b6e5-3a3d53f8c651","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","5724167d-884c-43d1-8db4-aee6e1a3de80","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","edd2009a-c694-472e-91b7-e25177dadc13","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule"
"TransitionRule_11","0697a389-6fce-43e1-bd38-9efcfd4b7b6d","ELEMENT_START_RULE_4","Randomized","TransitionRule"
"TransitionRule_12","22625b7f-3f4c-4062-9d67-260843fcdb06","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","c9531626-a4c1-4606-9e5d-2086a2d1091c","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
