"purpose","description","instanceType","name","uuid:ID","label","text","id"
"","","Endpoint","END1","5c8bbe36-422f-4fe4-b5c1-e30cde1aab05","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1"
"","","Endpoint","END2","66df8c45-dcae-47ca-be41-1b029ebb1306","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2"
"","","Endpoint","END3","84b57ea1-a04e-4fa5-98c2-94741d22f358","","Adverse events","Endpoint_3"
"","","Endpoint","END4","72774eb4-4180-4668-89b0-f8d166951e9c","","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4"
"","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint","END5","d03d3ea9-3a75-4887-b46a-de1cf571c3c7","","Laboratory evaluations (Change from Baseline)","Endpoint_5"
"","","Endpoint","END6","1b7bc103-5726-4192-88c1-7f801e5d319a","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6"
"","","Endpoint","END7","efbe16d9-06a5-4068-a0fe-c8f8eb1a2d96","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7"
"","","Endpoint","END8","c213e3bb-1f34-4590-b84c-b09b39f13037","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8"
"","","Endpoint","END9","cc450c94-a348-480a-86db-f2a0bb51c713","","*** To be determined from protocol ***","Endpoint_9"
"","","Endpoint","END10","606c69f8-e979-4653-9f86-f51467c78fb1","","*** To be determined from protocol ***","Endpoint_10"
"","","Endpoint","END11","40c7247f-8dbf-4432-bedf-348a345ec6be","","*** To be determined from protocol ***","Endpoint_11"
