"id","name","uuid:ID","instanceType","text"
"TransitionRule_1","ENCOUNTER_START_RULE_1","d5783107-aff9-44ca-9db6-92e994d8c7b3","TransitionRule","Subject identifier"
"TransitionRule_2","ENCOUNTER_START_RULE_1","ba07cefd-0572-4bc9-b93b-334feddaf2be","TransitionRule","completion of screening activities"
"TransitionRule_3","ENCOUNTER_START_RULE_2","2a1bf2f5-5ede-4ace-9560-cd230b2e665a","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","ENCOUNTER_START_RULE_3","75b0830d-aa83-4a25-9768-616df9d477f7","TransitionRule","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","ENCOUNTER_START_RULE_3","ac73af34-9a54-443c-a534-985a1b2f39d1","TransitionRule","Radomized"
"TransitionRule_6","ENCOUNTER_START_RULE_12","75e07147-56f3-477d-9fea-1c6a2bc28c8b","TransitionRule","End of treatment"
"TransitionRule_7","ELEMENT_START_RULE_1","25a3dffd-159f-4e0a-928c-8fa99183db2b","TransitionRule","Informed consent"
"TransitionRule_8","ELEMENT_END_RULE_1","03322cbe-7a10-4183-ac5a-bfc751ae9c06","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","ELEMENT_START_RULE_2","caad8f1f-c8ec-4524-abb4-370f500af5f1","TransitionRule","Administration of first dose"
"TransitionRule_14","ELEMENT_START_RULE_7","76fad79b-049c-45f2-8c67-8b6638ca203a","TransitionRule","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","ELEMENT_END_RULE_7","28a4b1a3-f7dc-4869-8f4a-ccadf91c3e7a","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","ELEMENT_START_RULE_3","2a4de65d-b095-4eb9-90e0-5310cc3f8f4c","TransitionRule","Administration of first dose"
"TransitionRule_11","ELEMENT_START_RULE_4","ec8af684-f677-4efb-bbb2-8b953353ed9f","TransitionRule","Randomized"
"TransitionRule_12","ELEMENT_START_RULE_5","9625ab08-fea5-4635-8172-ac5ab5123531","TransitionRule","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","ELEMENT_START_RULE_6","57d0fa59-5aa5-4e63-a6df-bfe141c7434f","TransitionRule","Administration of first dose (from patches supplied at Visit 12)"
