"id","name","label","uuid:ID","reference","instanceType","synonyms"
"BiomedicalConcept_20","Informed Consent Obtained","Informed Consent Obtained","8ac6f395-d490-43cf-a866-b002b7ac001d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","['Informed Consent Obtained', 'Informed Consent']"
"BiomedicalConcept_21","Sex","Sex","7b876c10-2ce5-4bbd-a960-d515f437595e","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept",""
"BiomedicalConcept_22","Race","Race","b2ad8bc4-30e3-415e-82f6-b2dbc4315a2e","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","['Racial Group']"
"BiomedicalConcept_23","Temperature","Temperature","627190b7-39e6-4737-a958-4757f4719a3f","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","['Temperature', 'Body Temperature']"
"BiomedicalConcept_24","Weight","Weight","594e4f8a-bf86-436c-b332-b52a85961724","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","['Weight', 'Body Weight']"
"BiomedicalConcept_25","Height","Height","3e135a57-3af6-47b4-a5a3-2b354bc28734","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","['Height', 'Body Height']"
"BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","Alanine Aminotransferase Concentration in Serum/Plasma","2ef6a000-9857-4a85-8aff-3f89299f64d5","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"BiomedicalConcept_27","Albumin Presence in Urine","Albumin Presence in Urine","e5a2c1c1-cd08-4a3b-9715-afb4c5ccc85d","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","['Albumin', 'Albumin Measurement']"
"BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","Alkaline Phosphatase Concentration in Serum/Plasma","9e615a53-5a2a-4afd-bb8c-50aa4c1094b5","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","Aspartate Aminotransferase in Serum/Plasma","b351bf8f-6b2f-4afa-8525-d8e029e8352f","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"BiomedicalConcept_30","Creatinine Concentration in Urine","Creatinine Concentration in Urine","907ee98c-8d4d-4037-99e7-4e6f68aaf38f","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","['Creatinine', 'Creatinine Measurement']"
"BiomedicalConcept_31","Potassium Concentration in Urine","Potassium Concentration in Urine","6cf9b9a6-70d5-45e2-aeaf-13664b420704","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","['Potassium', 'K', 'Potassium Measurement']"
