"id","name","windowLower","description","valueLabel","label","windowLabel","uuid:ID","instanceType","value","windowUpper"
"Timing_1","TIM1","","Screening timing","2 weeks","Screening","","b5d5897a-bc37-4b84-9084-817d4d4f0f43","Timing","P2W",""
"Timing_2","TIM2","PT4H","Pre dose timing","2 days","Pre dose","-4..0 hours","c1f68f8b-9ff4-45a3-b21b-4da78fc263d4","Timing","P2D","PT0H"
"Timing_3","TIM3","","Dosing anchor","1 Day","Dosing","","5d9c96d6-6219-4b25-a036-4747333ce7f8","Timing","P1D",""
"Timing_4","TIM4","P3D","Week 2 timing","2 Weeks","Week 2","-3..3 days","beb9c3bb-a1cf-4bf4-add9-267bb27699b1","Timing","P2W","P3D"
"Timing_5","TIM5","P3D","Week 4 timing","4 Weeks","Week 4","-3..3 days","170abeab-86b9-4b01-9f6a-3f986b98c381","Timing","P4W","P3D"
"Timing_6","TIM6","P3D","Week 6 timing","6 Weeks","Week 6","-3..3 days","b75c1d99-be06-4ab1-a408-a1f449649f30","Timing","P6W","P3D"
"Timing_7","TIM7","P3D","Week 8 timing","8 Weeks","Week 8","-3..3 days","db8c9aab-bb14-493b-a0e8-e3d5daea89a8","Timing","P8W","P3D"
"Timing_9","TIM9","P4D","Week 12 timing","12 Weeks","Week 12","-4..4 days","dd889ec5-9cbe-41f0-a12b-e0b3f890c1a2","Timing","P12W","P4D"
"Timing_11","TIM11","P4D","Week 16 timing","16 Weeks","Week 16","-4..4 days","20222154-05ab-4f33-8099-f629962c9915","Timing","P16W","P4D"
"Timing_13","TIM13","P4D","Week 20 timing","20 Weeks","Week 20","-4..4 days","7ba9b20a-bfc8-4737-9780-df45eddf99ab","Timing","P20W","P4D"
"Timing_15","TIM15","P4D","Week 24 timing","24 Weeks","Week 24","-4..4 days","9f50d780-6a52-427c-8685-49911e192e00","Timing","P24W","P4D"
"Timing_16","TIM16","P3D","Week 26 timing","26 Weeks","Week 26","-3..3 days","116f4b75-3931-470e-a212-3313e440b473","Timing","P26W","P3D"
"Timing_8","TIM8","","Week 8 at home timing","2 Weeks","Week 8 Home","","e2af2553-9709-4fd5-8a52-51c8fd55ae9d","Timing","P2W",""
"Timing_10","TIM10","","Week 12 at home timing","2 Weeks","Week 12 Home","","621b2f31-bca6-4c04-b0cd-563ddf8d51c3","Timing","P2W",""
"Timing_12","TIM12","","Week 16 at home timing","2 Weeks","Week 16 Home","","65adaa11-e2e2-485e-853e-deccdc3bd7c1","Timing","P2W",""
"Timing_14","TIM14","","Week 20 at home timing","2 Weeks","Week 20 Home","","abbbd277-fb06-48bc-b299-6e54e748063c","Timing","P2W",""
"Timing_17","TIM17","","Adverse Event","1 Day","Adverse Event","","0ba24042-1b60-45b9-b638-eff7e2852324","Timing","P1D",""
"Timing_18","TIM18","","Early Termination","1 Day","Early Termination","","452ab2bd-e579-41c5-b83a-4ac62ea06465","Timing","P1D",""
"Timing_19","TIM19","","Supine","0 mins","Supine","","66165893-ea46-457b-870b-ee1619f92d5f","Timing","PT0M",""
"Timing_20","TIM20","","VS while supine","5 mins","VS while supine","","01525d24-b26a-4fc1-9647-fe910787de11","Timing","PT5M",""
"Timing_21","TIM21","","Standing","0 min","Standing","","ceb9d826-4657-4dde-9fc4-46cfdd8683de","Timing","PT0M",""
"Timing_22","TIM22","","VS while standing","1 min","VS while standing","","9e0ed7be-f824-4604-b128-359ece81a8d5","Timing","PT1M",""
"Timing_23","TIM23","","Standing","0 min","Standing","","251b4324-7ee8-448f-b7f4-cd95571c8381","Timing","PT0M",""
"Timing_24","TIM24","","VS while standing","2 min","VS while standing","","faf57d56-1574-49f7-ac0c-c545fddc2bfe","Timing","PT2M",""
