"codeSystemVersion","id","uuid:ID","decode","codeSystem","instanceType","code"
"2023-12-15","Code_1","08f9a333-6c3b-41e9-9632-1129a71426f9","Interventional Study","http://www.cdisc.org","Code","C98388"
"2023-12-15","Code_2","490d09d5-86b2-4476-b0b8-8c5439c8b40c","Phase II Trial","http://www.cdisc.org","Code","C15601"
"2023-12-15","Code_9","1a8c9950-7aa2-44c5-b953-865fb278151f","Sponsor Approval Date","http://www.cdisc.org","Code","C132352"
"2023-12-15","Code_10","ad532710-fc50-4f45-9e1e-61712338d1d5","Global","http://www.cdisc.org","Code","C68846"
"2023-12-15","Code_72","38f344ea-7b1b-4385-af63-4bce59d81c8a","IRB/IEC Feedback","http://www.cdisc.org","Code","C99904x3"
"2023-12-15","Code_73","61ef7b76-1bc8-46b6-8539-6721ce6c89f7","Other","http://www.cdisc.org","Code","C17649"
"2023-12-15","Code_75","8f1b587f-7857-4666-a8a1-eb9138cebc5a","Region","http://www.cdisc.org","Code","C41129"
"2020-08","Code_74","23bc4bc0-726e-4c14-a334-dd683ac1cdb2","Europe","ISO 3166 1 alpha3","Code","150"
"12","Code_4","a92a3b34-bcdb-400a-bc5f-44e69cfe9096","Eli Lilly","SPONSOR","Code","PHARMA"
"2023-12-15","Code_76","0415ff62-ab0d-4b14-ae9b-6bf01aaf038c","Clinical Study Sponsor","http://www.cdisc.org","Code","C70793"
"2020-08","Code_77","a4ad41ca-86c0-4168-8f4c-37a099bb2ede","United States of America","ISO 3166 1 alpha3","Code","USA"
"2023-12-15","Code_78","fcabdc81-7c17-42ce-8012-70578d6f9e76","Study Registry","http://www.cdisc.org","Code","C93453"
"2020-08","Code_79","43c1d769-e55f-4181-9b35-df3dcf748c4a","United States of America","ISO 3166 1 alpha3","Code","USA"
"2023-12-15","Code_137","4f8a0154-a798-4334-8569-93570d3b3fd3","Treatment Study","http://www.cdisc.org","Code","C49656"
"2023-12-15","Code_138","588dabba-d48e-48c6-ad9d-07e1d0ca26d8","Efficacy Study","http://www.cdisc.org","Code","C49666"
"2023-12-15","Code_139","02165d66-c95b-4b1b-8fb7-ccada639eb67","Safety Study","http://www.cdisc.org","Code","C49667"
"2023-12-15","Code_140","8137f64f-69df-42ad-8d73-5197b5bcbd10","Pharmacokinetic Study","http://www.cdisc.org","Code","C49663"
"12","Code_134","956a23c8-fad7-4785-a047-41224ad5744a","Mild to Moderate Alzheimer's Disease","SPONSOR","Code","MILD_MOD_ALZ"
