"uuid:ID","description","label","name","id","instanceType"
"023a1f8d-44b2-4fb6-98ef-ce24e51cd2c3","","Informed consent","Informed consent","Activity_1","Activity"
"44a1404a-e075-4b16-b6b9-a220d7693302","","Inclusion and exclusion criteria","Inclusion/exclusion criteria","Activity_2","Activity"
"71ede432-5392-4711-a86f-f5ff10ef3193","","Patient number assigned","Patient number assigned","Activity_3","Activity"
"cdb31594-cf82-4ca3-b280-06bc44608117","","Demographics","Demographics","Activity_4","Activity"
"39e51c74-a50d-45ae-a13b-d2d304d66b22","","Hachinski Ischemic Scale","Hachinski","Activity_5","Activity"
"ed43fdeb-d250-4960-aac0-61c0323e1800","","MMSE","MMSE","Activity_6","Activity"
"1922f25c-9514-413b-8abc-0db6ef4d1d5f","","Physical examination","Physical examination","Activity_7","Activity"
"c8bb6ee0-4ee5-4041-aec4-41fc04b0ee3d","","Medical history","Medical history","Activity_8","Activity"
"327092cf-6b9d-44b6-bd23-50d1b0df1cb8","","Habits","Habits","Activity_9","Activity"
"63b5c48f-e35f-4897-a814-047c78708f34","","Chest X-ray","Chest X-ray","Activity_10","Activity"
"fc5279b7-f1a7-442f-a7d2-e307cf5ec997","","Apo E genotyping","Apo E genotyping","Activity_11","Activity"
"e8e57b61-b093-4808-aaa0-9cbe634fe484","","Patient randomised","Patient randomised","Activity_12","Activity"
"c486b4cc-6eaa-47f5-80a4-07494938e6a7","","Vital Signs and Temperature","Vital signs / Temperature","Activity_13","Activity"
"a691c467-92a2-4f82-84d7-375fa3439216","","Ambulatory ECG placed","Ambulatory ECG placed","Activity_14","Activity"
"ee6e2af2-838c-4616-85a4-8233cd68c770","","Ambulatory ECG removed","Ambulatory ECG removed","Activity_15","Activity"
"4cfc043e-947e-4c54-99cb-f473b279bdbe","","ECG","ECG","Activity_16","Activity"
"cbe7133b-da52-4516-8d8f-8ff9a8635c22","","Placebo TTS test","Placebo TTS test","Activity_17","Activity"
"50025847-a3f3-4617-b814-d04fc77bd6b9","","CT scan","CT scan","Activity_18","Activity"
"80794944-88cd-4963-b53d-65719169c829","","Concomitant medications","Concomitant medications","Activity_19","Activity"
"69f19d3c-8b58-4522-bad1-6b494dbc75d5","","Hematology","Hematology","Activity_20","Activity"
"74b8b1e1-9247-48f7-95f3-a44307270286","","Chemistry","Chemistry","Activity_21","Activity"
"df4cd5b5-4869-4320-bcb9-7f4ebf36fe9f","","Uninalysis","Uninalysis","Activity_22","Activity"
"16653379-42f9-45ec-b109-f80b213ca193","","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","Activity_23","Activity"
"2f12c7d0-6c5f-4500-87cf-91f7265c89f6","","Hemoglobin A1C","Hemoglobin A1C","Activity_24","Activity"
"b4982eff-11e1-48a7-b71f-7df6e0184b22","","Study drug record , Medications dispensed, Medications returned","Study drug","Activity_25","Activity"
"140105ab-22f6-452c-b7df-7a25929277a0","","TTS Acceptability Survey","TTS Acceptability Survey","Activity_26","Activity"
"66944bfc-63f9-4aa7-a684-431cd521479d","","ADAS-Cog","ADAS-Cog","Activity_27","Activity"
"9cf225f5-9d5f-4545-a23c-108f6fe8b924","","CIBIC+","CIBIC+","Activity_28","Activity"
"e146f5e9-1c6a-4a20-bb18-9a299ed52608","","DAD","DAD","Activity_29","Activity"
"92c2d8ba-e6dc-4fcb-a539-1e72a3a9ff04","","NPI-X","NPI-X","Activity_30","Activity"
"dfe4ffdd-561b-4692-96a3-70a64f2e70a2","","Adverse events","Adverse events","Activity_31","Activity"
"2f0e5588-dceb-410a-8200-3015c5d412e5","","Check adverse events","Check adverse events","Activity_32","Activity"
"87f674fb-54ca-45dc-8c7f-9f6144bfe2c8","","Subject supine","Supine","Activity_33","Activity"
"4be2811a-687b-4551-8d26-1b8d22451623","","Vital signs while supine","Vital Signs Supine","Activity_34","Activity"
"3eb6af2f-df50-4b8f-b886-d406502f4b31","","Subject Standing","Stand","Activity_35","Activity"
"f3918d90-a2af-4621-9a7f-a1a213cfc7c9","","Vital signs while standing","Vital Signs Standing","Activity_36","Activity"
