"uuid:ID","description","valueLabel","value","label","name","windowUpper","id","windowLabel","instanceType","windowLower"
"eeeb0de0-3b4a-4c87-9344-c4f58e1d33a1","Screening timing","2 weeks","P2W","Screening","TIM1","","Timing_1","","Timing",""
"d8d1532a-06b2-465d-84f3-6ab460fd74fb","Pre dose timing","2 days","P2D","Pre dose","TIM2","PT0H","Timing_2","-4..0 hours","Timing","PT4H"
"9cfa0128-e74d-4042-bf0f-4ac72d8336c1","Dosing anchor","1 Day","P1D","Dosing","TIM3","","Timing_3","","Timing",""
"010d0704-bce0-4e6f-846c-5935e1627c48","Week 2 timing","2 Weeks","P2W","Week 2","TIM4","P3D","Timing_4","-3..3 days","Timing","P3D"
"4873250c-8b97-4214-84fb-c228ea31616a","Week 4 timing","4 Weeks","P4W","Week 4","TIM5","P3D","Timing_5","-3..3 days","Timing","P3D"
"c94af44a-5321-452f-9b8e-dfcbe36697cd","Week 6 timing","6 Weeks","P6W","Week 6","TIM6","P3D","Timing_6","-3..3 days","Timing","P3D"
"d3c6232b-c402-4475-8462-0eb22aff9750","Week 8 timing","8 Weeks","P8W","Week 8","TIM7","P3D","Timing_7","-3..3 days","Timing","P3D"
"57c5c69c-3fe1-4cb3-be37-c21a84bd083a","Week 12 timing","12 Weeks","P12W","Week 12","TIM9","P4D","Timing_9","-4..4 days","Timing","P4D"
"5f76f40d-89a4-4dd9-8238-3b01c9c3b3af","Week 16 timing","16 Weeks","P16W","Week 16","TIM11","P4D","Timing_11","-4..4 days","Timing","P4D"
"65eb5da4-a6fe-485a-bb01-ad3a5e74fa80","Week 20 timing","20 Weeks","P20W","Week 20","TIM13","P4D","Timing_13","-4..4 days","Timing","P4D"
"4b7a32ab-0f80-4973-862b-8c9b58746fe3","Week 24 timing","24 Weeks","P24W","Week 24","TIM15","P4D","Timing_15","-4..4 days","Timing","P4D"
"5d53beda-5560-4ef2-84b3-81222a2fc529","Week 26 timing","26 Weeks","P26W","Week 26","TIM16","P3D","Timing_16","-3..3 days","Timing","P3D"
"bdcdeaec-e0be-4894-9356-1115cbb86d8a","Week 8 at home timing","2 Weeks","P2W","Week 8 Home","TIM8","","Timing_8","","Timing",""
"81480180-74cf-4337-9e31-bff530838532","Week 12 at home timing","2 Weeks","P2W","Week 12 Home","TIM10","","Timing_10","","Timing",""
"67390e4f-15d7-4497-8f1a-8db68f4e496a","Week 16 at home timing","2 Weeks","P2W","Week 16 Home","TIM12","","Timing_12","","Timing",""
"83f091ef-023a-4dc7-bdf5-e0cfd85378b4","Week 20 at home timing","2 Weeks","P2W","Week 20 Home","TIM14","","Timing_14","","Timing",""
"e4e7ac81-888b-4376-9089-bb69fb11db2a","Adverse Event","1 Day","P1D","Adverse Event","TIM17","","Timing_17","","Timing",""
"3200003d-1eca-4003-a1fe-a03dc3c17be8","Early Termination","1 Day","P1D","Early Termination","TIM18","","Timing_18","","Timing",""
"422db8fb-de84-4894-9ef3-03a09f6407d8","Supine","0 mins","PT0M","Supine","TIM19","","Timing_19","","Timing",""
"a565ff0f-da90-44c0-8134-5ba4f46530a1","VS while supine","5 mins","PT5M","VS while supine","TIM20","","Timing_20","","Timing",""
"e1d5f4e8-93c2-42cd-ab6d-59776b430edd","Standing","0 min","PT0M","Standing","TIM21","","Timing_21","","Timing",""
"cdcc4f12-7766-4f65-950e-ab05cb17c129","VS while standing","1 min","PT1M","VS while standing","TIM22","","Timing_22","","Timing",""
"5761842d-e4b4-475a-aa7e-78b1ad35c9c2","Standing","0 min","PT0M","Standing","TIM23","","Timing_23","","Timing",""
"7bbc9016-81b6-47a2-a4c4-a40edebf0099","VS while standing","2 min","PT2M","VS while standing","TIM24","","Timing_24","","Timing",""
