"text","uuid:ID","name","id","instanceType"
"Subject identifier","f05394d3-788d-48ad-b013-be1e5de79a69","ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule"
"completion of screening activities","00c048b9-d002-4386-95e7-21439d053c02","ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","a4e98764-10ea-49a8-8a5b-42e7e43a76a8","ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule"
"subject has connection of ambulatory ECG machine removed","2a9b2798-72f6-4ae3-bed0-63c43df61b23","ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule"
"Radomized","1664b523-dd31-4c31-93b0-e722383ebc6b","ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule"
"End of treatment","381eb2db-2283-4b31-8f02-9cf6fdde0606","ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule"
"Informed consent","4cd016b3-b8ef-4619-a935-3720104b1b51","ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","0fabe70f-c06d-4f1e-8c9b-bb08bd1539bf","ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule"
"Administration of first dose","a3a22eed-017e-4580-b2d5-86b994b0045c","ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule"
"End of last scheduled visit on study (including early termination)","a41e9905-9f69-46f0-8c90-989049d6a9ae","ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","eb6b6e02-d3b9-4a1c-b8d6-ac5fcc06039b","ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule"
"Administration of first dose","fc4f5a3c-1072-4dfa-840f-3398268fa122","ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule"
"Randomized","8f20bf8e-76ed-4539-ad3a-44e0284e3fb6","ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","fe0024ba-6de0-4cdc-a076-b939c438567f","ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","e1a9cd1d-3e86-4ced-8857-dd33263daff4","ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule"
