"text","uuid:ID","description","label","name","id","instanceType","purpose"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","1f080145-d0b7-4761-beed-800eaee3e659","","","END1","Endpoint_1","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","28a2af37-6b91-4d3b-a554-76d657430a0a","","","END2","Endpoint_2","Endpoint",""
"Adverse events","139f2915-e3aa-4738-836d-888124835c71","","","END3","Endpoint_3","Endpoint",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","e78107dd-6cac-4d9b-89bb-b3eb9260bf41","","","END4","Endpoint_4","Endpoint",""
"Laboratory evaluations (Change from Baseline)","a64a1203-987f-406a-85f3-8933a9aa9e98","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","END5","Endpoint_5","Endpoint",""
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","4e240a86-3579-41c8-8763-0d4bab5898bc","","","END6","Endpoint_6","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","3633faa7-a720-44fc-ac63-ffbc5c41e355","","","END7","Endpoint_7","Endpoint",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","bfe97691-a7c7-44a6-9467-628dfb9256ad","","","END8","Endpoint_8","Endpoint",""
"*** To be determined from protocol ***","ce8bc88a-c145-491a-86ab-6da7f263459f","","","END9","Endpoint_9","Endpoint",""
"*** To be determined from protocol ***","65d8212a-669f-4371-9f0d-4360926a16f6","","","END10","Endpoint_10","Endpoint",""
"*** To be determined from protocol ***","0c354bcd-bf46-4d83-aaaa-3a675c1acdda","","","END11","Endpoint_11","Endpoint",""
