"code","uuid:ID","codeSystem","decode","id","instanceType","codeSystemVersion"
"C98388","196b7bb2-9c14-495c-a7ab-cf4dd8262adf","http://www.cdisc.org","Interventional Study","Code_1","Code","2023-12-15"
"C15601","5b336373-7951-4e01-bbd5-bff2ff949d96","http://www.cdisc.org","Phase II Trial","Code_2","Code","2023-12-15"
"C132352","12a9cf38-36ea-4e77-9554-8234a7438e77","http://www.cdisc.org","Sponsor Approval Date","Code_9","Code","2023-12-15"
"C68846","d4e69c89-eea0-4f34-ab15-10b40aa172da","http://www.cdisc.org","Global","Code_10","Code","2023-12-15"
"C99904x3","ef3a03b4-99b0-42d0-8f16-c4f3df2c030b","http://www.cdisc.org","IRB/IEC Feedback","Code_72","Code","2023-12-15"
"C17649","03b3a049-8fd0-4e2c-afa4-fb6d6de8fd2d","http://www.cdisc.org","Other","Code_73","Code","2023-12-15"
"C41129","0fab3d6b-c3a6-4e6c-993b-e13183eebc74","http://www.cdisc.org","Region","Code_75","Code","2023-12-15"
"150","3b300d70-c6a4-4d03-9372-57ad74b46b1e","ISO 3166 1 alpha3","Europe","Code_74","Code","2020-08"
"PHARMA","d1782ce6-0338-4663-ab4c-ff8b541d852e","SPONSOR","Eli Lilly","Code_4","Code","12"
"C70793","f937edcb-021d-4a55-8940-d2b2c97d922f","http://www.cdisc.org","Clinical Study Sponsor","Code_76","Code","2023-12-15"
"USA","27807aa1-e151-4d55-8bc9-6cb4b69be436","ISO 3166 1 alpha3","United States of America","Code_77","Code","2020-08"
"C93453","7a2dc392-faee-4f7b-8db5-80ede6732f04","http://www.cdisc.org","Study Registry","Code_78","Code","2023-12-15"
"USA","7771f3f4-be48-4055-8e41-6f1b6c3c36c0","ISO 3166 1 alpha3","United States of America","Code_79","Code","2020-08"
"C49656","3d54d8e8-a473-4ac6-b6a5-1a17769f14a1","http://www.cdisc.org","Treatment Study","Code_137","Code","2023-12-15"
"C49666","a09948ec-6965-458d-9de9-2e63e5dd4c71","http://www.cdisc.org","Efficacy Study","Code_138","Code","2023-12-15"
"C49667","bfd6a5c0-dcf1-4531-a80c-82efcaebd26a","http://www.cdisc.org","Safety Study","Code_139","Code","2023-12-15"
"C49663","6affe6c9-cf84-4757-8869-68d0c062efae","http://www.cdisc.org","Pharmacokinetic Study","Code_140","Code","2023-12-15"
"MILD_MOD_ALZ","937abf85-7ed5-4d42-ae21-de105bdf012a","SPONSOR","Mild to Moderate Alzheimer's Disease","Code_134","Code","12"
"26929004","eeaffdfc-4ace-4bae-a756-e3111b82e9ce","SNOMED","Alzheimer's disease","Code_135","Code","January 31, 2018"
"C99907x1","a4b71859-21e0-4198-9f77-420aa59140c0","http://www.cdisc.org","EXTENSION","Code_143","Code","2023-12-15"
"C98704","11281c7b-0ac3-4658-9aab-f8fec2d9d26e","http://www.cdisc.org","ADAPTIVE","Code_144","Code","2023-12-15"
