"uuid:ID","description","label","name","id","instanceType"
"9369e50e-287a-44a8-956c-ceb70c6ddb92","Screening encounter","Screening 1","E1","Encounter_1","Encounter"
"8bcf9796-2135-480c-abab-722c1de3cfb5","Screening encounter - Ambulatory ECG Placement","Screening 2","E2","Encounter_2","Encounter"
"2e25f1ac-ee7d-47f5-810f-24accf6d7a60","Baseline encounter - Ambulatory ECG Removal","Baseline","E3","Encounter_3","Encounter"
"d9c4549f-dc62-4e18-8f03-548a4b55223e","Day 14","Week 2","E4","Encounter_4","Encounter"
"b34976bc-cdfc-481e-ab9d-5e74753fc6ec","Day 28","Week 4","E5","Encounter_5","Encounter"
"448909a2-c770-48d0-9338-b1a630d47a96","Day 42","Week 6","E7","Encounter_6","Encounter"
"80521870-a505-48db-a89a-82a3a013f65c","Day 56","Week 8","E8","Encounter_7","Encounter"
"9e700c65-afe3-4097-a6f2-08d4b2623b66","Day 84","Week 12","E9","Encounter_8","Encounter"
"a8034811-4891-4fb6-ae30-e768c2021559","Day 112","Week 16","E10","Encounter_9","Encounter"
"bce19490-1fca-419a-b0ec-950bc0bdcb3e","Day 140","Week 20","E11","Encounter_10","Encounter"
"bae124bf-b1e5-482e-8e6a-f8fb6e8e2d21","Day 168","Week 24","E12","Encounter_11","Encounter"
"f884de3e-bcc6-4ad6-aa7e-7bc976341547","Day 182","Week 26","E13","Encounter_12","Encounter"
