"isRequired","datatype","uuid:ID","name","isEnabled","label","id"
"True","decimal","565aaa1e-6fa7-4662-bb2b-e5b7d906e205","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_86"
"True","string","6099d4e3-d556-4f0a-9d75-6ffba390f1ad","Unit of Temperature","True","Unit of Temperature","BiomedicalConceptProperty_87"
"True","string","3a7de84e-c50c-4c97-a22c-3d3502caa9c0","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_88"
"True","decimal","33debd40-724f-4644-9b9b-15f4ce3a1335","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_89"
"True","string","a29b294a-880f-4b36-abdc-4daac4832598","Unit of Weight","True","Unit of Weight","BiomedicalConceptProperty_90"
"True","decimal","7958b114-ee8d-4b16-a131-6ee3e97b7463","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_91"
"True","string","0c653f72-c0a9-435c-9e26-f6c02a1b077f","Unit of Height","True","Unit of Height","BiomedicalConceptProperty_92"
"True","decimal","911ebbca-18cc-48ab-91ec-f25cb27efdf9","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_93"
"True","boolean","80f7f345-75f7-43ee-b926-c43edc52ee4c","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_94"
"True","string","d9385ba5-b0b5-4a22-b9c8-a972b4ffee53","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95"
"True","string","1d905b9d-8c7e-47de-b337-b66c3d28eed0","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_96"
"True","string","f29ab4d6-7565-43cf-9ac8-6796bc51fc5a","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_97"
"True","boolean","100d8b35-3a7f-42fd-aba7-bc7b4b6071ac","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_98"
"True","string","a3739aec-90f5-4728-96e5-18bcd2f21f4b","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_99"
"True","string","8082ad47-777f-42e9-b719-d6806128eec6","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_100"
"True","decimal","9b7358bc-5640-4455-96b5-374667f38065","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_101"
"True","boolean","7eca4a78-56ec-404c-b908-76dd12dce15a","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_102"
"True","string","63522cbf-2537-4ed8-ba7b-a6ec07b24bbe","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103"
"True","string","c693d2e3-153c-4431-8c86-67a8539615fd","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_104"
"True","decimal","bb2c4036-be5c-4e74-94d6-e81fb4731426","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_105"
"True","boolean","df1c4d4b-003a-405d-bbfe-b3f95474c16b","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_106"
"True","string","405de07a-129d-4fbf-a016-153e3bb7044a","Unit of Catalytic Activity Concentration","True","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107"
"True","string","d2879c8e-f093-4b88-ac4c-a8830713dd93","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_108"
"True","string","3b0a9b90-f7a5-48f2-b842-74d151b74829","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_109"
"True","boolean","d9b004a5-7a6a-43d4-9983-d3d485460c99","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_110"
"True","string","f2deaca7-d8d1-487e-af68-726565393425","Unit of Concentration","True","Unit of Concentration","BiomedicalConceptProperty_111"
"True","string","0f840645-31c6-48ca-a733-cf00d2d8180d","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_112"
"True","decimal","41c63bf8-bc97-4ee1-9043-af2aa1bd4a19","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_113"
"True","boolean","aac3a332-85d9-42d1-9665-253384d2e7d0","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_114"
"True","string","fb70dbbb-b638-4abe-9b22-d19aa6b4fc2a","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_115"
"True","string","48b9da18-bad6-49da-9a69-77fed1fd68c3","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_116"
"True","decimal","663d4d1c-bc2a-4c4a-aad4-da36775962bb","Laboratory Test Result","True","Laboratory Test Result","BiomedicalConceptProperty_117"
"True","boolean","c0ea5fb6-cfa9-4fbf-8935-cd2b5f7d3089","Laboratory Test Fasting Status","True","Laboratory Test Fasting Status","BiomedicalConceptProperty_118"
"True","string","f9b564f2-59b3-4bb3-9531-5ee571bedf27","Molarity Unit","True","Molarity Unit","BiomedicalConceptProperty_119"
"True","string","b41937b5-61f7-4a97-a381-220bd2665663","Biospecimen Type","True","Biospecimen Type","BiomedicalConceptProperty_120"
"True","string","c470dfb1-5798-4fdd-93b2-19f63a9ed5a4","Adverse Event Verbatim Description","True","Adverse Event Verbatim Description","BiomedicalConceptProperty_1"
"True","string","7c2dbf51-439d-41e7-9e7b-b97bb2e37b51","Adverse Event Dictionary Derived Term","True","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2"
"True","string","1243a600-f7d2-44f7-9d5e-7daf015f0901","Adverse Event Category","True","Adverse Event Category","BiomedicalConceptProperty_3"
"True","string","8168fb13-cda7-403e-abb1-43055837926c","Adverse Event Subcategory","True","Adverse Event Subcategory","BiomedicalConceptProperty_4"
"True","boolean","c4c34628-ce50-4f02-9a15-af1c8409acba","Adverse Event Pre-specified","True","Adverse Event Pre-specified","BiomedicalConceptProperty_5"
"True","string","0928cf62-1128-43dd-9835-9fff75c03777","Severity of Adverse Event","True","Severity of Adverse Event","BiomedicalConceptProperty_6"
"True","string","684e0df0-a07a-4b8f-b137-77a0f716fb8e","Adverse Event Toxicity Grade","True","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7"
"True","boolean","2ec0d014-c7cd-4a28-8a23-5fb517f1dc29","Seriousness of Adverse Event","True","Seriousness of Adverse Event","BiomedicalConceptProperty_8"
"True","string","c5248c54-508a-4cc7-b798-a61207ee7b9c","Adverse Event Action Taken with Study Treatment","True","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9"
"True","string","397a63f8-8a87-42f0-86e5-d332399dc989","Adverse Event Attribution to Product or Procedure","True","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10"
"True","string","af06d248-653e-44d3-9960-eca4a825a3b2","Adverse Event Pattern","True","Adverse Event Pattern","BiomedicalConceptProperty_11"
"True","string","0cb780dc-0e3b-4f3a-84e2-cd3ea9db943a","Adverse Event Outcome","True","Adverse Event Outcome","BiomedicalConceptProperty_12"
"True","datetime","20cc5d4a-3d0c-4184-967d-bc1288e54724","Adverse Event Start Date Time","True","Adverse Event Start Date Time","BiomedicalConceptProperty_13"
"True","datetime","cbafd8c4-63f1-48d4-bbe8-32472410488e","Adverse Event End Date Time","True","Adverse Event End Date Time","BiomedicalConceptProperty_14"
"True","decimal","0fbe5b32-7a7f-4597-b69f-9ba90cb48209","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_15"
"True","string","8687d47b-061a-4855-8093-9a1430e763a0","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_16"
"True","string","1c8341d4-5650-4150-8957-5f035bde47d6","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_17"
"True","string","ed4ce454-2072-449d-981c-8c25c911a68a","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_18"
"True","string","c8640ef3-2ce4-4df9-92a8-b6b1219cf9a4","Test Method","True","Test Method","BiomedicalConceptProperty_19"
"True","string","4bb07b93-722c-45db-9a1e-44de652e3b75","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_20"
"True","decimal","e0ba9cec-57bd-4d23-bbd4-b3848dab921f","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_21"
"True","string","5a74f36d-571e-4b7d-a258-f27636371ceb","Unit of Pressure","True","Unit of Pressure","BiomedicalConceptProperty_22"
"True","string","1bc92507-79e6-467c-a2c3-5a886943197c","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_23"
"True","string","54c03765-c740-4850-b55f-377ded882c6c","Vital Signs Laterality","True","Vital Signs Laterality","BiomedicalConceptProperty_24"
"True","string","f827c1cb-c366-4175-8545-d3cad1398881","Test Method","True","Test Method","BiomedicalConceptProperty_25"
"True","string","13437e1d-9386-4994-b0df-c0446bfe09a8","Vital Signs Position","True","Vital Signs Position","BiomedicalConceptProperty_26"
"True","decimal","7cde39e3-da60-42a7-8d06-bf4a7a7dd027","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_27"
"True","string","302f8e82-7501-4ab9-ac99-891905b74dda","Unit of Temperature","True","Unit of Temperature","BiomedicalConceptProperty_28"
"True","string","74c3c7c8-2ef5-4343-95eb-65b759798baf","Vital Signs Location","True","Vital Signs Location","BiomedicalConceptProperty_29"
"True","decimal","7b4566e0-3bb7-4e0e-9d5f-a45ea331a85a","Vital Signs Result","True","Vital Signs Result","BiomedicalConceptProperty_30"
"True","string","7752d9bb-84fb-4292-bf01-65d7151de31e","Unit of Weight","True","Unit of Weight","BiomedicalConceptProperty_31"
