"text","id","uuid:ID","name"
"Subject identifier","TransitionRule_1","1731b1c0-a4f7-4759-a00d-60c5b7742fdb","ENCOUNTER_START_RULE_1"
"completion of screening activities","TransitionRule_2","109ac969-1b7b-4aac-a8af-93c007343910","ENCOUNTER_START_RULE_1"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ec3cbe68-81fd-439b-a6f2-9129757ffa77","ENCOUNTER_START_RULE_2"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","855eeefb-2da1-41ae-9668-06b282fcb734","ENCOUNTER_START_RULE_3"
"Radomized","TransitionRule_5","6a3e8609-5078-4743-818f-f6a580a4fa5c","ENCOUNTER_START_RULE_3"
"End of treatment","TransitionRule_6","6d6dcce9-ae6f-49c7-969a-778bedd51154","ENCOUNTER_START_RULE_12"
"Informed consent","TransitionRule_7","6bddd0c0-a0a0-4916-882d-1e30973efa0e","ELEMENT_START_RULE_1"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","7979c8d8-9fd1-4652-8bfb-6bd673da7475","ELEMENT_END_RULE_1"
"Administration of first dose","TransitionRule_9","87db0ee2-5812-4943-b914-24ffaed8ac2b","ELEMENT_START_RULE_2"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","7fdfbaf4-7e26-4be4-8091-2fb02508780b","ELEMENT_START_RULE_7"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","5b477add-c88f-44b0-b91c-e3039f871b19","ELEMENT_END_RULE_7"
"Administration of first dose","TransitionRule_10","1fb016f7-99ff-46c7-8983-2dc51bd4d14b","ELEMENT_START_RULE_3"
"Randomized","TransitionRule_11","eebbe198-aab0-4ab0-aa3d-17ad76d2b3f0","ELEMENT_START_RULE_4"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","d3da0c53-2485-4978-a10c-17f88ab0e9af","ELEMENT_START_RULE_5"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","1f3739e6-92a9-4552-9e0f-d12806580cc4","ELEMENT_START_RULE_6"
