"synonyms","uuid:ID","name","label","reference","id"
"['Temperature']","09c2c8b8-5ca7-4b0b-a51b-0a05345742de","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_18"
"['Weight']","c62abf35-880c-40e1-8c64-2b47b8856108","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_19"
"['Height']","f27ab132-2064-4f80-8839-0bb85de6ed53","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_20"
"['ALT', 'SGPT']","2e0cb787-beb1-4154-b4c8-c0a264a63116","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_21"
"['Albumin']","17329af9-488d-4ad7-8e6d-098e33fc9f89","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_22"
"['Alkaline Phosphatase']","462f8827-8423-459a-b735-1e7a5e27f03d","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_23"
"['AST', 'SGOT']","f3943a54-7358-4c9d-b0c1-4c44bc1220d8","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_24"
"['Creatinine']","add905b5-8a28-4e7d-809f-9070c0905559","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_25"
"['Potassium', 'K']","040f4220-5f86-48c3-b497-599feaeac31c","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_26"
"['Sodium', 'NA']","6c400679-fecd-46da-a44c-ccbeaaac8be5","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_27"
"['Adverse Event Reported Term', 'AETERM']","fb7e3617-0f5c-47cd-9b46-74610683c1b6","Adverse Event","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","BiomedicalConcept_1"
"['SYSBP']","5a440e94-35f4-4e7b-b246-8857653d1395","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_2"
"['DIABP']","8f6848c3-fca9-44e8-8a66-d9263c77894f","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_3"
"['Temperature']","fe6e8391-e904-435f-9e18-17a375ec0706","Body Temperature","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","BiomedicalConcept_4"
"['Weight']","378e578f-fb77-4c74-8816-6743fe9ce4c4","Body Weight","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","BiomedicalConcept_5"
"['Height']","8e7a7bf5-7895-4818-9a99-cb4ce1fc25ef","Body Height","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","BiomedicalConcept_6"
"['ALT', 'SGPT']","bce95dd6-9e5d-4102-a47b-e8db8b9bb055","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","BiomedicalConcept_7"
"['Albumin']","ae7abd1e-f585-4681-a8f8-069c11d3ae4e","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","BiomedicalConcept_8"
"['Alkaline Phosphatase']","5de2823a-097f-4898-a0a0-5cb859fd492d","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","BiomedicalConcept_9"
"['AST', 'SGOT']","6e69a292-7f83-4faf-9ced-77af57689c6c","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","BiomedicalConcept_10"
"['Creatinine']","316f0a10-8b22-4937-be4c-f33241a00228","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","BiomedicalConcept_11"
"['Potassium', 'K']","ca31a713-508f-435b-8bb3-6324e901715d","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","BiomedicalConcept_12"
"['Sodium', 'NA']","954f8a11-98e7-45b6-b332-98871d5a78bf","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","BiomedicalConcept_13"
"['SYSBP']","73f5fcb2-cb75-4e29-b1e7-12e17ec45d33","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_14"
"['DIABP']","458c1e76-cc47-499b-bfb7-970e5dfc1126","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_15"
"['SYSBP']","74fca7a2-e04e-41ed-a4ed-c36477d5949c","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","BiomedicalConcept_16"
"['DIABP']","c24cdba2-b123-4390-bdb2-a845c4a51778","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","BiomedicalConcept_17"
