"text","sectionNumber","uuid:ID","name","sectionTitle","id"
"","0","f8a0cdff-4be7-473f-ab13-ba9e45f9aac8","ROOT","Root","NarrativeContent_1"
"<div><usdm:section name=""M11-title-page""></div>","0","64450b84-f523-4193-b64b-f5f7e4a47dc7","SECTION 0","TITLE PAGE","NarrativeContent_2"
"<div></div>","1","30ad5fd2-f203-43ac-86fb-15d5aa03a2a8","SECTION 1","PROTOCOL SUMMARY","NarrativeContent_3"
"<div></div>","1.1","1f8c720a-8f49-4d04-b506-3630c7578638","SECTION 1.1","Protocol Synopsis","NarrativeContent_4"
"<div></div>","1.2","33ef0bfe-d841-4b0b-9fd9-7195b4e3d51f","SECTION 1.2","Trial Schema","NarrativeContent_5"
"<div></div>","1.3","82d9d988-faa7-4cb1-be18-f54605c778ba","SECTION 1.3","Schedule of Activities","NarrativeContent_6"
"<div></div>","2","b56e7123-80dc-4890-9220-031d992d6c26","SECTION 2","INTRODUCTION","NarrativeContent_7"
"<div></div>","2.1","67b7d14e-a938-4e92-ba66-fc74c257b7ae","SECTION 2.1","Purpose of Trial","NarrativeContent_8"
"<div></div>","2.2","4f037b0a-b2fa-41d5-95d1-980fb216c981","SECTION 2.2","Summary of Benefits and Risks","NarrativeContent_9"
"<div></div>","3","f39f8422-8f55-4d17-8767-b769b6cd06f7","SECTION 3","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_10"
"<div><usdm:section name=""M11-objective-endpoints""></div>","3.1","e8394e28-5a0c-4791-add3-56161dd87239","SECTION 3.1","Primary Objectives","NarrativeContent_11"
"<div></div>","4","9466d989-0fdd-48c5-a181-0d091fe1aed8","SECTION 4","TRIAL DESIGN","NarrativeContent_12"
"<div></div>","4.1","0c12e160-ca27-4a08-a144-a3bca84b8d04","SECTION 4.1","Description of Trial Design","NarrativeContent_13"
"<div></div>","4.1.1","2be09f11-6ea6-463e-ba7c-cf2a7397d037","SECTION 4.1.1","Participant Input into Design","NarrativeContent_14"
"<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2","27e8ed4f-9536-4b1c-a13d-ade27a5b75d9","SECTION 4.2","Rationale for Trial Design","NarrativeContent_15"
"<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","4.2.1","b47cdf14-7299-47e7-b369-c589bd6dfd6b","SECTION 4.2.1","Rationale for Comparator","NarrativeContent_16"
"<div></div>","4.2.2","6fa06ebc-312e-4c36-8047-4ba9a374b9e9","SECTION 4.2.2","Rationale for Adaptive or Novel Trial Design","NarrativeContent_17"
"<div></div>","4.2.3","516facb0-9ed5-4ee7-8c58-42cc02c51f8b","SECTION 4.2.3","Other Trial Design Considerations","NarrativeContent_18"
"<div></div>","4.3","c3473177-5533-4e8c-85bd-443bd9643bdb","SECTION 4.3","Access to Trial Intervention After End of Trial","NarrativeContent_19"
"<div></div>","4.4","9282b2e2-bf1d-481a-b60d-7ca4ffff6a85","SECTION 4.4","Start of Trial and End of Trial","NarrativeContent_20"
"<div></div>","5","1977b164-f18e-440c-96f7-cfa1e276998f","SECTION 5","TRIAL POPULATION","NarrativeContent_21"
"<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","5.1","41b95022-cb51-4bf6-bade-6c3363f07c42","SECTION 5.1","Selection of Trial Population","NarrativeContent_22"
"<div></div>","5.2","55175ed9-46a4-415b-9b56-bad388e5cc24","SECTION 5.2","Rationale for Trial Population","NarrativeContent_23"
"<div><usdm:section name=""M11-inclusion""></div>","5.3","4ba21a5a-0edb-47a8-a212-7d7b44ae51a7","SECTION 5.3","Inclusion Criteria","NarrativeContent_24"
"<div><usdm:section name=""M11-exclusion""></div>","5.4","6593d344-74e9-4a5b-b379-37d48230b1e6","SECTION 5.4","Exclusion Criteria","NarrativeContent_25"
"<div></div>","5.5","61c46b51-5488-4b31-a4b7-e5351e6dbf4a","SECTION 5.5","Lifestyle Considerations","NarrativeContent_26"
"<div></div>","5.5.1","5291d4a0-d793-487b-bf5c-1d6ac012e3ae","SECTION 5.5.1","Meals and Dietary Restrictions","NarrativeContent_27"
"<div><p>Not applicable</p></div>","5.5.2","9357282a-08fc-485e-9fe2-284fe4ae8b6d","SECTION 5.5.2","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_28"
"<div></div>","5.5.3","d3333bd8-3968-45d2-a931-cd61ad8c2290","SECTION 5.5.3","Physical Activity","NarrativeContent_29"
"<div></div>","5.5.4","c3e1756c-a53c-48a4-a53e-7b9ee9973ebd","SECTION 5.5.4","Other Activity","NarrativeContent_30"
"<div></div>","5.6","0c1f0db3-57b5-4666-a723-66debf8ac8ec","SECTION 5.6","Screen Failures","NarrativeContent_31"
"<div></div>","6","56d6d09e-ae7f-4bed-b50f-babc67341395","SECTION 6","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_32"
"<div></div>","6.1","3b603643-ecd0-49c6-a0ef-8ccb6fdc8d65","SECTION 6.1","Description of Trial Intervention","NarrativeContent_33"
"<div></div>","6.2","65d9eeba-f7bd-48c2-827c-e1ca347b445e","SECTION 6.2","Rationale for Trial Intervention","NarrativeContent_34"
"<div></div>","6.3","167a68a7-edb3-4aec-9bf5-c964631615f7","SECTION 6.3","Dosing and Administration","NarrativeContent_35"
"<div></div>","6.3.1","fe3d286c-ecca-4eb9-ab1f-bb2a0ff7fd8a","SECTION 6.3.1","Trial Intervention Dose Modification","NarrativeContent_36"
"<div></div>","6.4","b04283f1-c6ba-446b-8ef2-985447d7bf4e","SECTION 6.4","Treatment of Overdose","NarrativeContent_37"
"<div></div>","6.5","4ea82405-7d44-43af-b117-747f73534d0a","SECTION 6.5","Preparation, Handling, Storage and Accountability","NarrativeContent_38"
"<div></div>","6.5.1","b9c04f33-1945-4463-8c2a-22057b664bb8","SECTION 6.5.1","Preparation of Trial Intervention","NarrativeContent_39"
"<div></div>","6.5.2","f9ed7282-ddc2-4f16-a400-fc8a8890323f","SECTION 6.5.2","Handling and Storage of Trial Intervention","NarrativeContent_40"
"<div></div>","6.5.3","ffd9c30b-dd4b-4c9c-a69f-4379fc960188","SECTION 6.5.3","Accountability of Trial Intervention","NarrativeContent_41"
"<div></div>","6.6","f81958b1-de2e-4b0c-9f0d-e6698b4c8414","SECTION 6.6","Participant Assignment, Randomisation and Blinding","NarrativeContent_42"
"<div></div>","6.6.1","b725fedf-4034-46bb-8251-d5d0ab4ce129","SECTION 6.6.1","Participant Assignment","NarrativeContent_43"
"<div></div>","6.6.2","bf02cba6-2ff4-4144-a891-d713f7874486","SECTION 6.6.2","Randomisation","NarrativeContent_44"
"<div><p>The study will be double-blind. To further preserve the blinding of the study, only a minimum number of Lilly and CRO personnel will see the randomization table and codes before the study is complete.</p>
<p>Emergency codes generated by a computer drug-labeling system will be available to the investigator. These codes, which reveal the patients treatment group, may be opened during the study only if the choice of follow-up treatment depends on the patient’s therapy assignment.</p>
<p>The investigator should make every effort to contact the clinical research physician prior to unblinding a patient’s therapy assignment. If a patient’s therapy assignment is unblinded, Lilly must be notified immediately by telephone. After the study, the investigator must return all sealed and any opened codes.</p></div>","6.6.3","355b391e-d816-4f40-93de-5a8e288a1064","SECTION 6.6.3","Blinding and Unblinding","NarrativeContent_45"
"<div></div>","6.7","9efec6cf-14f7-47a7-88f5-f527f5b6ad42","SECTION 6.7","Trial Intervention Compliance","NarrativeContent_46"
"<div></div>","6.8","3f2c4813-03ab-4b76-95cf-c125de450911","SECTION 6.8","Concomitant Therapy","NarrativeContent_47"
"<div></div>","6.8.1","4e6b2261-53fc-4525-8eb7-625322b10d61","SECTION 6.8.1","Prohibited Concomitant Therapy","NarrativeContent_48"
"<div></div>","6.8.2","73011c28-1e46-43cc-9ecd-5bd2f5607cc0","SECTION 6.8.2","Permitted Concomitant Therapy","NarrativeContent_49"
"<div></div>","6.8.3","5ee9ff61-4e78-40ee-901c-a03bc3d5e7bd","SECTION 6.8.3","Rescue Therapy","NarrativeContent_50"
"<div></div>","6.8.4","a80ed27a-81ce-4820-8dcc-59025cac5c5c","SECTION 6.8.4","Other Therapy","NarrativeContent_51"
"<div></div>","7","6b19b032-8000-4ce6-9eef-2c29507c8a14","SECTION 7","DISCONTINUATION OF TRIAL INTERVENTION AND PARTICIPANT WITHDRAWAL FROM TRIAL","NarrativeContent_52"
"<div></div>","7.1","912ba0f2-7d15-4889-b2fe-a77f747ae29c","SECTION 7.1","Discontinuation of Trial Intervention","NarrativeContent_53"
"<div></div>","7.1.1","35510d1b-e1d2-4112-8dc6-8b1b429bcbaf","SECTION 7.1.1","Criteria for Permanent Discontinuation of Trial Intervention","NarrativeContent_54"
