"description","windowUpper","uuid:ID","name","label","window","id","value","windowLower"
"Screening timing","","5ff68d54-0c11-4a14-80f1-dbf167798e61","TIM1","Screening","","Timing_1","P2W",""
"Pre dose timing","PT0H","fffccc4d-00b1-41a7-a577-903aa5c6e43a","TIM2","Pre dose","-4..0 hours","Timing_2","P2D","PT4H"
"Dosing anchor","","2710c8c8-a6c4-48a2-bc5a-bf7327e590d1","TIM3","Dosing","","Timing_3","P1D",""
"Week 2 timing","P3D","6ed782c7-418c-4a4d-a1c9-156e4e8769da","TIM4","Week 2","-3..3 days","Timing_4","P2W","P3D"
"Week 4 timing","P3D","f7a79755-1128-4c75-8fb5-5e0d3bfa7fc9","TIM5","Week 4","-3..3 days","Timing_5","P4W","P3D"
"Week 6 timing","P3D","8868896f-ccb9-438a-9b64-fdc86ccc5558","TIM6","Week 6","-3..3 days","Timing_6","P6W","P3D"
"Week 8 timing","P3D","ac054fc1-192c-4e79-842a-2ec1afc7d57e","TIM7","Week 8","-3..3 days","Timing_7","P8W","P3D"
"Week 8 at home timing","","d7332c5d-85f7-4a96-ab56-3fbca9376adf","TIM8","Week 8 Home","","Timing_8","P2W",""
"Week 12 timing","P4D","0e8e39d7-e305-4a32-be79-d66b9ef2a817","TIM9","Week 12","-4..4 days","Timing_9","P12W","P4D"
"Week 12 at home timing","","3337c49e-ac7b-40e8-b24c-4177f05f9cd7","TIM10","Week 12 Home","","Timing_10","P2W",""
"Week 16 timing","P4D","caad450a-c9d9-4e67-b650-c9819cf9b2db","TIM11","Week 16","-4..4 days","Timing_11","P16W","P4D"
"Week 16 at home timing","","cdf1c4fe-2320-4bb3-836e-70cad23a35dd","TIM12","Week 16 Home","","Timing_12","P2W",""
"Week 20 timing","P4D","ff01ff0b-08f0-4f18-bf44-38a969b9ade2","TIM13","Week 20","-4..4 days","Timing_13","P20W","P4D"
"Week 20 at home timing","","dac72c46-7ae6-4598-a362-339b7dfa12f4","TIM14","Week 20 Home","","Timing_14","P2W",""
"Week 24 timing","P4D","6fc02d90-fce0-4e46-8cd6-eb4f530677eb","TIM15","Week 24","-4..4 days","Timing_15","P24W","P4D"
"Week 26 timing","P3D","9f1dfe86-d1d5-4d4f-8cd5-579b6379f6f9","TIM16","Week 26","-3..3 days","Timing_16","P26W","P3D"
"Adverse Event","","9f103935-084c-48d3-af2a-38e9c3cfe4c1","TIM17","Adverse Event","","Timing_17","P1D",""
"Early Termination","","5e39e8ec-9dd7-4b21-8763-d6752161e6fc","TIM18","Early Termination","","Timing_18","P1D",""
"BP Anchor","","717238ad-5614-4955-969e-d1751c8bf338","TIM19","BP Anchor","","Timing_19","PT0M",""
"BP while Supine","","8485481b-a1ea-47ff-a306-dfa3443fa4ff","TIM20","BP while Supine","","Timing_20","PT5M",""
"BP Stand Up","PT0M","daefc13e-4821-4117-ab2d-406ec60e3858","TIM21","BP Stand Up","-2..0 min","Timing_21","PT3M","PT2M"
"BP while standing","","9fcb4895-89dc-4ea8-903a-fab4e54aaa97","TIM22","BP while standing","","Timing_22","PT0M",""
