"name","uuid:ID","purpose","label","text","description","id","instanceType"
"END1","5b660944-6c2b-4efe-a8c0-918cc8d6ee0f","","","Clinical status assessed using a 7-category ordinal scale at Day 28","","Endpoint_1","ENDPOINT"
"END2","78a243e2-b497-40a7-bf28-585e49334151","","","Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","","Endpoint_2","ENDPOINT"
"END3","ecc20bb2-922e-425a-8f6a-9f4b5eba665d","","","Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","","Endpoint_3","ENDPOINT"
"END4","7ccb8429-9b26-4a5a-8962-640507835b88","","","Incidence of mechanical ventilation","","Endpoint_4","ENDPOINT"
"END5","9048b0e5-4c91-44e0-8595-dd6d60018956","","","Ventilator-free days to Day 28","","Endpoint_5","ENDPOINT"
"END6","4afe2405-4a5c-464a-8e59-a00d984b1eef","","","Incidence of intensive care unit (ICU) stay","","Endpoint_6","ENDPOINT"
"END7","56def145-8e8f-4778-a931-eba10e7b91d7","","","Duration of ICU stay","","Endpoint_7","ENDPOINT"
"END8","2d240399-4ca3-4413-b3cb-ee8d14da33b7","","","Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","","Endpoint_8","ENDPOINT"
"END9","8592271e-e2a4-479b-9522-a87135694a31","","","Mortality rate at Days 7, 14, 21, 28, and 60","","Endpoint_9","ENDPOINT"
"END10","d8200379-eec6-43f3-860e-82bc52860ad2","","","Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","","Endpoint_10","ENDPOINT"
"END11","8e75de88-9826-4716-977c-22aa6acf3ab8","","","Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","","Endpoint_11","ENDPOINT"
"END12","80a235e5-3b8d-4436-9c54-1f813cd6b21c","","","Duration of supplemental oxygen","","Endpoint_12","ENDPOINT"
