"sectionNumber","name","uuid:ID","sectionTitle","text","id"
"0","ROOT","db26d411-eb24-4292-b7b4-44d8c47c3a2e","Root","","NarrativeContent_1"
"1","SECTION 1","4646b0fc-55cd-4de7-9447-a640a93dc2f3","PROTOCOL SUMMARY","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","NarrativeContent_2"
"1.1","SECTION 1.1","61839d4c-cd79-47b3-8212-c864d392dd20","Protocol Synopsis","<div></div>","NarrativeContent_3"
"1.2","SECTION 1.2","9b97b0cc-cc12-4015-8a2e-d6dcc5fe6795","Trial Schema","<div></div>","NarrativeContent_4"
"1.3","SECTION 1.3","62a22068-dc88-40af-ab0f-4f9bcba36814","Schedule of Activities","<div></div>","NarrativeContent_5"
"2","SECTION 2","f42f5d81-43a5-46ff-95f9-a28d87ca59e4","INTRODUCTION","<div></div>","NarrativeContent_6"
"2.1","SECTION 2.1","6a6c4227-61d7-47ec-8ad8-ddac14400e32","Purpose of Trial","<div></div>","NarrativeContent_7"
"2.2","SECTION 2.2","315702ab-edea-45db-9934-047dbe5f736b","Summary of Benefits and Risks","<div></div>","NarrativeContent_8"
"3","SECTION 3","858aeec3-bc4b-4ba4-bba4-4f198adf5fac","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","NarrativeContent_9"
"3.1","SECTION 3.1","fa23fa59-8d1b-4b82-944c-93f96207a036","Primary Objectives","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","NarrativeContent_10"
"4","SECTION 4","3f7c39a6-6f63-4ad6-8e57-7cbce8140fb4","TRIAL DESIGN","<div></div>","NarrativeContent_11"
"4.1","SECTION 4.1","ab1338d4-fdf7-4208-9253-3df11a4f24e9","Description of Trial Design","<div></div>","NarrativeContent_12"
"4.1.1","SECTION 4.1.1","3b52858b-ddf5-4934-ae00-2e853b7c55c6","Participant Input into Design","<div></div>","NarrativeContent_13"
"4.2","SECTION 4.2","6a77127c-b5ea-4ebf-ba0e-c31166c49582","Rationale for Trial Design","<div></div>","NarrativeContent_14"
"4.2.1","SECTION 4.2.1","a290bb6d-8c22-4dac-891d-cdeb045b02f4","Rationale for Comparator","<div></div>","NarrativeContent_15"
"4.2.2","SECTION 4.2.2","c2604a15-3206-40a7-8503-a5f84bdb146a","Rationale for Adaptive or Novel Trial Design","<div></div>","NarrativeContent_16"
"4.2.3","SECTION 4.2.3","8764c577-4188-4284-875a-eea6fe940af9","Other Trial Design Considerations","<div></div>","NarrativeContent_17"
"4.3","SECTION 4.3","06eb895f-dd0e-44e3-97f7-fdefa16b61c2","Access to Trial Intervention After End of Trial","<div></div>","NarrativeContent_18"
"4.4","SECTION 4.4","7f511789-faf3-43d3-8c99-66ab9498a1a7","Start of Trial and End of Trial","<div></div>","NarrativeContent_19"
"5","SECTION 5","28be3707-be28-4b67-80d2-9067d29fe24d","TRIAL POPULATION","<div></div>","NarrativeContent_20"
"5.1","SECTION 5.1","e240bca2-89b5-45a9-b3e8-b164c451b2e1","Selection of Trial Population","<div></div>","NarrativeContent_21"
"5.2","SECTION 5.2","809ae4c2-10b6-4718-b4fe-6052b7f6ffdc","Rationale for Trial Population","<div></div>","NarrativeContent_22"
"5.3","SECTION 5.3","1bfe3624-87e1-4143-b42e-eaf4d141094e","Inclusion Criteria","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","NarrativeContent_23"
