"name","uuid:ID","label","text","description","id"
"ENCOUNTER_START_RULE_1","beb70278-7bb0-4fe0-8ce4-35cb3c4bff4f","","Subject identified","","TransitionRule_1"
"ENCOUNTER_START_RULE_1","d00ced18-c45e-43c1-b83d-9c514ba09475","","IEs passed","","TransitionRule_2"
"ENCOUNTER_START_RULE_3","3e895f31-607c-4642-8824-edb4f87bd9bc","","Radomized","","TransitionRule_3"
"ELEMENT_START_RULE_1","a02e2f03-5812-4930-868a-318e3053829d","","Study Start","","TransitionRule_4"
"ELEMENT_END_RULE_1","b9749efe-a466-41f0-90a4-ce8e6ee19a11","","Screened","","TransitionRule_5"
"ELEMENT_START_RULE_2","f146a991-52b1-4aa0-9a8d-ab83a6f4e9d8","","Screened","","TransitionRule_6"
"ELEMENT_END_RULE_2","e115b475-08d2-409d-b794-a738b17c30db","","Radomized","","TransitionRule_7"
"ELEMENT_START_RULE_3","ce4d0387-79df-4f70-b29c-a07065fdc792","","Radomized","","TransitionRule_8"
"ELEMENT_END_RULE_3","f9a4cf68-0833-4ab6-88d1-50bcfceee96f","","Completed treatment 1","","TransitionRule_9"
"ELEMENT_START_RULE_5","bff453b0-1d03-4c78-8123-886c50e25f77","","Radomized","","TransitionRule_12"
"ELEMENT_END_RULE_5","9dc38384-2ee0-4907-8f13-939c99c12ef9","","Completed treatment 2","","TransitionRule_13"
"ELEMENT_START_RULE_4","4f1910d4-5890-4251-80f2-8a67e6a330b0","","Treated","","TransitionRule_10"
"ELEMENT_END_RULE_4","ad959b3d-c524-472b-8892-66c6c1d041d6","","Leave Study","","TransitionRule_11"
