"valueLabel","name","id","value","instanceType","windowUpper","label","windowLower","description","uuid:ID","windowLabel"
"2 weeks","TIM1","Timing_1","P2W","Timing","","Screening","","Screening timing","8c1307e7-5ef0-428b-bf24-fa7765c0e936",""
"2 days","TIM2","Timing_2","P2D","Timing","PT0H","Pre dose","PT4H","Pre dose timing","f33bd801-f7ec-4c19-ae2e-43e41aae73c5","-4..0 hours"
"1 Day","TIM3","Timing_3","P1D","Timing","","Dosing","","Dosing anchor","8e212fae-9b11-424a-b9dd-c482f5a2c741",""
"2 Weeks","TIM4","Timing_4","P2W","Timing","P3D","Week 2","P3D","Week 2 timing","1bcd8a0e-99f3-4147-858b-4424c4a1f3b1","-3..3 days"
"4 Weeks","TIM5","Timing_5","P4W","Timing","P3D","Week 4","P3D","Week 4 timing","1ccf87ba-bf56-407b-92c0-5136a19ea7fe","-3..3 days"
"6 Weeks","TIM6","Timing_6","P6W","Timing","P3D","Week 6","P3D","Week 6 timing","a255575e-050e-4742-8109-15835fb35d93","-3..3 days"
"8 Weeks","TIM7","Timing_7","P8W","Timing","P3D","Week 8","P3D","Week 8 timing","71a0194f-74cf-43ca-9bea-1588b0bd7f33","-3..3 days"
"12 Weeks","TIM9","Timing_9","P12W","Timing","P4D","Week 12","P4D","Week 12 timing","89d000bd-36c1-4354-925d-70d42b60701b","-4..4 days"
"16 Weeks","TIM11","Timing_11","P16W","Timing","P4D","Week 16","P4D","Week 16 timing","314506bd-cdd0-4ae8-a6b3-5b4c5ba84bd2","-4..4 days"
"20 Weeks","TIM13","Timing_13","P20W","Timing","P4D","Week 20","P4D","Week 20 timing","965ae054-1480-4680-9822-51f83b9a1eb1","-4..4 days"
"24 Weeks","TIM15","Timing_15","P24W","Timing","P4D","Week 24","P4D","Week 24 timing","1d2ec2b3-f702-4a8e-a36f-04a730a05319","-4..4 days"
"26 Weeks","TIM16","Timing_16","P26W","Timing","P3D","Week 26","P3D","Week 26 timing","2a7f9746-7813-48b4-b417-4d2b307569db","-3..3 days"
"2 Weeks","TIM8","Timing_8","P2W","Timing","","Week 8 Home","","Week 8 at home timing","5533f292-9ac9-4547-8002-2ae517ca44f1",""
"2 Weeks","TIM10","Timing_10","P2W","Timing","","Week 12 Home","","Week 12 at home timing","a4cd8171-4792-4606-bf2c-ff550fad9e71",""
"2 Weeks","TIM12","Timing_12","P2W","Timing","","Week 16 Home","","Week 16 at home timing","09ff2d9c-1a5d-4986-82ae-c250e83a9e36",""
"2 Weeks","TIM14","Timing_14","P2W","Timing","","Week 20 Home","","Week 20 at home timing","2fc7b398-8300-4c98-b084-a57818af9de8",""
"1 Day","TIM17","Timing_17","P1D","Timing","","Adverse Event","","Adverse Event","02639510-94e3-411c-b13e-051b130af257",""
"1 Day","TIM18","Timing_18","P1D","Timing","","Early Termination","","Early Termination","0bdfd51d-d7ee-4764-9bbd-0103e228ec8e",""
"0 mins","TIM19","Timing_19","PT0M","Timing","","Supine","","Supine","b47070ad-6f95-4e32-883d-35a71ddea064",""
"5 mins","TIM20","Timing_20","PT5M","Timing","","VS while supine","","VS while supine","a12c1bc5-0105-4450-b1a6-1463e424b5f4",""
"0 min","TIM21","Timing_21","PT0M","Timing","","Standing","","Standing","62fbbf4f-64dd-4c23-b4d0-036611f5df02",""
"1 min","TIM22","Timing_22","PT1M","Timing","","VS while standing","","VS while standing","72d4b579-05bf-4cca-9cb8-3f9ad8cecfa1",""
"0 min","TIM23","Timing_23","PT0M","Timing","","Standing","","Standing","b4ed60a1-f553-4006-825a-d9b7111b0e8f",""
"2 min","TIM24","Timing_24","PT2M","Timing","","VS while standing","","VS while standing","3053b653-42a4-40ce-8d4d-f56486b3a75e",""
