"id","instanceType","codeSystemVersion","codeSystem","uuid:ID","code","decode"
"Code_1","Code","2023-12-15","http://www.cdisc.org","e2addbed-1149-4b1c-b6fc-6f529233bf98","C98388","Interventional Study"
"Code_2","Code","2023-12-15","http://www.cdisc.org","9cc0eff6-57b6-43a6-b2f1-8c006e5785b2","C15601","Phase II Trial"
"Code_9","Code","2023-12-15","http://www.cdisc.org","38f90457-5e3d-4073-8764-8ad53aa85c97","C132352","Sponsor Approval Date"
"Code_10","Code","2023-12-15","http://www.cdisc.org","fbf58e82-1626-4636-b497-1f14e687b27c","C68846","Global"
"Code_72","Code","2023-12-15","http://www.cdisc.org","fb6eb1a1-ead3-4dff-b732-b6cd884377ef","C99904x3","IRB/IEC Feedback"
"Code_73","Code","2023-12-15","http://www.cdisc.org","a7a971d9-98c2-40f2-a85e-a90527175fec","C17649","Other"
"Code_75","Code","2023-12-15","http://www.cdisc.org","ddf4c77b-6373-4f99-8620-2c0c92e0c964","C41129","Region"
"Code_74","Code","2020-08","ISO 3166 1 alpha3","9df88399-e620-45a0-b7d9-bbb615253df9","150","Europe"
"Code_4","Code","12","SPONSOR","cc5ab219-a0d7-4e3f-9fda-bc713fe9835c","PHARMA","Eli Lilly"
"Code_76","Code","2023-12-15","http://www.cdisc.org","1d0b93fb-f71f-416d-ae66-a93713b3fdd9","C70793","Clinical Study Sponsor"
"Code_77","Code","2020-08","ISO 3166 1 alpha3","f7dc5708-8aee-422f-8c1b-fcf3be109a09","USA","United States of America"
"Code_78","Code","2023-12-15","http://www.cdisc.org","5a11e9a5-ca6d-4db2-b9fe-9c11e8b0e613","C93453","Study Registry"
"Code_79","Code","2020-08","ISO 3166 1 alpha3","9c7abab2-eade-4833-9301-739c518cc04e","USA","United States of America"
"Code_137","Code","2023-12-15","http://www.cdisc.org","91106e99-77ef-4eca-aa93-71fb26cbbd43","C49656","Treatment Study"
"Code_138","Code","2023-12-15","http://www.cdisc.org","d632418c-156c-46fd-912d-610330aa53a7","C49666","Efficacy Study"
"Code_139","Code","2023-12-15","http://www.cdisc.org","2134d7d9-9510-4dce-ab7e-de7a98ea9b93","C49667","Safety Study"
"Code_140","Code","2023-12-15","http://www.cdisc.org","00efe612-5a6b-4099-a1a4-38e1a41479d9","C49663","Pharmacokinetic Study"
"Code_134","Code","12","SPONSOR","81257b99-d285-4cde-8e59-3a1e894c0018","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease"
"Code_135","Code","January 31, 2018","SNOMED","d7e90555-fd7b-44dd-8688-e91843c4f88c","26929004","Alzheimer's disease"
"Code_143","Code","2023-12-15","http://www.cdisc.org","d7ba8f5d-116a-4a33-a37c-17e034d57261","C99907x1","EXTENSION"
"Code_144","Code","2023-12-15","http://www.cdisc.org","1d5ce659-9da5-448e-bcc4-c5053967c9f2","C98704","ADAPTIVE"
"Code_141","Code","2023-12-15","http://www.cdisc.org","0f38167f-291f-4dce-be7c-ef1f6d1e9143","C82639","Parallel Study"
"Code_83","Code","2023-12-15","http://www.cdisc.org","229a7277-5523-4178-be8e-d9eda7cc2ec1","C25716","Visit"
"Code_84","Code","2023-12-15","http://www.cdisc.org","b5501276-ff3a-41a0-b793-addc8bdb72d5","C51282","Clinic"
