"name","id","reference","instanceType","label","uuid:ID","synonyms"
"Informed Consent Obtained","BiomedicalConcept_20","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","BiomedicalConcept","Informed Consent Obtained","fb1ddd7d-a3fe-4cfe-af59-ee5a484bee1a","['Informed Consent Obtained', 'Informed Consent']"
"Sex","BiomedicalConcept_21","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","Sex","1ef9aa73-a63d-40be-89d5-ef4e2d2fc2cb",""
"Race","BiomedicalConcept_22","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","Race","dbc52d59-faf4-4710-b3af-9b520e364246","['Racial Group']"
"Temperature","BiomedicalConcept_23","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","8dbf259e-058e-4a37-a8ba-37899e510d9f","['Temperature', 'Body Temperature']"
"Weight","BiomedicalConcept_24","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","52e1a7b9-1b4b-4d33-adc7-05a34c70d984","['Weight', 'Body Weight']"
"Height","BiomedicalConcept_25","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","fe000bd7-e5a7-4ee9-b541-8e82eeabe2f2","['Height', 'Body Height']"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_26","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","f99375b7-aebf-4914-a13e-78f40429c8f7","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"Albumin Presence in Urine","BiomedicalConcept_27","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","42dad3f0-29bf-4c30-afbd-2eab92fe092f","['Albumin', 'Albumin Measurement']"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_28","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","a4394a90-74d6-4d12-870d-3b959b943e78","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_29","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","78a82d7e-12ca-4d0a-91ed-0d81783e6e32","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"Creatinine Concentration in Urine","BiomedicalConcept_30","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","24407d31-6f7a-4e9f-96a9-30c723c8a5b8","['Creatinine', 'Creatinine Measurement']"
"Potassium Concentration in Urine","BiomedicalConcept_31","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","97da5cda-d21d-441e-845a-7769cb5695af","['Potassium', 'K', 'Potassium Measurement']"
"Sodium Concentration in Urine","BiomedicalConcept_32","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","369fd17d-e0ce-41dd-b7ce-9fd3582cfe9f","['Sodium', 'NA', 'Sodium Measurement']"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept_33","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","4683b98a-b8f8-4bb8-90cc-016a17da354e","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']"
"Adverse Event Prespecified","BiomedicalConcept_1","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","Adverse Event Prespecified","4d1bdc88-d9e3-451f-9f2b-d2bfccce0b74","['Adverse Event', 'Solicited Adverse Event']"
"Systolic Blood Pressure","BiomedicalConcept_2","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","191cd40d-d048-4697-9b3b-783c1b8a5ef9","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","2b4aa6ea-9436-471a-ae2a-a412151f3fc8","['DIABP', 'Diastolic Blood Pressure']"
"Temperature","BiomedicalConcept_4","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","Temperature","2fb71402-225c-4961-a0cf-32a4c5cb360b","['Temperature', 'Body Temperature']"
"Weight","BiomedicalConcept_5","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","Weight","9647c1ea-c95b-4f5b-a957-e49afb987108","['Weight', 'Body Weight']"
"Height","BiomedicalConcept_6","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","Height","42ce3f63-d953-4387-8fb2-c4678c12a8fe","['Height', 'Body Height']"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept_7","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","0cf4d124-154b-495e-bfcd-5b535337eeb3","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']"
"Albumin Presence in Urine","BiomedicalConcept_8","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","Albumin Presence in Urine","192f4288-5147-4aba-a677-7bcbc392402d","['Albumin', 'Albumin Measurement']"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept_9","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","34aa2925-7817-481c-829f-afc0fe609c60","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept_10","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","38537063-aae0-4b12-b728-226624d0ff08","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']"
"Creatinine Concentration in Urine","BiomedicalConcept_11","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","Creatinine Concentration in Urine","c66c1488-7db3-4df9-8d4a-38f16013efc5","['Creatinine', 'Creatinine Measurement']"
"Potassium Concentration in Urine","BiomedicalConcept_12","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","Potassium Concentration in Urine","31b16dcd-1476-4d72-bee6-16731be9b239","['Potassium', 'K', 'Potassium Measurement']"
"Sodium Concentration in Urine","BiomedicalConcept_13","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","Sodium Concentration in Urine","92318f0e-7b21-4ed4-9880-a8a4bffd2e52","['Sodium', 'NA', 'Sodium Measurement']"
"Systolic Blood Pressure","BiomedicalConcept_14","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","1044c380-0b54-4f71-8557-30f56497a0b9","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","7411fbb4-6c73-437e-ae4b-74c5b3d53b44","['DIABP', 'Diastolic Blood Pressure']"
"Heart Rate","BiomedicalConcept_16","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","eeedb6d0-becd-4846-b634-fc37f07584f2","['Heart Rate']"
"Systolic Blood Pressure","BiomedicalConcept_17","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","Systolic Blood Pressure","349c9af2-6b84-4a23-a16a-6c9828ba35f6","['SYSBP', 'Systolic Blood Pressure']"
"Diastolic Blood Pressure","BiomedicalConcept_18","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","Diastolic Blood Pressure","52ceeb4b-74f4-4260-83b8-8f3eaa028a60","['DIABP', 'Diastolic Blood Pressure']"
"Heart Rate","BiomedicalConcept_19","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","BiomedicalConcept","Heart Rate","3d01b03f-fb2e-40df-8bdb-5e42853e96c6","['Heart Rate']"
