"name","id","instanceType","label","description","uuid:ID"
"E1","Encounter_1","Encounter","Screening 1","Screening encounter","b39a100d-9933-478a-ad44-7feaa5e35695"
"E2","Encounter_2","Encounter","Screening 2","Screening encounter - Ambulatory ECG Placement","b0ebbd27-067f-4438-b056-8ebeac9c0420"
"E3","Encounter_3","Encounter","Baseline","Baseline encounter - Ambulatory ECG Removal","c4bda1f4-891a-4f9d-a048-6ce3920ad3f7"
"E4","Encounter_4","Encounter","Week 2","Day 14","2b7c3222-eede-4215-ac4b-7198f1ca25b5"
"E5","Encounter_5","Encounter","Week 4","Day 28","7e912c04-0984-440c-a4d8-35311bcb41e0"
"E7","Encounter_6","Encounter","Week 6","Day 42","89c66afc-d649-4233-8553-50e5dbae2fbd"
"E8","Encounter_7","Encounter","Week 8","Day 56","04ab25fd-e944-4474-bd1b-a659b8d22359"
"E9","Encounter_8","Encounter","Week 12","Day 84","90846f38-b13c-456f-9639-f0a81f67433f"
"E10","Encounter_9","Encounter","Week 16","Day 112","a9d5949a-4143-4081-8f8d-fbf85124d875"
"E11","Encounter_10","Encounter","Week 20","Day 140","578fd0cb-f473-483b-be8a-3d77f03d441c"
"E12","Encounter_11","Encounter","Week 24","Day 168","a680e554-de41-4330-b35a-012c01d83225"
"E13","Encounter_12","Encounter","Week 26","Day 182","ce945de0-4d67-465f-b14e-fd0eeed21f3b"
