"name","id","instanceType","purpose","label","text","description","uuid:ID"
"END1","Endpoint_1","Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","","ed885c3c-0556-4d17-a7c2-4ba517612199"
"END2","Endpoint_2","Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","","b8a5066b-1180-4667-9b5e-497d955cee42"
"END3","Endpoint_3","Endpoint","","","Adverse events","","08604219-1ba9-4428-a4c2-10400631a7e2"
"END4","Endpoint_4","Endpoint","","","Vital signs (weight, standing and supine blood pressure, heart rate)","","e24eef07-ffd6-41b3-b2c4-f8b74cbe9c52"
"END5","Endpoint_5","Endpoint","","","Laboratory evaluations (Change from Baseline)","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","a273fa2b-bbe5-4e7d-ad2f-eca23c9ea1e8"
"END6","Endpoint_6","Endpoint","","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","","084e6c4b-d47d-469e-ac49-b2bdfea60204"
"END7","Endpoint_7","Endpoint","","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","","dc4fba07-3fbf-4028-9285-78445c02bfc6"
"END8","Endpoint_8","Endpoint","","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","","0fa11a63-2610-4215-ac8a-f12f528b4cdd"
"END9","Endpoint_9","Endpoint","","","*** To be determined from protocol ***","","96729316-995c-4605-b678-a00f1c467625"
"END10","Endpoint_10","Endpoint","","","*** To be determined from protocol ***","","bc4f6df6-3ae2-441f-85a5-6881d474cf32"
"END11","Endpoint_11","Endpoint","","","*** To be determined from protocol ***","","7655a0cb-2f76-4509-9edc-ebff65aa01fb"
