"name","id","instanceType","text","uuid:ID"
"ENCOUNTER_START_RULE_1","TransitionRule_1","TransitionRule","Subject identifier","f702e440-e9e5-455e-9b2a-b4faf1ed4209"
"ENCOUNTER_START_RULE_1","TransitionRule_2","TransitionRule","completion of screening activities","1752d268-8d78-44e6-9053-5d08be58b7b0"
"ENCOUNTER_START_RULE_2","TransitionRule_3","TransitionRule","subject leaves clinic after connection of ambulatory ECG machine","bb29fb07-119f-46cc-be73-95b7dc51a74c"
"ENCOUNTER_START_RULE_3","TransitionRule_4","TransitionRule","subject has connection of ambulatory ECG machine removed","20a757d1-e3c3-446d-bbc1-382c39ca6bf9"
"ENCOUNTER_START_RULE_3","TransitionRule_5","TransitionRule","Radomized","1319887b-7512-4252-abfa-1cced0574152"
"ENCOUNTER_START_RULE_12","TransitionRule_6","TransitionRule","End of treatment","a67bf7c6-348f-41d6-b285-bc50f6d1a55a"
"ELEMENT_START_RULE_1","TransitionRule_7","TransitionRule","Informed consent","3bb0e2b6-9e7f-45f2-92fd-1b9715b42cfb"
"ELEMENT_END_RULE_1","TransitionRule_8","TransitionRule","Completion of all screening activities and no more than 2 weeks from informed consent","61a6ab58-ac76-4aa3-ab65-9ff0c95f517a"
"ELEMENT_START_RULE_2","TransitionRule_9","TransitionRule","Administration of first dose","af76a9ae-0f21-4f9b-8a01-bbc48dcc59ee"
"ELEMENT_START_RULE_7","TransitionRule_14","TransitionRule","End of last scheduled visit on study (including early termination)","5939f376-2f43-4224-bd62-7d5408d05a3a"
"ELEMENT_END_RULE_7","TransitionRule_15","TransitionRule","Completion of all specified followup activities (which vary on a patient-by-patient basis)","29206625-f9a1-4238-bdd9-cbfb41eec6ec"
"ELEMENT_START_RULE_3","TransitionRule_10","TransitionRule","Administration of first dose","8a3ec7b3-9e19-4cfd-b1c0-40c9119589d1"
"ELEMENT_START_RULE_4","TransitionRule_11","TransitionRule","Randomized","df96840b-b076-4053-80ca-d6c0f48d9105"
"ELEMENT_START_RULE_5","TransitionRule_12","TransitionRule","Administration of first dose (from patches supplied at Visit 4)","a27dde0a-4dd5-42a4-87ef-443c61a022f4"
"ELEMENT_START_RULE_6","TransitionRule_13","TransitionRule","Administration of first dose (from patches supplied at Visit 12)","817d1935-51a2-4ca5-8f9b-06aee6f58926"
