"name","id","instanceType","label","description","uuid:ID"
"Informed consent","Activity_1","Activity","Informed consent","","052238e8-c5d9-4ee4-82c5-62f32028e7f2"
"Inclusion/exclusion criteria","Activity_2","Activity","Inclusion and exclusion criteria","","7a431c91-a447-4550-bd39-1ea0beaa8ed1"
"Patient number assigned","Activity_3","Activity","Patient number assigned","","6226e562-00fc-4660-ad1a-090403f4e905"
"Demographics","Activity_4","Activity","Demographics","","431c23cb-5c12-4ead-9cca-2a8b21e403ea"
"Hachinski","Activity_5","Activity","Hachinski Ischemic Scale","","d57ca3c8-8c4d-49bf-9891-5e027f118722"
"MMSE","Activity_6","Activity","MMSE","","269668ba-a0db-442c-958a-7c5a55ec8c40"
"Physical examination","Activity_7","Activity","Physical examination","","517f8e30-05a7-44ed-9401-f417f9467328"
"Medical history","Activity_8","Activity","Medical history","","2383dc98-c6fe-43cd-889a-72dcb4390d37"
"Habits","Activity_9","Activity","Habits","","ca5d4833-3157-452c-80bc-826f43be08b9"
"Chest X-ray","Activity_10","Activity","Chest X-ray","","4f67a72d-0015-45f7-b401-4c73ea733278"
"Apo E genotyping","Activity_11","Activity","Apo E genotyping","","afa27bd4-5aa9-44e4-bedd-f9db819bcef5"
"Patient randomised","Activity_12","Activity","Patient randomised","","7297f77f-599c-4a7f-80db-75a4921a8ff3"
"Vital signs / Temperature","Activity_13","Activity","Vital Signs and Temperature","","bf98348a-0ddd-47c8-be12-3f4c1d409368"
"Ambulatory ECG placed","Activity_14","Activity","Ambulatory ECG placed","","a0e5d133-c612-44f5-9dfc-ee7dfc9d7dec"
"Ambulatory ECG removed","Activity_15","Activity","Ambulatory ECG removed","","1a686c62-df6c-44d7-a947-3c835528142f"
"ECG","Activity_16","Activity","ECG","","b166b845-2671-4482-ba83-496af2dced9c"
"Placebo TTS test","Activity_17","Activity","Placebo TTS test","","912979f9-5aa4-4f72-ba10-6c3fad967d26"
"CT scan","Activity_18","Activity","CT scan","","d0add9ae-26a6-48f3-a453-f67fc11fa820"
"Concomitant medications","Activity_19","Activity","Concomitant medications","","4be8adcd-43ce-4cc4-8e89-dce42da51eca"
"Hematology","Activity_20","Activity","Hematology","","3aa08b12-8416-458f-bc36-0b07c33f038e"
"Chemistry","Activity_21","Activity","Chemistry","","3e52160d-1179-4d4e-a7f0-3339bf4b256f"
"Uninalysis","Activity_22","Activity","Uninalysis","","610804c5-5f22-45eb-b871-775d2b8fe0dc"
"Plasma Specimen (Xanomeline)","Activity_23","Activity","Plasma Specimen (Xanomeline)","","3aefc772-25d0-454d-b5cf-e1e7e14e2399"
"Hemoglobin A1C","Activity_24","Activity","Hemoglobin A1C","","69f2278c-fbef-48b0-b70a-1f49ecee16cb"
"Study drug","Activity_25","Activity","Study drug record , Medications dispensed, Medications returned","","24931837-f9f0-4c77-9731-bc4220f72799"
"TTS Acceptability Survey","Activity_26","Activity","TTS Acceptability Survey","","81ba9ff4-c20e-47fd-bb5b-a59f8b7f74ae"
"ADAS-Cog","Activity_27","Activity","ADAS-Cog","","b1df075b-ce72-4bba-b50b-c0113f4638d2"
"CIBIC+","Activity_28","Activity","CIBIC+","","04f16a72-8070-4ff8-9948-b9675f37e112"
"DAD","Activity_29","Activity","DAD","","3c56ef00-ec00-4ed9-b5a7-1ed3b16c1676"
"NPI-X","Activity_30","Activity","NPI-X","","ed46e60c-88eb-49ad-a77b-f37b642ec8ee"
"Adverse events","Activity_31","Activity","Adverse events","","38963d90-6c1b-422a-afdf-a6326a2b25c1"
"Check adverse events","Activity_32","Activity","Check adverse events","","1c4b5dc8-de3c-4857-9672-587e7f75e2a0"
"Supine","Activity_33","Activity","Subject supine","","8576a7b7-f9e0-4977-9ed5-40875848ec61"
"Vital Signs Supine","Activity_34","Activity","Vital signs while supine","","70ea84e1-9d7e-4555-b481-e7e122b07cb2"
"Stand","Activity_35","Activity","Subject Standing","","df84927d-bc81-4c52-a304-986bf129914c"
"Vital Signs Standing","Activity_36","Activity","Vital signs while standing","","7a158427-018c-4985-b5cb-0a94a5018105"
