"name","id","instanceType","label","description","uuid:ID"
"SCREEN1","ScheduledActivityInstance_9","ScheduledActivityInstance","Screen One","-","00b2bc91-fd88-40bb-9fbf-704f0b9242c2"
"SCREEN2","ScheduledActivityInstance_10","ScheduledActivityInstance","Screen Two","-","b6fa3812-77ca-4688-8046-c06cab3f0589"
"DOSE","ScheduledActivityInstance_11","ScheduledActivityInstance","Dose","-","3830c6d6-726a-4a6b-a8be-0151c6be3f5b"
"WK2","ScheduledActivityInstance_12","ScheduledActivityInstance","Week 2","-","818c5207-66e6-4710-8250-f02ec0eefe65"
"WK4","ScheduledActivityInstance_13","ScheduledActivityInstance","Week 4","-","3bb352b4-746b-421b-8377-224c7fedcd86"
"WK6","ScheduledActivityInstance_14","ScheduledActivityInstance","Week 6","-","4e1143fe-4021-4c75-b0ed-cd07e9212abc"
"WK8","ScheduledActivityInstance_15","ScheduledActivityInstance","Week 8","-","2c87c1e2-04fd-46ae-90a9-7a25269f2643"
"WK8N","ScheduledActivityInstance_16","ScheduledActivityInstance","Week NPI","-","55b1cda5-ba7d-4c12-881d-890c8db5c3c6"
"WK12","ScheduledActivityInstance_17","ScheduledActivityInstance","Week 12","-","9f7c6354-430c-4592-9592-e6210b220b1c"
"WK12N","ScheduledActivityInstance_18","ScheduledActivityInstance","Week 12 NPI","-","975623dc-38b3-4a3d-a072-741575ba9d03"
"WK16","ScheduledActivityInstance_19","ScheduledActivityInstance","Week 16","-","a14b522b-6072-4d84-a49b-b76c1dbac125"
"WK16N","ScheduledActivityInstance_20","ScheduledActivityInstance","Week 16 NPI","-","81b0e1dd-dc2b-4454-81c6-a89d51ecab84"
"WK20","ScheduledActivityInstance_21","ScheduledActivityInstance","Week 20","-","b4456f32-26ad-4d3e-9afe-458882448a9b"
"WK20N","ScheduledActivityInstance_22","ScheduledActivityInstance","Week 20 NPI","-","3d11c636-405e-400c-b561-173109ae18ce"
"WK24","ScheduledActivityInstance_23","ScheduledActivityInstance","Week 24","-","4bc6dc8b-1c06-49cd-ad70-e4a661bbbd74"
"WK26","ScheduledActivityInstance_24","ScheduledActivityInstance","Week 26","-","11d0a214-3041-4d1c-9751-fc44bb9717a3"
"AE","ScheduledActivityInstance_1","ScheduledActivityInstance","Adevers Event","-","7be83975-c084-499a-a1a8-66fd8af4e87b"
"ET","ScheduledActivityInstance_2","ScheduledActivityInstance","Early Termination","-","cef516da-30a8-4c66-aa3d-f28b683c4ed4"
"VS_5MIN","ScheduledActivityInstance_3","ScheduledActivityInstance","5 minute supine","","a29e14c4-e8da-4685-910e-8216bf5f08ea"
"VS_SUPINE","ScheduledActivityInstance_4","ScheduledActivityInstance","Vital signs supine","","fe154ff2-4c66-415f-a056-dddd7ac006f4"
"VS_1MIN","ScheduledActivityInstance_5","ScheduledActivityInstance","1 minute standing","","19ba5e75-f6e9-4794-863a-6cfc7476b677"
"VS_STAND1","ScheduledActivityInstance_6","ScheduledActivityInstance","Vital signs after 1 min standing","","30d55607-55c4-47c7-88fb-044ebe35f8f5"
"VS_2MIN","ScheduledActivityInstance_7","ScheduledActivityInstance","2 minute standing","","49a0342b-9277-4c71-8a0c-ac7be3394f27"
"VS_STAND3","ScheduledActivityInstance_8","ScheduledActivityInstance","Vital signs after 3 min standing","","c039053d-5a1e-45aa-a23e-c990200368d3"
