"decode","codeSystem","uuid:ID","codeSystemVersion","id","code"
"Interventional Study","http://www.cdisc.org","e67cc8ca-b588-4805-b9de-c84fcb14f3f2","2023-09-29","Code_1","C98388"
"Phase III Trial","http://www.cdisc.org","5af3db49-9242-47dc-8e7a-a24c7f21c8e8","2023-09-29","Code_2","C15602"
"Sponsor Approval Date","http://www.cdisc.org","85fbda69-200b-4dd6-a707-c242ac794f3a","2023-09-29","Code_6","C132352"
"Global","http://www.cdisc.org","1f50826f-bf75-4980-a7b7-c8b40c3522b5","2023-09-29","Code_7","C68846"
"Vacines Group","SPONSOR","f0eb59d0-2fee-4a1f-82de-f4df07163903","12","Code_3","VAC"
"Regulatory","SPONSOR","320beee6-cc35-4a93-af44-5c4b096d0f3b","12","Code_4","REG"
"Study Registry","http://www.cdisc.org","c860c7bb-f6a3-4933-b665-432138d85a01","2023-09-29","Code_10","C93453"
"United Kingdom of Great Britain and Northern Ireland","ISO 3166 1 alpha3","989092a7-db11-44a9-9a10-4768d33331b9","2020-08","Code_11","GBR"
"Clinical Study Sponsor","http://www.cdisc.org","51291abc-f27e-4170-9522-a6b54c01347c","2023-09-29","Code_12","C70793"
"France","ISO 3166 1 alpha3","38aca62e-62a9-463e-97b4-5ac2ba8b0699","2020-08","Code_13","FRA"
"Basic Research","http://www.cdisc.org","33435d3d-7aad-4228-9cd2-5a4ecb13d908","2023-09-29","Code_42","C15714"
"Device Feasibility Study","http://www.cdisc.org","9e2c77dc-c49f-4554-b733-e810408fa008","2023-09-29","Code_43","C139174"
"Efficacy Study","http://www.cdisc.org","4c682962-08dd-4ecd-ba92-44bb1f6071c3","2023-09-29","Code_44","C49666"
"Type 2 diabetes","SPONSOR","8059d4f2-70b2-499a-a40e-4a460a35ac38","12","Code_39","T2_DIABETES"
"Diabetes mellitus (disorder)","SNOMED","623a17ff-f3e5-4020-8e75-f205d0f19268","January 31, 2018","Code_40","73211009"
"Parallel Study","http://www.cdisc.org","a7cfb5fc-5b77-44ce-9d46-d9b8e0adc8e9","2023-09-29","Code_45","C82639"
"Visit","http://www.cdisc.org","f92e43be-9abf-4007-bfd1-131561a9f77d","2023-09-29","Code_16","C25716"
"Clinic","http://www.cdisc.org","c2b28375-d830-4c5b-b1eb-5750ca087f64","2023-09-29","Code_17","C51282"
"In Person","http://www.cdisc.org","2c51c3b1-592f-4364-a3a4-b69394bab5a1","2023-09-29","Code_18","C175574"
"Visit","http://www.cdisc.org","be758862-d712-4fa3-8d8b-fab5a6dcd4c1","2023-09-29","Code_19","C25716"
"Clinic","http://www.cdisc.org","d63a63d5-4030-4cc3-abb0-c3870374e1ef","2023-09-29","Code_20","C51282"
"In Person","http://www.cdisc.org","35483be4-8561-4f42-898d-95fe56f04504","2023-09-29","Code_21","C175574"
"Visit","http://www.cdisc.org","79dec627-5806-4a89-8d41-1631c5a245f7","2023-09-29","Code_22","C25716"
"Clinic","http://www.cdisc.org","0618e519-8647-47d9-8f59-98692fde3a4f","2023-09-29","Code_23","C51282"
"In Person","http://www.cdisc.org","25cb924a-49b7-46c2-9b4c-4ba1057069ea","2023-09-29","Code_24","C175574"
"Visit","http://www.cdisc.org","da561a49-c41e-476c-b8c9-a4d7df2cd330","2023-09-29","Code_25","C25716"
"Clinic","http://www.cdisc.org","c46e5306-f2a1-4bf6-a04e-887157b5f0d9","2023-09-29","Code_26","C51282"
"In Person","http://www.cdisc.org","6c631bba-92ad-4a8b-ba2b-973af3dd1641","2023-09-29","Code_27","C175574"
"Visit","http://www.cdisc.org","efc10ebd-90c9-4a6b-bf0b-a7a056f8b241","2023-09-29","Code_28","C25716"
"Home","http://www.cdisc.org","ead0b5ca-8c99-4a1f-914b-542a9ee47157","2023-09-29","Code_29","C18002"
"Telephone Call","http://www.cdisc.org","53b25fc4-c8a9-4ecc-b218-91d15a6afac7","2023-09-29","Code_30","C171537"
"Male","http://www.cdisc.org","07b3043a-75ea-428d-b79b-6a883cd019a7","2023-09-29","Code_72","C20197"
"Female","http://www.cdisc.org","21403d2d-908b-48b7-94ac-0f014c4f2fc3","2023-09-29","Code_73","C16576"
"Sex","NCI Thesaurus","fc2b58c4-bf2a-4d9d-a51f-6b5e639f70e0","","Code_74","C28421"
"Sex","NCI Thesaurus","7924eaea-5e82-4ab8-8872-3f709bbfa835","","Code_71","C28421"
"Race","NCI Thesaurus","2e2189cd-daf0-47d2-af22-11dc4d7181a9","","Code_76","C17049"
"Race","NCI Thesaurus","55093d77-c684-4542-b6d9-219f5c837b9a","","Code_75","C17049"
"Vital Signs Result","NCI Thesaurus","bd7183f2-b94a-45ba-a9bc-00060fd8db21","","Code_78","C173522"
"Kilogram","http://www.cdisc.org","ef3e3f7e-7a51-40f2-998d-2f1b2be827c7","2023-09-29","Code_79","C28252"
"Gram","http://www.cdisc.org","1bdb2f29-0170-4515-b1dd-2bcb6b9a548c","2023-09-29","Code_80","C48155"
"Pound","http://www.cdisc.org","95420081-6ef3-4452-a1fc-4cc4f90ab619","2023-09-29","Code_81","C48531"
"Unit of Weight","NCI Thesaurus","382f0750-198c-4988-aa66-adeb1c99084c","","Code_82","C48208"
"Body Weight","NCI Thesaurus","d7282892-510b-48c1-b80b-035610377493","","Code_77","C81328"
"Active Comparator Arm","http://www.cdisc.org","a893ca9a-4201-4fbf-bbb6-6877c3e2a580","2023-09-29","Code_31","C174267"
"Data Generated Within Study","http://www.cdisc.org","b61586c4-0df4-4a2b-8872-47989ab98e2e","2023-09-29","Code_32","C188866"
"Placebo Comparator Arm","http://www.cdisc.org","1c6c1221-219b-48dc-b55c-968ca9a0d4f9","2023-09-29","Code_33","C174268"
"Data Generated Within Study","http://www.cdisc.org","8067c9d4-783b-4db3-bde3-c94d409e7e45","2023-09-29","Code_34","C188866"
"Open Label Study","http://www.cdisc.org","48a722aa-40fc-40af-ad78-11a02c9ebbbe","2023-09-29","Code_41","C49659"
"Trial Screening","http://www.cdisc.org","8230f93f-da45-419a-9d5b-367fa367ae1e","2023-09-29","Code_35","C48262"
"Baseline Epoch","http://www.cdisc.org","5da4a7ae-55a6-4bc0-946f-efdf3262fff9","2023-09-29","Code_36","C125938"
"Treatment Epoch","http://www.cdisc.org","4994a6c5-8303-47b2-96b5-a48c77bc7951","2023-09-29","Code_37","C101526"
"Clinical Study Follow-up","http://www.cdisc.org","3a633def-1bf6-4579-b467-95ec13442f68","2023-09-29","Code_38","C99158"
"Indication1","SNOMED","a64487fd-e3de-4ff6-a14e-d24c621af329","January 31, 2018","Code_83","12345"
"Indication2","SNOMED","4c6323a4-0207-48a3-bdb4-519b34685048","January 31, 2018","Code_84","345678"
"role1","M11","77dd71c6-f197-41f7-8089-c716ca7d2a82","None set","Code_90","role1"
"Pharmacologic Substance","http://www.cdisc.org","c08023d4-0802-4851-a424-4a811f2ab352","2023-09-29","Code_91","C1909"
