"text","name","uuid:ID","description","label","instanceType","purpose","id"
"Clinical status assessed using a 7-category ordinal scale at Day 28","END1","480dacf1-50b9-4a7f-b59d-2464227bd0d6","","","ENDPOINT","","Endpoint_1"
"Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","END2","6e52a2a7-6b6e-4f92-a544-185a93976a74","","","ENDPOINT","","Endpoint_2"
"Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","END3","c7ad8e96-9bc2-44d8-b2cd-b3e92278a000","","","ENDPOINT","","Endpoint_3"
"Incidence of mechanical ventilation","END4","8ea62aca-8b36-4320-9beb-d5967dea84aa","","","ENDPOINT","","Endpoint_4"
"Ventilator-free days to Day 28","END5","4b9e6e13-d7d1-4970-9b30-6a3829d39fd3","","","ENDPOINT","","Endpoint_5"
"Incidence of intensive care unit (ICU) stay","END6","1dc33e6b-1c61-4fa8-a55a-fc4181600765","","","ENDPOINT","","Endpoint_6"
"Duration of ICU stay","END7","8585706d-001e-44d3-b06c-f8fd64b62959","","","ENDPOINT","","Endpoint_7"
"Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","END8","e4add11a-995b-41a4-aa04-106ab5c22159","","","ENDPOINT","","Endpoint_8"
"Mortality rate at Days 7, 14, 21, 28, and 60","END9","56d840ef-e1de-46bb-976c-31d1463ab91f","","","ENDPOINT","","Endpoint_9"
"Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","END10","a3fcaa19-94d3-4f59-9dae-52708b2b780f","","","ENDPOINT","","Endpoint_10"
"Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","END11","578d7689-f9b0-4c64-844f-aa88b28c3bbc","","","ENDPOINT","","Endpoint_11"
"Duration of supplemental oxygen","END12","b2d2d07c-3db7-435c-a5ed-ac200d20db39","","","ENDPOINT","","Endpoint_12"
