"name","text","id","uuid:ID"
"ENCOUNTER_START_RULE_1","Subject identified","TransitionRule_1","3b3ed0bd-5861-4b4e-9e7f-5bbf048ce238"
"ENCOUNTER_START_RULE_1","IEs passed","TransitionRule_2","9937b78f-fef6-4a73-8f7b-67b6bf08fb67"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule_3","18718b42-0018-4539-9507-ae716d060351"
"ELEMENT_START_RULE_1","Study Start","TransitionRule_4","8f152a9f-255d-4527-8b47-f6ea61566356"
"ELEMENT_END_RULE_1","Screened","TransitionRule_5","d3bc97a1-7c1c-4368-b80b-7d5aff49373a"
"ELEMENT_START_RULE_2","Screened","TransitionRule_6","dd7a4e17-592e-47c5-8e72-adca48f11b70"
"ELEMENT_END_RULE_2","Radomized","TransitionRule_7","0a5ac343-6c80-4e93-a9d1-de1301c5def6"
"ELEMENT_START_RULE_3","Radomized","TransitionRule_8","2d79ca20-8c59-4202-a8fc-54f4944b3281"
"ELEMENT_END_RULE_3","Completed treatment 1","TransitionRule_9","e90ad628-5276-416a-9924-83ddd00da819"
"ELEMENT_START_RULE_5","Radomized","TransitionRule_12","86997225-b7d3-4a32-98b9-fbe213a38ed7"
"ELEMENT_END_RULE_5","Completed treatment 2","TransitionRule_13","bee2c07a-2451-46be-9863-71eb8e52bcc3"
"ELEMENT_START_RULE_4","Treated","TransitionRule_10","8646576d-fa37-474f-8a76-49bb5be9ba1b"
"ELEMENT_END_RULE_4","Leave Study","TransitionRule_11","d58d87e3-01d1-4667-b26b-6b7558193f9b"
