"sectionNumber","text","name","uuid:ID","sectionTitle","id"
"0","","ROOT","b6b759c2-3c38-4e9e-97cc-dd9ef09b8855","Root","NarrativeContent_1"
"1","<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","SECTION 1","e7eb5999-08ba-4d16-a166-cb9e4cd70fa6","PROTOCOL SUMMARY","NarrativeContent_2"
"1.1","<div></div>","SECTION 1.1","94137370-5eec-4cd8-bb42-4983c6687d6c","Protocol Synopsis","NarrativeContent_3"
"1.2","<div></div>","SECTION 1.2","80f05f16-667c-4352-a3ae-f6445cbc81fe","Trial Schema","NarrativeContent_4"
"1.3","<div></div>","SECTION 1.3","36cb53dd-0b50-4ac4-89be-89c36a1619b0","Schedule of Activities","NarrativeContent_5"
"2","<div></div>","SECTION 2","abbfb6bf-663d-4c9d-b2ea-f4d49c9a6895","INTRODUCTION","NarrativeContent_6"
"2.1","<div></div>","SECTION 2.1","174005e0-e299-49b6-af9f-1728a7547dbc","Purpose of Trial","NarrativeContent_7"
"2.2","<div></div>","SECTION 2.2","3fb6f8a8-3951-4fdd-912f-21ea05e78154","Summary of Benefits and Risks","NarrativeContent_8"
"3","<div></div>","SECTION 3","a6e6f64b-e9ca-4ab6-b8a4-7dc42e8b235b","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","NarrativeContent_9"
"3.1","<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","SECTION 3.1","2ce0da20-1de9-452f-8101-43e08a3d57c1","Primary Objectives","NarrativeContent_10"
"4","<div></div>","SECTION 4","ac9d9166-136d-4e69-8292-c9c29fdc4f42","TRIAL DESIGN","NarrativeContent_11"
"4.1","<div></div>","SECTION 4.1","3f2e6d47-46a0-4979-9c08-84858367c3db","Description of Trial Design","NarrativeContent_12"
"4.1.1","<div></div>","SECTION 4.1.1","95894c46-e5ec-4954-831a-bae5b871aafd","Participant Input into Design","NarrativeContent_13"
"4.2","<div></div>","SECTION 4.2","00058fed-ccbc-4de6-bf04-5c74ca5c80a8","Rationale for Trial Design","NarrativeContent_14"
"4.2.1","<div></div>","SECTION 4.2.1","d630c9c1-373c-4e2c-9918-082d1f3369f8","Rationale for Comparator","NarrativeContent_15"
"4.2.2","<div></div>","SECTION 4.2.2","4ea19556-7d15-4145-a6c6-d82aeba74454","Rationale for Adaptive or Novel Trial Design","NarrativeContent_16"
"4.2.3","<div></div>","SECTION 4.2.3","bc88afeb-c426-4106-b247-9e291438f58c","Other Trial Design Considerations","NarrativeContent_17"
"4.3","<div></div>","SECTION 4.3","98889488-1e6e-4aa3-8170-69a75dc93964","Access to Trial Intervention After End of Trial","NarrativeContent_18"
"4.4","<div></div>","SECTION 4.4","d8823490-040e-4dca-b7f5-9b1c3a7b3bbf","Start of Trial and End of Trial","NarrativeContent_19"
"5","<div></div>","SECTION 5","3d4dec7c-a3c4-4909-99c5-06ace5a08fa8","TRIAL POPULATION","NarrativeContent_20"
"5.1","<div></div>","SECTION 5.1","a503f37f-6026-430e-b776-e52dedaa2a33","Selection of Trial Population","NarrativeContent_21"
"5.2","<div></div>","SECTION 5.2","f792fdf0-ff07-4d73-b3e5-6b89b5ea8e1a","Rationale for Trial Population","NarrativeContent_22"
"5.3","<div><p>Inclusion criteria are:</p>
<ul>
  <li>1. Something</li>
  <li>2. Something else</li>
</ul></div>","SECTION 5.3","34f11502-4fd4-4ef4-bdb9-ac42207b1256","Inclusion Criteria","NarrativeContent_23"
"5.4","<div><p>Exclusion criteria are:</p>
<ul>
  <li>1. Dont do this</li>
  <li>2. And don't do that</li>
</ul></div>","SECTION 5.4","ab334878-7d96-484b-9215-52be9107c83e","Exclusion Criteria","NarrativeContent_24"
"5.5","<div></div>","SECTION 5.5","00047fb9-72f7-484d-9c52-351046e74c55","Lifestyle Considerations","NarrativeContent_25"
"5.5.1","<div></div>","SECTION 5.5.1","815df630-15aa-4cdc-9513-e1d06099e96e","Meals and Dietary Restrictions","NarrativeContent_26"
"5.5.2","<div></div>","SECTION 5.5.2","069e5731-e861-4153-acab-7709f1ed9fa0","Caffeine, Alcohol, Tobacco, and Other Habits","NarrativeContent_27"
"5.5.3","<div></div>","SECTION 5.5.3","f9fa322f-74f8-42fb-bd78-e0b70c0b0120","Physical Activity","NarrativeContent_28"
"5.5.4","<div></div>","SECTION 5.5.4","03137359-e10f-4ec0-be71-9bd2a7dff770","Other Activity","NarrativeContent_29"
"5.6","<div></div>","SECTION 5.6","7d38128a-acdd-4e8f-9945-e527d0e74be6","Screen Failures","NarrativeContent_30"
"6","<div></div>","SECTION 6","23783a6d-e645-4c9c-8c68-41d12f4c431c","TRIAL INTERVENTION AND CONCOMITANT THERAPY","NarrativeContent_31"
"6.1","<div></div>","SECTION 6.1","e5e1ccd1-b50e-4c54-a235-137c84070331","Description of Trial Intervention","NarrativeContent_32"
"6.2","<div></div>","SECTION 6.2","23119728-7eaf-4c41-b2c3-e4365189225c","Rationale for Trial Intervention","NarrativeContent_33"
"6.3","<div></div>","SECTION 6.3","af298a42-3838-4a56-af4f-53c180127fff","Dosing and Administration","NarrativeContent_34"
"6.3.1","<div></div>","SECTION 6.3.1","b01ee88f-22f4-405d-8264-feeedc4d4bb9","Trial Intervention Dose Modification","NarrativeContent_35"
