"id","sectionTitle","name","uuid:ID","text","instanceType","sectionNumber"
"NarrativeContent_1","Root","ROOT","44ba30c3-6c62-4093-ab01-f8bb28f955cc","","NarrativeContent","0"
"NarrativeContent_2","TITLE PAGE","SECTION 0","11b5d4c5-8d57-4f4b-8797-106acd301009","<div><usdm:section name=""M11-title-page""></usdm:section></div>","NarrativeContent","0"
"NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","823324bf-7994-448b-8841-7342ecfdc718","<div></div>","NarrativeContent","1"
"NarrativeContent_4","Protocol Synopsis","SECTION 1.1","fcdcb370-824e-4ab0-8580-0418f6e9963a","<div></div>","NarrativeContent","1.1"
"NarrativeContent_5","Trial Schema","SECTION 1.2","1c8f11ef-aa30-4dd0-8fc2-c4a6ca35f21f","<div></div>","NarrativeContent","1.2"
"NarrativeContent_6","Schedule of Activities","SECTION 1.3","00e29e1d-9aa8-4c32-b0f7-e2aff3d10952","<div></div>","NarrativeContent","1.3"
"NarrativeContent_7","INTRODUCTION","SECTION 2","fa6c23cb-a8c4-4987-9bcc-5264d48c713a","<div></div>","NarrativeContent","2"
"NarrativeContent_8","Purpose of Trial","SECTION 2.1","891d9f37-5faf-4fe4-9506-65780d9be88d","<div></div>","NarrativeContent","2.1"
"NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","f00ce302-6c44-40e0-83f2-d4c40ad48d96","<div></div>","NarrativeContent","2.2"
"NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","bcea79b9-2bb1-4375-8813-b0cee6593288","<div></div>","NarrativeContent","3"
"NarrativeContent_11","Primary Objectives","SECTION 3.1","cacb28c0-38de-4e39-97f5-1c1fe04da9ff","<div><usdm:section name=""M11-objective-endpoints""></usdm:section></div>","NarrativeContent","3.1"
"NarrativeContent_12","TRIAL DESIGN","SECTION 4","27df4f1a-a8f3-46cc-ad61-2d7e8aa33930","<div></div>","NarrativeContent","4"
"NarrativeContent_13","Description of Trial Design","SECTION 4.1","6db070f4-9a55-45ee-899a-46a729c8d068","<div></div>","NarrativeContent","4.1"
"NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","0d20a6b6-f70a-4787-815a-7de68bd51857","<div></div>","NarrativeContent","4.1.1"
"NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","8baef2b0-d890-4472-83d7-dc55dddd1d8c","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent","4.2"
"NarrativeContent_16","Rationale for Comparator","SECTION 4.2.1","da72e939-6a65-4ac8-8345-a18b21bf7c39","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent","4.2.1"
"NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","SECTION 4.2.2","771dbc16-f5a2-42b6-8004-72ce874170a6","<div></div>","NarrativeContent","4.2.2"
