"window","windowLower","id","description","value","name","uuid:ID","label","windowUpper","instanceType"
"","","Timing_1","Screening timing","P2W","TIM1","2a20c867-3816-4701-b9fe-64a6203065fd","Screening","","Timing"
"-4..0 hours","PT4H","Timing_2","Pre dose timing","P2D","TIM2","9a385a8f-4cc0-441e-ba72-58d193900e96","Pre dose","PT0H","Timing"
"","","Timing_3","Dosing anchor","P1D","TIM3","000d8f57-418c-4a10-a7c3-906011988b24","Dosing","","Timing"
"-3..3 days","P3D","Timing_4","Week 2 timing","P2W","TIM4","05190c04-2970-42d6-90ed-e717dc646a60","Week 2","P3D","Timing"
"-3..3 days","P3D","Timing_5","Week 4 timing","P4W","TIM5","1885e9d1-af39-4f56-94ce-665c1514fbaf","Week 4","P3D","Timing"
"-3..3 days","P3D","Timing_6","Week 6 timing","P6W","TIM6","22002fd9-ee80-4fe4-97bd-bdf8503dc61a","Week 6","P3D","Timing"
"-3..3 days","P3D","Timing_7","Week 8 timing","P8W","TIM7","5919176f-8143-492a-af82-61d753de86dc","Week 8","P3D","Timing"
"-4..4 days","P4D","Timing_9","Week 12 timing","P12W","TIM9","845056f2-20b1-424b-8bfb-ddc1b821fa97","Week 12","P4D","Timing"
"-4..4 days","P4D","Timing_11","Week 16 timing","P16W","TIM11","08b19be6-f37b-4ed9-970f-44d79fdc26e0","Week 16","P4D","Timing"
"-4..4 days","P4D","Timing_13","Week 20 timing","P20W","TIM13","5ad3c91e-fad9-47c8-83e5-499e71237e7f","Week 20","P4D","Timing"
"-4..4 days","P4D","Timing_15","Week 24 timing","P24W","TIM15","b9ea6cd5-d94a-40e2-9425-a2d207132099","Week 24","P4D","Timing"
"-3..3 days","P3D","Timing_16","Week 26 timing","P26W","TIM16","a9a2f986-5c49-4027-a45f-f510613231a9","Week 26","P3D","Timing"
"","","Timing_8","Week 8 at home timing","P2W","TIM8","381142e1-2f75-429d-9034-94cc3c9ee2bc","Week 8 Home","","Timing"
"","","Timing_10","Week 12 at home timing","P2W","TIM10","440f2e63-b0b8-4623-89b1-d14428f7bbe3","Week 12 Home","","Timing"
"","","Timing_12","Week 16 at home timing","P2W","TIM12","d4fca155-b3a7-4d5f-98d0-b8a239cbc216","Week 16 Home","","Timing"
"","","Timing_14","Week 20 at home timing","P2W","TIM14","341eeb09-ef55-49cf-bd4c-5c20b22cf54d","Week 20 Home","","Timing"
"","","Timing_17","Adverse Event","P1D","TIM17","dcc93ae1-275b-4efb-b024-808d547f40ae","Adverse Event","","Timing"
"","","Timing_18","Early Termination","P1D","TIM18","3c285200-ccb5-47cb-bdc8-a4a36417c125","Early Termination","","Timing"
"","","Timing_19","Supine","PT0M","TIM19","e3df438f-644a-4154-a160-96ddb03f6cf4","Supine","","Timing"
"","","Timing_20","VS while supine","PT5M","TIM20","976b7e2e-700b-4750-aaab-a74ba41565d3","VS while supine","","Timing"
"","","Timing_21","Standing","PT0M","TIM21","d738e815-91ad-4183-93d3-d35d54eddde1","Standing","","Timing"
"","","Timing_22","VS while standing","PT1M","TIM22","f23afc00-608d-4d0a-bdfe-ab1dd785bc64","VS while standing","","Timing"
"","","Timing_23","Standing","PT0M","TIM23","782e5d02-87a6-4e36-a3cb-2ab3f00794ed","Standing","","Timing"
"","","Timing_24","VS while standing","PT2M","TIM24","7a175c03-5fde-488d-be53-5b00cb59ba8f","VS while standing","","Timing"
