"id","decode","codeSystemVersion","codeSystem","code","uuid:ID","instanceType"
"Code_1","Interventional Study","2023-09-29","http://www.cdisc.org","C98388","7e076ac4-59ff-4d2f-be44-5c36e736ec5f","Code"
"Code_2","Phase II Trial","2023-09-29","http://www.cdisc.org","C15601","821244dc-1e4d-46f1-b193-521905ca467b","Code"
"Code_9","Sponsor Approval Date","2023-09-29","http://www.cdisc.org","C132352","cfa3d21b-169e-4704-83a4-22f4e329f0fb","Code"
"Code_10","Global","2023-09-29","http://www.cdisc.org","C68846","e67f561d-7433-406d-9a6a-3707d0a506ed","Code"
"Code_72","IRB/IEC Feedback","2023-09-29","http://www.cdisc.org","C99904x3","73d465ca-f333-4bbd-b337-2bc1417fa751","Code"
"Code_73","Other","2023-09-29","http://www.cdisc.org","C17649","79db726d-0412-4922-998c-b137ed24f6b9","Code"
"Code_75","Region","2023-09-29","http://www.cdisc.org","C41129","a60be499-11d8-4a18-adc5-998261cbbaba","Code"
"Code_74","Europe","2020-08","ISO 3166 1 alpha3","150","e3a4e578-da2e-4afd-a5a5-a86a43bee2f2","Code"
"Code_4","Eli Lilly","12","SPONSOR","PHARMA","01192ab9-f4cb-4b0a-be55-7d1be792ad21","Code"
"Code_76","Clinical Study Sponsor","2023-09-29","http://www.cdisc.org","C70793","40c1bc58-6d0f-4d88-aa88-7a04df1ffae9","Code"
"Code_77","United States of America","2020-08","ISO 3166 1 alpha3","USA","f258bc3d-d744-4fbb-b43c-2dd23f0a4531","Code"
"Code_78","Study Registry","2023-09-29","http://www.cdisc.org","C93453","ee4a2ef8-73f1-4c0a-9902-94ab4511dc31","Code"
"Code_136","Treatment Study","2023-09-29","http://www.cdisc.org","C49656","ff430226-b496-4baa-8dec-3b0ab0088f4d","Code"
"Code_137","Efficacy Study","2023-09-29","http://www.cdisc.org","C49666","d0bd78b6-d6e3-4fcb-b39f-397c824cce10","Code"
"Code_138","Safety Study","2023-09-29","http://www.cdisc.org","C49667","6ee369c3-cfc6-4c1d-bd9e-1380d2ec7b6b","Code"
"Code_139","Pharmacokinetic Study","2023-09-29","http://www.cdisc.org","C49663","8e847916-4f04-4267-a67f-c7fef4279864","Code"
"Code_133","Mild to Moderate Alzheimer's Disease","12","SPONSOR","MILD_MOD_ALZ","e8663bf3-43c9-4370-b2e2-2f901d07bd6d","Code"
"Code_134","Alzheimer's disease","January 31, 2018","SNOMED","26929004","ad7a0378-dea7-416a-90f2-7515dc3e600c","Code"
"Code_142","EXTENSION","2023-09-29","http://www.cdisc.org","C99907x1","08589c20-ee70-4a59-bd76-59c7e5dcee1a","Code"
"Code_143","ADAPTIVE","2023-09-29","http://www.cdisc.org","C98704","b153b453-14ce-434a-8990-74f68157b41d","Code"
"Code_140","Parallel Study","2023-09-29","http://www.cdisc.org","C82639","aaa035cd-79b5-4aed-8cc5-7c94c37d9b6a","Code"
