"id","name","uuid:ID","text","instanceType"
"TransitionRule_1","ENCOUNTER_START_RULE_1","21b06173-d4e2-41f2-80f6-abe01b8e9429","Subject identifier","TransitionRule"
"TransitionRule_2","ENCOUNTER_START_RULE_1","2af52e41-810a-4016-a92f-0ad57d8a334b","completion of screening activities","TransitionRule"
"TransitionRule_3","ENCOUNTER_START_RULE_2","e83666c1-a310-4173-a071-408969108e36","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule"
"TransitionRule_4","ENCOUNTER_START_RULE_3","364ca9d1-5612-47de-97d8-0f75a057f690","subject has connection of ambulatory ECG machine removed","TransitionRule"
"TransitionRule_5","ENCOUNTER_START_RULE_3","29024db6-58b6-47be-83fc-fddf1578c671","Radomized","TransitionRule"
"TransitionRule_6","ENCOUNTER_START_RULE_12","b3a750b1-723b-4a47-a861-04cd84c4e52f","End of treatment","TransitionRule"
"TransitionRule_7","ELEMENT_START_RULE_1","66b9a3ab-d7f9-435f-8f06-c62accb144e2","Informed consent","TransitionRule"
"TransitionRule_8","ELEMENT_END_RULE_1","2f893e65-cd7d-4344-814f-7c312d374488","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule"
"TransitionRule_9","ELEMENT_START_RULE_2","a3d859e7-d93b-4042-b33b-d5863fb22b96","Administration of first dose","TransitionRule"
"TransitionRule_14","ELEMENT_START_RULE_7","fabf0b01-6e84-49c9-99d3-46e1fd74de50","End of last scheduled visit on study (including early termination)","TransitionRule"
"TransitionRule_15","ELEMENT_END_RULE_7","10046f52-8393-4ced-a9be-61ee5e015449","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule"
"TransitionRule_10","ELEMENT_START_RULE_3","0a2b3c30-6265-4ce5-8e15-65973982900e","Administration of first dose","TransitionRule"
"TransitionRule_11","ELEMENT_START_RULE_4","a88eec96-c8bb-4725-9450-10f9dab451ab","Randomized","TransitionRule"
"TransitionRule_12","ELEMENT_START_RULE_5","5a925755-04d8-40db-9264-7bede3c0ed37","Administration of first dose (from patches supplied at Visit 4)","TransitionRule"
"TransitionRule_13","ELEMENT_START_RULE_6","774b5de8-ebfd-46fc-aac4-c9fbbec37ac6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule"
