"isRequired","id","isEnabled","name","datatype","uuid:ID","label","instanceType"
"True","BiomedicalConceptProperty_89","True","Clinical Test Result","decimal","3fad73aa-3802-498f-9d99-afe7543666a0","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_90","True","Unit of Temperature","string","c01c037f-e477-4726-b185-8b3657f81886","Unit of Temperature","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_91","True","Anatomic Site","string","8e5df306-91e7-4982-80c3-261ccd88289b","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_92","True","Clinical Test Result","decimal","579e95d6-2482-491d-89d0-f598780486ce","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_93","True","Unit of Weight","string","e6373b3b-b07c-4878-931e-203b3a50546a","Unit of Weight","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_94","True","Clinical Test Result","decimal","afc8102d-356c-4ae5-9ae2-0b75431a22e1","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_95","True","Unit of Height","string","47dcc289-f3f0-4132-9a03-fc226eccdacb","Unit of Height","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_96","True","Laboratory Test Result","decimal","eed2729b-926e-49a8-b622-8c4e379925b6","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_97","True","Laboratory Test Fasting Status","boolean","ba429d90-5a55-479a-8df8-f2c13518f76d","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_98","True","Unit of Catalytic Activity Concentration","string","a35d7af2-29e3-41a8-93ad-586aa75aa059","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_99","True","Biospecimen Type","string","ccddb842-b42a-438e-9e8c-4a06f7ac8076","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_100","True","Laboratory Test Result","string","c6446985-cfe8-4c83-a5de-35ed95ff7a69","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_101","True","Laboratory Test Fasting Status","boolean","84e9d91a-fa84-4cc4-9ec2-6d9c0f7445ec","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_102","True","Unit of Concentration","string","14b765e7-3935-4895-9392-50e19c867f04","Unit of Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_103","True","Biospecimen Type","string","a0f5ab0f-5dbc-494a-a642-d6bdbab34219","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_104","True","Laboratory Test Result","decimal","fac42fe8-eb66-4c4e-9f93-8a8ad5ceec28","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_105","True","Laboratory Test Fasting Status","boolean","b63b7220-7729-45b2-9454-ac80a8b792c5","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_106","True","Unit of Catalytic Activity Concentration","string","8b57a622-26fb-49b1-9e7d-b8b2a8cebd6b","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_107","True","Biospecimen Type","string","6d8c8937-8631-46ec-868b-de53c2aad756","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_108","True","Laboratory Test Result","decimal","e0fef965-7453-4845-9fb1-26581d5546c3","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_109","True","Laboratory Test Fasting Status","boolean","a3a570b4-b149-4985-a974-da8fb5428271","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_110","True","Unit of Catalytic Activity Concentration","string","8317f24a-c10a-4400-87f3-3515a4caf288","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_111","True","Biospecimen Type","string","3c3a40f9-84dc-4c42-9002-700d7c090711","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_112","True","Laboratory Test Result","string","f93f5b0c-d672-4886-9f6c-7b52280d2f87","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_113","True","Laboratory Test Fasting Status","boolean","03237e98-2966-4f77-9df7-f0f70b7e95ad","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_114","True","Unit of Concentration","string","90a048b3-c425-4765-9e58-092d59f635b3","Unit of Concentration","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_115","True","Biospecimen Type","string","fe5b68a4-3a53-4f73-846f-ca2d997a3315","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_116","True","Laboratory Test Result","decimal","9e286c33-160a-4456-a548-54e960938912","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_117","True","Laboratory Test Fasting Status","boolean","300a845e-b076-40e6-96f8-27b40b087c48","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_118","True","Molarity Unit","string","ead60139-0617-414d-b370-6d476a2b23ab","Molarity Unit","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_119","True","Biospecimen Type","string","36ecf3e9-0422-4019-b0de-ec4ed40931a4","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_120","True","Laboratory Test Result","decimal","4c981ab3-18fb-450e-a112-846eb217f4ae","Laboratory Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_121","True","Laboratory Test Fasting Status","boolean","ea711e85-3885-4d10-aa4f-41c38ebac311","Laboratory Test Fasting Status","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_122","True","Molarity Unit","string","248e6e92-2e7d-487e-991a-960bc4228d6e","Molarity Unit","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_123","True","Biospecimen Type","string","18b42bb1-f8c9-4eb1-b9eb-a92d71ae3328","Biospecimen Type","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_1","True","Reported Event Term","string","85f26849-0f4a-47ed-b48f-3b95c89767f2","Reported Event Term","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_2","True","Dictionary-derived Term","string","f668db89-1cfa-4320-a71a-5fccfa52135d","Dictionary-derived Term","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_3","True","Category","string","8d5d0bf1-45bc-403b-9455-65ebf3e3faf0","Category","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_4","True","Subcategory","string","491ba662-b733-42c1-8677-90715af2833d","Subcategory","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_5","True","Observation Start Date Time","datetime","b46777f0-86ea-4283-a9f7-80426bea2523","Observation Start Date Time","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_6","True","Clinical Test Result","decimal","b74e138c-3f70-4174-8116-7f3f8637dace","Clinical Test Result","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_7","True","Unit of Pressure","string","98a173a4-42b6-4feb-a8c2-031415615b4c","Unit of Pressure","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_8","True","Anatomic Site","string","72497530-90cf-4534-9fd3-99e2f1bb3824","Anatomic Site","BiomedicalConceptProperty"
"True","BiomedicalConceptProperty_9","True","Laterality","string","6ee90fc8-f343-4454-a091-cc9f48299b19","Laterality","BiomedicalConceptProperty"
