"id:ID","bcSynonyms","label","uuid","name","id","bcReference"
"690","['Temperature']","Body Temperature","f0bb5a91-fa9f-4594-90c8-ab064acd2e0a","Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"691","['Weight']","Body Weight","6cd3f480-82cb-492d-8b1c-486bd2b1b39f","Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"692","['Height']","Body Height","96e00af0-2ac2-4775-a824-398e665b3091","Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"693","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","d2d3e15e-2977-462a-8fb0-a7ebe38c7238","Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"694","['Albumin']","Albumin Measurement","22c8745c-b52b-42f2-ae4f-b359c3ae87bb","Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"695","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","c4701621-dc6e-407b-b013-22dacfb973b0","Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"696","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","98239a0b-84fe-44a9-96ba-5ff5a7ee9498","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"697","['Creatinine']","Creatinine Measurement","ff897ba0-1a37-4917-a4be-29c6403c9e28","Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"698","['Potassium', 'K']","Potassium Measurement","a88dbb68-d646-4599-bcad-a38140fa98d5","Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"699","['Sodium', 'NA']","Sodium Measurement","eb4023de-6a2a-430d-b3f7-0609fdcedbb3","Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"700","['Adverse Event Reported Term', 'AETERM']","Adverse Event","9b1ef430-4def-4edf-bfc7-f886666a5614","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331"
"701","['SYSBP']","Systolic Blood Pressure","0734f639-c7fc-4f34-84a2-c0f147ea7662","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"702","['DIABP']","Diastolic Blood Pressure","afaab473-c73b-4e6b-93eb-7045630412c6","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"703","['Temperature']","Body Temperature","59e05b6f-db3f-4633-b446-e86e5c07ec98","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446"
"704","['Weight']","Body Weight","b0ca8caa-046e-4108-adce-dbe48d69f634","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328"
"705","['Height']","Body Height","507eacc4-2139-48bc-9dc4-1c8130387361","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634"
"706","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","d70b319e-11f9-45d0-b8fd-12c63761b3fc","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433"
"707","['Albumin']","Albumin Measurement","8949cccc-4b13-4fe0-92aa-216810584617","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431"
"708","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","69879e18-ab6f-42ad-8d1c-9a6dc27a4283","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432"
"709","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","04a09864-21c6-42c2-b3bd-060f4414dc3a","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467"
"710","['Creatinine']","Creatinine Measurement","cf91aa81-bd9e-4885-98ec-f59ae88249a9","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547"
"711","['Potassium', 'K']","Potassium Measurement","55515999-a47e-4f0b-9fef-903e1eeb48f8","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853"
"712","['Sodium', 'NA']","Sodium Measurement","9700883c-813a-4ecb-b709-efc05cc3d5f4","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809"
"713","['SYSBP']","Systolic Blood Pressure","1bb7debb-b5d7-4639-9128-6861a3e93387","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"714","['DIABP']","Diastolic Blood Pressure","bd0166b2-2bd1-42e0-b6c8-193834f0b977","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
"715","['SYSBP']","Systolic Blood Pressure","ce2a1229-1340-45b9-9790-d8ae7fb9d429","Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298"
"716","['DIABP']","Diastolic Blood Pressure","858ba57f-4987-4750-8d66-394662cfe241","Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299"
