"id:ID","timingWindow","label","uuid","name","description","id","timingWindowLower","timingValue","timingWindowUpper"
"766","","Screening","5bddd194-e4a5-40de-95a5-c247b9b64a5a","TIM1","Screening timing","Timing_1","","P2W",""
"767","-4..0 hours","Pre dose","6ea6e5c5-7383-4bbf-bed9-719de76008b9","TIM2","Pre dose timing","Timing_2","PT4H","P2D","PT0H"
"768","","Dosing","1e1bedf2-88a0-4c54-8858-8244068fc271","TIM3","Dosing anchor","Timing_3","","P1D",""
"769","-3..3 days","Week 2","e5c2c2fa-d0e1-47cb-8d5c-a132041da74d","TIM4","Week 2 timing","Timing_4","P3D","P2W","P3D"
"770","-3..3 days","Week 4","37fddd4e-6ec9-4061-8fae-e0600e702119","TIM5","Week 4 timing","Timing_5","P3D","P4W","P3D"
"771","-3..3 days","Week 6","cd2caee3-90fa-4a66-b84d-6756e8858b24","TIM6","Week 6 timing","Timing_6","P3D","P6W","P3D"
"772","-3..3 days","Week 8","4942cd20-3534-4e89-b8b9-619ff548a0e4","TIM7","Week 8 timing","Timing_7","P3D","P8W","P3D"
"773","","Week 8 Home","4e71cf89-ec1f-489e-99a9-42e28f58eb18","TIM8","Week 8 at home timing","Timing_8","","P2W",""
"774","-4..4 days","Week 12","34569d4c-420d-4d8a-93a8-cfd17dba950b","TIM9","Week 12 timing","Timing_9","P4D","P12W","P4D"
"775","","Week 12 Home","f2c6d8eb-5b6e-41b5-87e5-52d563b441dc","TIM10","Week 12 at home timing","Timing_10","","P2W",""
"776","-4..4 days","Week 16","a70ee5bf-992d-4fdb-beaa-8c6b78b11567","TIM11","Week 16 timing","Timing_11","P4D","P16W","P4D"
"777","","Week 16 Home","b6facc29-af62-48f9-8e0f-4b72799e4a19","TIM12","Week 16 at home timing","Timing_12","","P2W",""
"778","-4..4 days","Week 20","cbe71567-ce9a-4aad-9d89-5b26dabfc276","TIM13","Week 20 timing","Timing_13","P4D","P20W","P4D"
"779","","Week 20 Home","989174a7-81f2-4622-8ba5-4efad6e09578","TIM14","Week 20 at home timing","Timing_14","","P2W",""
"780","-4..4 days","Week 24","d0d63c8b-25e4-482b-8beb-550077793a11","TIM15","Week 24 timing","Timing_15","P4D","P24W","P4D"
"781","-3..3 days","Week 26","d5ea0661-0961-43a1-88dc-a6a2c038553a","TIM16","Week 26 timing","Timing_16","P3D","P26W","P3D"
"782","","Adverse Event","0043ab0d-596e-455c-9544-77435ac6c1e5","TIM17","Adverse Event","Timing_17","","P1D",""
"783","","Early Termination","015981ce-554b-4da8-a498-05cea0c3c2bb","TIM18","Early Termination","Timing_18","","P1D",""
"784","","BP Anchor","e9a2433e-65b5-418f-8833-f1d7e3cee0b7","TIM19","BP Anchor","Timing_19","","PT0M",""
"785","","BP while Supine","4f47f87c-7734-4dae-9880-dc759d1fe914","TIM20","BP while Supine","Timing_20","","PT5M",""
"786","-2..0 mins","BP Stand Up","ef309a72-f8b8-4b6a-bb15-8692facee6fe","TIM21","BP Stand Up","Timing_21","PT2M","PT3M","PT0M"
"787","","BP while standing","b9220149-f607-4ba7-be70-6016eeb0a516","TIM22","BP while standing","Timing_22","","PT0M",""
