"id:ID","label","uuid","name","description","text","id"
"480","","11474159-cfdb-4669-a854-fa875be8c324","ENCOUNTER_START_RULE_1","","Subject identifier","TransitionRule_1"
"481","","533de53d-e78d-42c7-a674-d610acc4f4d3","ENCOUNTER_START_RULE_1","","completion of screening activities","TransitionRule_2"
"482","","a158967a-e326-4609-8156-a304983f65dc","ENCOUNTER_START_RULE_2","","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3"
"483","","088ec9f2-5429-4952-a498-ad62a20c9a12","ENCOUNTER_START_RULE_3","","subject has connection of ambulatory ECG machine removed","TransitionRule_4"
"484","","f0d05224-2bf5-46b7-b5e6-38af9a094b07","ENCOUNTER_START_RULE_3","","Radomized","TransitionRule_5"
"485","","499d6822-dd30-4c3e-97e4-aead82f6383b","ENCOUNTER_START_RULE_12","","End of treatment","TransitionRule_6"
"486","","138fa54f-6230-4fc8-b7e4-ef1b1d6cf774","ELEMENT_START_RULE_1","","Informed consent","TransitionRule_7"
"487","","c2e38a9c-9108-4084-97da-35f39a4638ab","ELEMENT_END_RULE_1","","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8"
"488","","03b7237b-ed2b-4ebb-8972-f3e95012b422","ELEMENT_START_RULE_2","","Administration of first dose","TransitionRule_9"
"489","","9accc3c1-a1e1-4fb9-ba5b-f777a6145e0d","ELEMENT_START_RULE_7","","End of last scheduled visit on study (including early termination)","TransitionRule_14"
"490","","4edc0ad6-d73a-4cb5-9024-53c617c7107e","ELEMENT_END_RULE_7","","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15"
"491","","c96469c8-644b-4165-854c-c57cdde26b7d","ELEMENT_START_RULE_3","","Administration of first dose","TransitionRule_10"
"492","","5c7476c0-0d18-434a-97da-48fd8c1a1442","ELEMENT_START_RULE_4","","Randomized","TransitionRule_11"
"493","","6f2ca814-c629-406e-8550-898f42660e23","ELEMENT_START_RULE_5","","Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12"
"494","","ab256bcc-a2c5-497f-ab79-7995c06881dc","ELEMENT_START_RULE_6","","Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13"
