"id:ID","code","decode","uuid","codeSystem","id","codeSystemVersion"
"1","C98388","Interventional Study","4040d5b9-4c70-404a-b28e-f02a0ed09d9a","http://www.cdisc.org","Code_1","2023-09-29"
"2","C15601","Phase II Trial","f685e5a2-de5d-41b0-a489-a1129beeaaca","http://www.cdisc.org","Code_2","2023-09-29"
"3","C132352","Sponsor Approval Date","d9940733-24e6-4d73-88f0-0ef9d2f6531f","http://www.cdisc.org","Code_5","2023-09-29"
"4","C68846","Global","c5053e76-bdd4-4745-8462-f70b61195044","http://www.cdisc.org","Code_6","2023-09-29"
"5","C99904x3","IRB/IEC Feedback","0c37ffc7-cfc4-4db7-b000-21eeccee3d29","http://www.cdisc.org","Code_54","2023-09-29"
"6","C17649","Other","a78c8c62-cf01-48b1-9564-98d3177eee65","http://www.cdisc.org","Code_55","2023-09-29"
"7","C41129","Region","bc25ce0c-2182-4099-b28a-8338931f207f","http://www.cdisc.org","Code_57","2023-09-29"
"8","150","Europe","0639b0d4-31fc-45b0-a703-940ac3e77432","ISO 3166 1 alpha3","Code_56","2020-08"
"9","C25464","Country","c74596d2-fa41-4ce7-871d-3b22bcf608f0","http://www.cdisc.org","Code_59","2023-09-29"
"10","DNK","Denmark","fc4883d5-4850-4911-aade-5583b9cf575c","ISO 3166 1 alpha3","Code_58","2020-08"
"11","PHARMA","Eli Lilly","8960227c-012c-4aac-8b87-1cb9f2f0c253","SPONSOR","Code_3","12"
"12","C70793","Clinical Study Sponsor","ad1954a0-d764-4ea3-9e44-e857e615a41d","http://www.cdisc.org","Code_60","2023-09-29"
"13","USA","United States of America","0f579c1a-8c7a-41c5-8b67-d7d71e375bb9","ISO 3166 1 alpha3","Code_61","2020-08"
"14","C93453","Study Registry","ce7436af-58a7-4f32-9530-28019e42b05d","http://www.cdisc.org","Code_62","2023-09-29"
"15","C49656","Treatment Study","603897f5-b4f1-46e3-9cfb-a3809f16685c","http://www.cdisc.org","Code_120","2023-09-29"
"16","C49666","Efficacy Study","9c011985-2341-496b-ba0a-4da4cca2c17f","http://www.cdisc.org","Code_121","2023-09-29"
"17","C49667","Safety Study","892f4e63-0b19-476d-8a30-eefb13134145","http://www.cdisc.org","Code_122","2023-09-29"
"18","C49663","Pharmacokinetic Study","47fe95d3-431e-4c1a-9226-67b6c7242fe1","http://www.cdisc.org","Code_123","2023-09-29"
"19","MILD_MOD_ALZ","Mild to Moderate Alzheimer\'s Disease","3b4aec0e-470c-47b9-9c4a-eca80bf9f1b5","SPONSOR","Code_117","12"
"20","26929004","Alzheimer\'s disease","894a210d-9cba-426c-8e12-aebd97f50a63","SNOMED","Code_118","January 31, 2018"
"21","C82639","Parallel Study","3364f352-f101-4585-a8fd-d4fa6b129906","http://www.cdisc.org","Code_124","2023-09-29"
"22","C25716","Visit","f8e7f235-8181-4918-887d-309b7ba558ad","http://www.cdisc.org","Code_66","2023-09-29"
"23","C51282","Clinic","12768cec-bd82-45a7-a115-92d2f07fe125","http://www.cdisc.org","Code_67","2023-09-29"
"24","C175574","In Person","a451a2a1-e396-4da6-967c-f3c690e35e3b","http://www.cdisc.org","Code_68","2023-09-29"
"25","C25716","Visit","87ba28a8-1b57-41c7-89f7-83b92c13614a","http://www.cdisc.org","Code_69","2023-09-29"
"26","C51282","Clinic","fa228c0f-adda-4f84-9b8c-6d8c16c90141","http://www.cdisc.org","Code_70","2023-09-29"
"27","C175574","In Person","e66d7793-4fdd-4b08-9193-cc258ffe1623","http://www.cdisc.org","Code_71","2023-09-29"
"28","C25716","Visit","16b6d1c3-9635-489f-a128-efff05cdba61","http://www.cdisc.org","Code_72","2023-09-29"
"29","C51282","Clinic","d9d822a1-47b0-41b9-8c63-f5163a4c2e20","http://www.cdisc.org","Code_73","2023-09-29"
"30","C175574","In Person","c1c6b758-8ec6-4a31-9174-0be09480cb80","http://www.cdisc.org","Code_74","2023-09-29"
"31","C25716","Visit","03aee3ab-3ab2-4d35-936d-9232c3d2df0c","http://www.cdisc.org","Code_75","2023-09-29"
"32","C51282","Clinic","7c025e18-fa7c-4325-a66d-eecd2f1e6b05","http://www.cdisc.org","Code_76","2023-09-29"
"33","C175574","In Person","1cc1a7f0-1db7-4b53-b165-5aae1b834054","http://www.cdisc.org","Code_77","2023-09-29"
"34","C25716","Visit","14a08157-32e3-40e9-8d19-64f41bb737f1","http://www.cdisc.org","Code_78","2023-09-29"
"35","C51282","Clinic","4c75f6ee-dd7e-4200-905b-a1717cc12e75","http://www.cdisc.org","Code_79","2023-09-29"
"36","C175574","In Person","2be40d14-1f4e-4eb1-9b71-35525fde43ce","http://www.cdisc.org","Code_80","2023-09-29"
"37","C25716","Visit","3316b22c-40e3-4db4-8093-99a8c3a35549","http://www.cdisc.org","Code_81","2023-09-29"
"38","C51282","Clinic","f252190b-980a-4d97-bd0f-7c3ae554cb07","http://www.cdisc.org","Code_82","2023-09-29"
"39","C175574","In Person","e1f1a602-b410-4d4e-b8cd-f3c5377a8aa4","http://www.cdisc.org","Code_83","2023-09-29"
"40","C25716","Visit","6a0d5c62-31a3-4fc8-b50b-d6225b624f63","http://www.cdisc.org","Code_84","2023-09-29"
"41","C51282","Clinic","25cf04f4-263e-48f9-badf-9c2f9122db8f","http://www.cdisc.org","Code_85","2023-09-29"
"42","C175574","In Person","bf0ab187-bafc-405e-90cd-2db077403517","http://www.cdisc.org","Code_86","2023-09-29"
"43","C171537","Telephone Call","95753b90-85df-417a-af8e-5b920e7a0d39","http://www.cdisc.org","Code_87","2023-09-29"
"44","C25716","Visit","fed96c55-42fe-40ad-a13e-56e7000d5c42","http://www.cdisc.org","Code_88","2023-09-29"
"45","C51282","Clinic","4c79867f-3f52-4f99-b5a7-3a6b95341398","http://www.cdisc.org","Code_89","2023-09-29"
"46","C175574","In Person","2c7ea12d-8fb0-475c-b540-4170f9919a2c","http://www.cdisc.org","Code_90","2023-09-29"
"47","C171537","Telephone Call","f49be304-f4dc-40e8-afdf-caf383f7ff56","http://www.cdisc.org","Code_91","2023-09-29"
"48","C25716","Visit","1b981ddb-58fc-4784-849a-d2fbfe4d070d","http://www.cdisc.org","Code_92","2023-09-29"
"49","C51282","Clinic","d275b7a2-9575-45f6-bd88-0f796405c821","http://www.cdisc.org","Code_93","2023-09-29"
"50","C175574","In Person","d3bbe3ff-ecd0-4ba9-835e-060c62004f08","http://www.cdisc.org","Code_94","2023-09-29"
"51","C171537","Telephone Call","5fd35f7a-a39a-4615-bcbd-1bed7cc30e43","http://www.cdisc.org","Code_95","2023-09-29"
"52","C25716","Visit","d05bdcaf-0c7c-4769-abe5-e0ac1b852f8e","http://www.cdisc.org","Code_96","2023-09-29"
"53","C51282","Clinic","8db57d43-5b4a-4edb-8650-cd5beeae23cc","http://www.cdisc.org","Code_97","2023-09-29"
"54","C175574","In Person","42fcb1be-4ea7-42ab-87c1-7f41f3a43102","http://www.cdisc.org","Code_98","2023-09-29"
"55","C171537","Telephone Call","eb9accd7-4fcb-46c0-81d2-133d6e78d844","http://www.cdisc.org","Code_99","2023-09-29"
"56","C25716","Visit","898162bf-5b0b-4254-b99b-64321d6ff658","http://www.cdisc.org","Code_100","2023-09-29"
"57","C51282","Clinic","e2e93ea8-cf3f-4b2a-84a2-f8c6aa5ec8a3","http://www.cdisc.org","Code_101","2023-09-29"
"58","C175574","In Person","06265533-13c4-4f91-9a5e-617935b1be6e","http://www.cdisc.org","Code_102","2023-09-29"
"59","C25716","Visit","ffb048d1-9a0d-4ebc-8dae-dc70c2f49bb6","http://www.cdisc.org","Code_103","2023-09-29"
"60","C51282","Clinic","2ccb5393-3efb-4e13-9cb2-a75113e4a9ed","http://www.cdisc.org","Code_104","2023-09-29"
"61","C175574","In Person","e6e4de27-3f87-41b1-8d28-92cb834cd38e","http://www.cdisc.org","Code_105","2023-09-29"
"62","383371000119108","CT of head without contrast","f0a34a6f-b9bf-4e9d-a89a-7ec613f2f2cf","SNOMED","Code_63","January 31, 2018"
"63","123","Supine for 5 minutes","595aaed1-0680-47a1-b9c5-2cb1dfd8f891","SPONSOR","Code_64","12"
"64","124","Standingfor 1-3 minutes","80369ce3-b953-42a2-b66d-93741f4f032c","SPONSOR","Code_65","12"
"65","C173522","Vital Signs Result","1ef6bec3-1031-4825-bb71-42ed6079ba57","NCI Thesaurus","Code_244",""
"66","C42537","Kelvin","4f166431-322c-43f2-9b28-7b891cbf9120","http://www.cdisc.org","Code_245","2023-09-29"
"67","C44276","Unit of Temperature","c84f9645-362f-446d-af82-f3250a2a5a19","NCI Thesaurus","Code_246",""
"68","C83088","Vital Signs Location","5b76b004-d669-451b-8d27-a9a799ece864","NCI Thesaurus","Code_247",""
"69","C174446","Body Temperature","71762435-5a97-47ec-a7a6-fa5902660a4d","NCI Thesaurus","Code_243",""
"70","C173522","Vital Signs Result","1df91500-bb15-4fd5-8150-78aa5f9cf65b","NCI Thesaurus","Code_249",""
"71","C28252","Kilogram","0bf466a1-5a6c-45f4-adc4-f69579779745","http://www.cdisc.org","Code_250","2023-09-29"
"72","C48155","Gram","d8c897f3-4ffc-4cbc-9f8b-a9fd8c4f5997","http://www.cdisc.org","Code_251","2023-09-29"
"73","C48531","Pound","36b4fb3a-85e2-4f0a-862f-4c656d37a4de","http://www.cdisc.org","Code_252","2023-09-29"
"74","C48208","Unit of Weight","4f5e78c6-ee14-42af-bdc1-828540654684","NCI Thesaurus","Code_253",""
"75","C81328","Body Weight","0d612368-5e2a-4f6d-b924-13af2cd9b443","NCI Thesaurus","Code_248",""
"76","C173522","Vital Signs Result","d911c8d1-ff86-4d27-a491-70fc628e2f27","NCI Thesaurus","Code_255",""
"77","C49668","Centimeter","dce046e2-0ef8-4027-aead-47350d0c52ab","http://www.cdisc.org","Code_256","2023-09-29"
"78","C48500","Inch","2cce1370-a2bb-470b-8c62-7976e5fad6a1","http://www.cdisc.org","Code_257","2023-09-29"
"79","C28251","Millimeter","14c7a7c6-e184-46b7-82ef-f5b913e3f0a3","http://www.cdisc.org","Code_258","2023-09-29"
"80","C41139","Meter","06160ae4-8715-443e-8e76-2ef75fca4a45","http://www.cdisc.org","Code_259","2023-09-29"
"81","C168688","Unit of Height","5190465b-c69d-48f4-bab1-6d0138485355","NCI Thesaurus","Code_260",""
"82","C164634","Body Height","7d6392db-08c9-4109-9039-98b63574c3dd","NCI Thesaurus","Code_254",""
"83","C36292","Laboratory Test Result","1d147145-fd36-4db3-a0db-9c46cc2f609d","NCI Thesaurus","Code_262",""
"84","C83309","Laboratory Test Fasting Status","77a5da76-f075-4710-ad07-01b85005dae7","NCI Thesaurus","Code_263",""
"85","C67365","Unit of Catalytic Activity Concentration","50e131ed-76a2-40de-bef9-9fc6a11a9d20","NCI Thesaurus","Code_264",""
"86","C70713","Biospecimen Type","a9952fcf-d5a3-4201-a74c-db9e52d3f47f","NCI Thesaurus","Code_265",""
"87","C64433","Alanine Aminotransferase Measurement","67f8b079-6b70-4b1f-9465-5aad52181092","NCI Thesaurus","Code_261",""
"88","C36292","Laboratory Test Result","2300c6f1-316e-4780-9b67-ef9b9e791fbf","NCI Thesaurus","Code_267",""
"89","C83309","Laboratory Test Fasting Status","6602e53b-10c4-4f0d-8e3b-9b707868a065","NCI Thesaurus","Code_268",""
"90","C48207","Unit of Concentration","de2127fe-c569-4d52-9893-c788379ffcdf","NCI Thesaurus","Code_269",""
"91","C70713","Biospecimen Type","fdee0a28-8556-4887-a9a7-c15f8cc05636","NCI Thesaurus","Code_270",""
"92","C64431","Albumin Measurement","ef2f58b9-913e-4ff8-b8ed-3358efa51e1c","NCI Thesaurus","Code_266",""
"93","C36292","Laboratory Test Result","0030aa8f-3ca3-4c8b-8bfa-3b40ad4027d8","NCI Thesaurus","Code_272",""
"94","C83309","Laboratory Test Fasting Status","6f567fa6-7db1-4df6-86ee-bfccf703d9bf","NCI Thesaurus","Code_273",""
"95","C67365","Unit of Catalytic Activity Concentration","09c37cb7-618d-4bd4-8c16-836501ece771","NCI Thesaurus","Code_274",""
"96","C70713","Biospecimen Type","b7244e1e-d106-40b1-9a82-4a1b84519bfd","NCI Thesaurus","Code_275",""
"97","C64432","Alkaline Phosphatase Measurement","45936b93-14e7-40da-ab25-a11d65cf9319","NCI Thesaurus","Code_271",""
"98","C36292","Laboratory Test Result","a9d5f082-2e74-4863-bc97-29c06d26a357","NCI Thesaurus","Code_277",""
"99","C83309","Laboratory Test Fasting Status","be469acc-ea4c-4b26-bc43-c9bb6ab7421b","NCI Thesaurus","Code_278",""
"100","C67365","Unit of Catalytic Activity Concentration","ef199bf2-b6e6-4210-967a-5102eb1d3130","NCI Thesaurus","Code_279",""
"101","C70713","Biospecimen Type","58e6f30e-90fe-4ce2-a8a3-811a6980c453","NCI Thesaurus","Code_280",""
"102","C64467","Aspartate Aminotransferase Measurement","c2c04c3d-ecce-4b4f-bd15-e6fcd4b34b70","NCI Thesaurus","Code_276",""
"103","C36292","Laboratory Test Result","e43f6aaa-3471-4d5c-b434-fa11cfc0c6fc","NCI Thesaurus","Code_282",""
"104","C83309","Laboratory Test Fasting Status","8570f51e-e6d0-4aa7-b004-a844def2f7f5","NCI Thesaurus","Code_283",""
"105","C48207","Unit of Concentration","d9f36441-11ac-45c3-ba33-c9f0c8375573","NCI Thesaurus","Code_284",""
"106","C70713","Biospecimen Type","dd52b1e9-3976-46b5-8a32-d7dd5cde2a07","NCI Thesaurus","Code_285",""
"107","C64547","Creatinine Measurement","431fccd5-44ee-4600-af3b-d9c32992faa9","NCI Thesaurus","Code_281",""
