"instanceType","sectionNumber","name","id","sectionTitle","text","uuid:ID"
"NarrativeContent","0","ROOT","NarrativeContent_1","Root","","27769beb-eb44-490e-9e9c-85854ebf1ffc"
"NarrativeContent","0","SECTION 0","NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>","9cbb1eb1-92f2-418f-b325-2eefa537d814"
"NarrativeContent","1","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","<div></div>","6165c9af-1330-4e6b-b27e-966937461791"
"NarrativeContent","1.1","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","<div></div>","90ff4fed-9ade-4138-b09c-494145002825"
"NarrativeContent","1.2","SECTION 1.2","NarrativeContent_5","Trial Schema","<div></div>","14197096-1089-4d7b-ba04-4efebf8fd099"
"NarrativeContent","1.3","SECTION 1.3","NarrativeContent_6","Schedule of Activities","<div></div>","e36ad5e7-60e4-47b0-bf33-4c3b02f65207"
"NarrativeContent","2","SECTION 2","NarrativeContent_7","INTRODUCTION","<div></div>","bfb84555-62fd-499b-b1a4-0281851ea182"
"NarrativeContent","2.1","SECTION 2.1","NarrativeContent_8","Purpose of Trial","<div></div>","247eb7c9-3621-4a3f-a02c-39bf2bbde0b6"
"NarrativeContent","2.2","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","<div></div>","0d8398ea-bec1-40c4-9409-4716c0fa4d56"
"NarrativeContent","3","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>","8f8ae037-2fae-490f-ad5d-ac58844bf257"
"NarrativeContent","3.1","SECTION 3.1","NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>","53267318-f001-418b-bf6d-03207cd0d7b9"
"NarrativeContent","4","SECTION 4","NarrativeContent_12","TRIAL DESIGN","<div></div>","39ae2f99-7c48-4a80-9074-de61a1571b42"
"NarrativeContent","4.1","SECTION 4.1","NarrativeContent_13","Description of Trial Design","<div></div>","769c66ac-e011-47f4-b767-8255baea8a09"
"NarrativeContent","4.1.1","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","<div></div>","4d7e15d8-421a-4fdb-85b5-cbb867c1e51a"
"NarrativeContent","4.2","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4939be4f-394d-4178-8989-09ad19dbe5e9"
"NarrativeContent","4.2.1","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","46516619-2f68-4833-aa4c-e8cba14391c1"
"NarrativeContent","4.2.2","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","<div></div>","4a80a00c-2198-46ab-b8d4-bbe7e4e8933b"
"NarrativeContent","4.2.3","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","<div></div>","9d22fe47-1742-49b8-8bb4-397e1828fdfd"
"NarrativeContent","4.3","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","<div></div>","5334d598-1e7b-4d9c-9dd4-82549b40ea35"
"NarrativeContent","4.4","SECTION 4.4","NarrativeContent_20","Start of Trial and End of Trial","<div></div>","41393216-e7b2-4d2b-8ad8-0bf28fc99671"
"NarrativeContent","5","SECTION 5","NarrativeContent_21","TRIAL POPULATION","<div></div>","93859ccd-5b4b-4e71-8689-46232dd4cc73"
"NarrativeContent","5.1","SECTION 5.1","NarrativeContent_22","Selection of Trial Population","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
  <div><strong>Screen</strong></div>
  <div>
    <p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
    <p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
  </div>  
</div>
<div>
  <div>To <strong>enter</strong></div>
  <div>
    <p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
  </div>  
</div>
<div>
  <div>To <strong>enroll</strong></div>
  <div>
    <p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
  </div>  
</div>
<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p></div>","84e26d28-6a79-49a9-a4fb-d20bb23d56d4"
