"instanceType","windowUpper","name","label","id","window","description","value","uuid:ID","windowLower"
"Timing","","TIM1","Screening","Timing_1","","Screening timing","P2W","d92a24e0-9f79-4727-b0e1-fa46a1e4bb6e",""
"Timing","PT0H","TIM2","Pre dose","Timing_2","-4..0 hours","Pre dose timing","P2D","77cee856-554c-418e-a2b1-61d809ae3473","PT4H"
"Timing","","TIM3","Dosing","Timing_3","","Dosing anchor","P1D","2483466a-02f6-4e52-ac2a-7e78576835d6",""
"Timing","P3D","TIM4","Week 2","Timing_4","-3..3 days","Week 2 timing","P2W","55568623-92fa-4ca4-a3fa-5a3ae6e507e0","P3D"
"Timing","P3D","TIM5","Week 4","Timing_5","-3..3 days","Week 4 timing","P4W","18dc4d42-e257-4bd6-af69-633aa09fab5a","P3D"
"Timing","P3D","TIM6","Week 6","Timing_6","-3..3 days","Week 6 timing","P6W","a3ecd786-7dc9-4010-b3e9-f1908b6e179c","P3D"
"Timing","P3D","TIM7","Week 8","Timing_7","-3..3 days","Week 8 timing","P8W","8405815f-a923-4902-bf1f-d475de759ee9","P3D"
"Timing","P4D","TIM9","Week 12","Timing_9","-4..4 days","Week 12 timing","P12W","f8c25f86-87e8-4098-8289-7c07fff1ae19","P4D"
"Timing","P4D","TIM11","Week 16","Timing_11","-4..4 days","Week 16 timing","P16W","f1f13e63-8daa-4caa-90fa-93ca83515d6e","P4D"
"Timing","P4D","TIM13","Week 20","Timing_13","-4..4 days","Week 20 timing","P20W","5af3d0ea-9596-4561-9e18-0f4399783dab","P4D"
"Timing","P4D","TIM15","Week 24","Timing_15","-4..4 days","Week 24 timing","P24W","85159d9c-b559-4c0d-8f53-bf0ab37db468","P4D"
"Timing","P3D","TIM16","Week 26","Timing_16","-3..3 days","Week 26 timing","P26W","13db71db-da7d-49cb-8aba-3f2c476bbc83","P3D"
"Timing","","TIM8","Week 8 Home","Timing_8","","Week 8 at home timing","P2W","62351d89-e70a-419e-9ec7-7b277d14a3a7",""
"Timing","","TIM10","Week 12 Home","Timing_10","","Week 12 at home timing","P2W","a8f9120f-89f1-4cb2-8091-3c54af32436f",""
"Timing","","TIM12","Week 16 Home","Timing_12","","Week 16 at home timing","P2W","970aaf1d-10a5-4487-8916-c93238c34492",""
"Timing","","TIM14","Week 20 Home","Timing_14","","Week 20 at home timing","P2W","1376af3f-b4b4-4521-96d0-60e23e084377",""
"Timing","","TIM17","Adverse Event","Timing_17","","Adverse Event","P1D","274c5c6f-0633-4d64-b723-defa69647bfa",""
"Timing","","TIM18","Early Termination","Timing_18","","Early Termination","P1D","14bc047c-072e-4da8-87a2-df55cf6f25e6",""
"Timing","","TIM19","Supine","Timing_19","","Supine","PT0M","6da18809-3bb1-491c-a661-796a4d8adf05",""
"Timing","","TIM20","VS while supine","Timing_20","","VS while supine","PT5M","50edf795-1e76-4ae1-a2ed-fbd6cbf34a60",""
"Timing","","TIM21","Standing","Timing_21","","Standing","PT0M","a5261b23-4e41-4dc5-94aa-1ee9fd693170",""
"Timing","","TIM22","VS while standing","Timing_22","","VS while standing","PT1M","fa10d928-b881-4bfc-9249-5193589a7b7d",""
"Timing","","TIM23","Standing","Timing_23","","Standing","PT0M","f2152c41-2c00-4fec-9a92-08e3ce2df2c0",""
"Timing","","TIM24","VS while standing","Timing_24","","VS while standing","PT2M","4b477aa2-d843-4fe1-89b6-895850022d3a",""
