"instanceType","id","decode","code","codeSystem","uuid:ID","codeSystemVersion"
"Code","Code_1","Interventional Study","C98388","http://www.cdisc.org","53ebcc0a-f548-42b3-85ab-701bafb2ae75","2023-09-29"
"Code","Code_2","Phase II Trial","C15601","http://www.cdisc.org","a80e1ce3-1643-41ea-a2ad-3dd4a7392c91","2023-09-29"
"Code","Code_9","Sponsor Approval Date","C132352","http://www.cdisc.org","bfc9f331-bf4f-45d0-8c67-59641e282270","2023-09-29"
"Code","Code_10","Global","C68846","http://www.cdisc.org","cc28211f-bd47-4ddb-91bc-00a0797ad7f2","2023-09-29"
"Code","Code_72","IRB/IEC Feedback","C99904x3","http://www.cdisc.org","5a283227-2bf3-4316-891f-f4629a1ebe0c","2023-09-29"
"Code","Code_73","Other","C17649","http://www.cdisc.org","050d81d3-ad92-402d-bc42-8c0dc4cb6a2a","2023-09-29"
"Code","Code_75","Region","C41129","http://www.cdisc.org","2d859b9c-ebac-4632-b63c-7580708e9622","2023-09-29"
"Code","Code_74","Europe","150","ISO 3166 1 alpha3","92bbb201-d888-49bc-b945-612c04e020d9","2020-08"
"Code","Code_4","Eli Lilly","PHARMA","SPONSOR","a0bb18dd-204b-4628-96a6-8ed5288958f6","12"
"Code","Code_76","Clinical Study Sponsor","C70793","http://www.cdisc.org","0eba003c-79a6-4692-91a5-b6964b9580d0","2023-09-29"
"Code","Code_77","Denmark","DNK","ISO 3166 1 alpha3","fc05a278-db82-466b-8649-b014af64e923","2020-08"
"Code","Code_78","Study Registry","C93453","http://www.cdisc.org","3f28ea94-43b0-428d-ac37-2c01166393fd","2023-09-29"
"Code","Code_136","Treatment Study","C49656","http://www.cdisc.org","b89adaee-c436-4971-8c4e-1c80f93d4dd1","2023-09-29"
"Code","Code_137","Efficacy Study","C49666","http://www.cdisc.org","c7f28785-2f79-4ef3-bc86-45ac3d64b11d","2023-09-29"
"Code","Code_138","Safety Study","C49667","http://www.cdisc.org","e7392b6e-7de7-448d-a3c0-328f4b31946e","2023-09-29"
"Code","Code_139","Pharmacokinetic Study","C49663","http://www.cdisc.org","3f4ec8ce-2658-4496-8f03-461c1b4ddfd3","2023-09-29"
"Code","Code_133","Mild to Moderate Alzheimer's Disease","MILD_MOD_ALZ","SPONSOR","e4a16cc5-dbaa-4bb3-bbdd-70f025bee56b","12"
"Code","Code_134","Alzheimer's disease","26929004","SNOMED","8452af47-c3e4-4b54-81b9-91f678857c85","January 31, 2018"
"Code","Code_142","EXTENSION","C99907x1","http://www.cdisc.org","d7679f61-4665-4aa8-a577-fa6595b43087","2023-09-29"
"Code","Code_143","ADAPTIVE","C98704","http://www.cdisc.org","6562cb94-1fa6-4d9c-ab59-c4a5dc5feae3","2023-09-29"
"Code","Code_140","Parallel Study","C82639","http://www.cdisc.org","d62e50e6-9d34-42d3-a1bc-49c51aa0c70d","2023-09-29"
"Code","Code_82","Visit","C25716","http://www.cdisc.org","0346e2e6-30a6-450a-97de-ac8a96b357d1","2023-09-29"
"Code","Code_83","Clinic","C51282","http://www.cdisc.org","bd7fc61f-ce6e-4140-b02d-cc3245c5736c","2023-09-29"
"Code","Code_84","In Person","C175574","http://www.cdisc.org","d2579aa6-623e-4f74-a0c2-e47469735081","2023-09-29"
"Code","Code_85","Visit","C25716","http://www.cdisc.org","f3f226ed-ece3-4838-9434-34791b748c6d","2023-09-29"
"Code","Code_86","Clinic","C51282","http://www.cdisc.org","e190d9b2-2d27-4cb2-a350-d920aefe61fa","2023-09-29"
"Code","Code_87","In Person","C175574","http://www.cdisc.org","e3764bf5-98eb-4f58-8a9b-0df81364093a","2023-09-29"
"Code","Code_88","Visit","C25716","http://www.cdisc.org","46591be1-a2ed-4338-9bd9-841e0a454f2e","2023-09-29"
"Code","Code_89","Clinic","C51282","http://www.cdisc.org","1d46f899-25c7-441d-b238-e6f142708b19","2023-09-29"
"Code","Code_90","In Person","C175574","http://www.cdisc.org","4a1dfc8d-a2be-4239-b522-eacd693f34f1","2023-09-29"
"Code","Code_91","Visit","C25716","http://www.cdisc.org","77d09ed8-5ed9-40f8-ac82-49ce30a299a3","2023-09-29"
"Code","Code_92","Clinic","C51282","http://www.cdisc.org","2d8190f1-4fa7-43ae-8722-396e4b76f02a","2023-09-29"
"Code","Code_93","In Person","C175574","http://www.cdisc.org","05dfacbd-33cc-463e-89c1-cd2942c8cab8","2023-09-29"
"Code","Code_94","Visit","C25716","http://www.cdisc.org","df494eba-5f9c-4812-b2fc-f9fb488c4846","2023-09-29"
"Code","Code_95","Clinic","C51282","http://www.cdisc.org","08182aec-0889-4810-9cfc-bf565171e25d","2023-09-29"
"Code","Code_96","In Person","C175574","http://www.cdisc.org","c1a70f54-d8eb-4055-8e5f-267028378be6","2023-09-29"
"Code","Code_97","Visit","C25716","http://www.cdisc.org","27f85aef-0787-4cee-936b-689516024ee2","2023-09-29"
"Code","Code_98","Clinic","C51282","http://www.cdisc.org","8f19d795-34ce-4dbe-8587-2d945596a7c1","2023-09-29"
"Code","Code_99","In Person","C175574","http://www.cdisc.org","8f1f14d7-699f-4ece-9f31-b3fc012320c5","2023-09-29"
"Code","Code_100","Visit","C25716","http://www.cdisc.org","82957e99-4c99-470e-9ad7-9616b09bd1b9","2023-09-29"
"Code","Code_101","Clinic","C51282","http://www.cdisc.org","5a2772a9-6d51-4599-b0e5-9d78cac5f0c2","2023-09-29"
"Code","Code_102","In Person","C175574","http://www.cdisc.org","16ddf870-4f42-41fb-ac4d-a9cbab45acb8","2023-09-29"
"Code","Code_103","Telephone Call","C171537","http://www.cdisc.org","9e8f9163-096b-4b6a-a431-03ca35a76fdc","2023-09-29"
"Code","Code_104","Visit","C25716","http://www.cdisc.org","0a37072a-c506-4c11-9b98-ea508227730a","2023-09-29"
"Code","Code_105","Clinic","C51282","http://www.cdisc.org","9b440b32-9324-43ab-8fc9-e8d76d2cf338","2023-09-29"
"Code","Code_106","In Person","C175574","http://www.cdisc.org","33ddd64b-9364-4ff9-aef3-bab583996a38","2023-09-29"
"Code","Code_107","Telephone Call","C171537","http://www.cdisc.org","6d4dbc18-7667-4c48-aee0-5e1c3d282733","2023-09-29"
"Code","Code_108","Visit","C25716","http://www.cdisc.org","be692e06-58ae-449c-9477-5bbd9a3f9936","2023-09-29"
"Code","Code_109","Clinic","C51282","http://www.cdisc.org","8f4b7b13-e87d-445b-8517-e5f53c33c4d7","2023-09-29"
"Code","Code_110","In Person","C175574","http://www.cdisc.org","f5d597bd-b9fa-4532-a20b-ddfac4c34fac","2023-09-29"
"Code","Code_111","Telephone Call","C171537","http://www.cdisc.org","09ddfcb0-fd53-4b76-aa66-a31014dc71e9","2023-09-29"
"Code","Code_112","Visit","C25716","http://www.cdisc.org","897bc8d6-d7fc-4046-ace4-e788a35c75fc","2023-09-29"
"Code","Code_113","Clinic","C51282","http://www.cdisc.org","a5c9a583-dea9-4a94-b77d-beaf4166bf06","2023-09-29"
"Code","Code_114","In Person","C175574","http://www.cdisc.org","8e9af942-a91d-4e44-8eb3-fab5c5b57d02","2023-09-29"
"Code","Code_115","Telephone Call","C171537","http://www.cdisc.org","6f642ec6-7cf2-469e-ac0a-043e2afa025c","2023-09-29"
"Code","Code_116","Visit","C25716","http://www.cdisc.org","02397955-c2f5-4be4-b33c-1710f4b058f3","2023-09-29"
"Code","Code_117","Clinic","C51282","http://www.cdisc.org","870745d1-dc41-4adf-ba07-5608115eb471","2023-09-29"
"Code","Code_118","In Person","C175574","http://www.cdisc.org","f95bd2bc-d006-486b-9faf-eac030403e11","2023-09-29"
"Code","Code_119","Visit","C25716","http://www.cdisc.org","2b8cc656-d721-4cba-9be7-aa16db2522d2","2023-09-29"
"Code","Code_120","Clinic","C51282","http://www.cdisc.org","01c117bf-7284-4591-b9a8-7e2d13023bb1","2023-09-29"
"Code","Code_121","In Person","C175574","http://www.cdisc.org","954572a1-1e48-43fb-bdf8-bfb4c854ec88","2023-09-29"
"Code","Code_79","CT of head without contrast","383371000119108","SNOMED","a23ce4ec-1807-444b-9f0c-edf3dba920d7","January 31, 2018"
"Code","Code_80","Subject Supine","123","SPONSOR","e5ee113f-d06c-41d9-ae34-312a3f584a12","12"
"Code","Code_81","Subject Standing","124","SPONSOR","bf9c3a58-1c38-496c-84e2-1f4e0ae7edd4","12"
"Code","Code_278","Vital Signs Result","C173522","NCI Thesaurus","efd789cc-576a-4252-9230-12e51960f6d5",""
"Code","Code_279","Kelvin","C42537","http://www.cdisc.org","90fd210b-cd7f-4ee8-bc49-0ad18946be9c","2023-09-29"
"Code","Code_280","Unit of Temperature","C44276","NCI Thesaurus","6552b5a5-b67d-41e6-b73d-0b40ffe81def",""
"Code","Code_281","Vital Signs Location","C83088","NCI Thesaurus","f052a6e2-0b9f-49c1-bb00-1484b00656bb",""
"Code","Code_277","Body Temperature","C174446","NCI Thesaurus","0a6965c4-0ddb-4989-951e-dd0d46779fa8",""
"Code","Code_283","Vital Signs Result","C173522","NCI Thesaurus","62595657-9585-4e06-8dab-1420102a9280",""
"Code","Code_284","Kilogram","C28252","http://www.cdisc.org","90e4307e-7784-492a-b546-c87741c15db9","2023-09-29"
"Code","Code_285","Gram","C48155","http://www.cdisc.org","d790ac56-da86-4d75-a8aa-428bfc7f6188","2023-09-29"
"Code","Code_286","Pound","C48531","http://www.cdisc.org","7576003f-c3a1-487a-8154-4b9511712ebc","2023-09-29"
"Code","Code_287","Unit of Weight","C48208","NCI Thesaurus","60a2305c-9f45-4d28-890e-8cc0e4f4253c",""
"Code","Code_282","Body Weight","C81328","NCI Thesaurus","6060870d-5501-4735-ad18-4a3ddfcb7ecd",""
"Code","Code_289","Vital Signs Result","C173522","NCI Thesaurus","79ff7ce6-6162-42c6-894d-f8e7345dc9f0",""
"Code","Code_290","Centimeter","C49668","http://www.cdisc.org","3a8e51cd-fa32-4c25-a09a-b227d7741ff0","2023-09-29"
"Code","Code_291","Inch","C48500","http://www.cdisc.org","63f3b173-d353-4a91-9a24-b551be6242c2","2023-09-29"
"Code","Code_292","Millimeter","C28251","http://www.cdisc.org","1704035a-6bcf-408b-b279-51756c17f26d","2023-09-29"
"Code","Code_293","Meter","C41139","http://www.cdisc.org","03829f51-cbb9-4a47-96a8-7fada2450d42","2023-09-29"
"Code","Code_294","Unit of Height","C168688","NCI Thesaurus","0e63280c-31d2-4715-9113-43a9ccd13e9f",""
"Code","Code_288","Body Height","C164634","NCI Thesaurus","063706ed-6967-46e5-b0ff-903c3fd7d808",""
"Code","Code_296","Laboratory Test Result","C36292","NCI Thesaurus","740762e6-bbcb-4c74-8d7a-6c6be85f41cd",""
"Code","Code_297","Laboratory Test Fasting Status","C83309","NCI Thesaurus","0e32b374-3b43-42e1-b1fa-1f86f6c56bda",""
"Code","Code_298","Unit of Catalytic Activity Concentration","C67365","NCI Thesaurus","8b396806-e333-4e01-a62d-ee25641d27bb",""
"Code","Code_299","Biospecimen Type","C70713","NCI Thesaurus","87d08f4f-8a58-44bd-8e16-71e59b8ca69b",""
"Code","Code_295","Alanine Aminotransferase Measurement","C64433","NCI Thesaurus","4cae0bc1-d570-48c9-90ac-c144aea8f96e",""
"Code","Code_301","Laboratory Test Result","C36292","NCI Thesaurus","916c5c37-d572-4fab-99a4-d03ffb803723",""
"Code","Code_302","Laboratory Test Fasting Status","C83309","NCI Thesaurus","cc0b20dc-c653-40b8-9e6d-362ef611721e",""
"Code","Code_303","Unit of Concentration","C48207","NCI Thesaurus","573ecbb7-0438-4afc-9a24-04bddd6f3ad6",""
"Code","Code_304","Biospecimen Type","C70713","NCI Thesaurus","3facfed8-f1fc-462a-82e8-21eeef470a16",""
"Code","Code_300","Albumin Measurement","C64431","NCI Thesaurus","59fb4d11-f301-49e6-9ec6-5dc8add7bacb",""
