"instanceType","name","synonyms","label","id","reference","uuid:ID"
"BiomedicalConcept","Body Temperature","['Temperature']","Body Temperature","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","aec5c74c-a7ce-4b80-aaad-404302c4f5d8"
"BiomedicalConcept","Body Weight","['Weight']","Body Weight","BiomedicalConcept_21","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","a8e8aea3-2627-4a10-8796-c0ff0b704923"
"BiomedicalConcept","Body Height","['Height']","Body Height","BiomedicalConcept_22","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","b921d1a2-4615-4e36-b63c-7f5ba83a19ea"
"BiomedicalConcept","Alanine Aminotransferase Measurement","['ALT', 'SGPT']","Alanine Aminotransferase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","19dced57-4f3f-4ef3-8a64-e691c3af9a99"
"BiomedicalConcept","Albumin Measurement","['Albumin']","Albumin Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","46d6c042-e296-4f5d-8ec5-dac8691557d9"
"BiomedicalConcept","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","Alkaline Phosphatase Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","baa904de-5078-4456-822e-8467a57c6656"
"BiomedicalConcept","Aspartate Aminotransferase Measurement","['AST', 'SGOT']","Aspartate Aminotransferase Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","a320bb36-636a-4944-87d8-8ff8ad069ee7"
"BiomedicalConcept","Creatinine Measurement","['Creatinine']","Creatinine Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","904c80f6-a7cf-4f30-b82b-afffb4076b2a"
"BiomedicalConcept","Potassium Measurement","['Potassium', 'K']","Potassium Measurement","BiomedicalConcept_28","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","8b73b013-bed6-4bb6-87a4-a72fbf05951e"
"BiomedicalConcept","Sodium Measurement","['Sodium', 'NA']","Sodium Measurement","BiomedicalConcept_29","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","e8a8bba3-ee17-42c0-a011-89049e3888a3"
