"instanceType","name","label","id","description","uuid:ID"
"Encounter","E1","Screening 1","Encounter_1","Screening encounter","9316728b-2525-4a36-b229-f8076e2a0f34"
"Encounter","E2","Screening 2","Encounter_2","Screening encounter - Ambulatory ECG Placement","301f4700-d30b-4feb-8d13-d550817beff1"
"Encounter","E3","Baseline","Encounter_3","Baseline encounter - Ambulatory ECG Removal","fd9cfd9b-a4e0-4e15-bf6b-1de4d9d9bc86"
"Encounter","E4","Week 2","Encounter_4","Day 14","da23792f-8efd-40cb-9efc-21faff398895"
"Encounter","E5","Week 4","Encounter_5","Day 28","4041bad3-e72a-4fb2-a801-1f365b1b4a8e"
"Encounter","E7","Week 6","Encounter_6","Day 42","54a42ecb-f639-4799-86d5-d0088276369d"
"Encounter","E8","Week 8","Encounter_7","Day 56","c020b6dc-0cbb-482d-869c-45a9e65b0e8d"
"Encounter","E9","Week 12","Encounter_8","Day 84","8717f9f4-06f7-4be7-90a8-3f6f60e951c5"
"Encounter","E10","Week 16","Encounter_9","Day 112","92c6310a-bffc-46fe-b860-305816ae3398"
"Encounter","E11","Week 20","Encounter_10","Day 140","89bae575-b808-42f4-a7f1-3a52c6eb7a4b"
"Encounter","E12","Week 24","Encounter_11","Day 168","d6051260-8421-4397-975e-9dca163ab3fc"
"Encounter","E13","Week 26","Encounter_12","Day 182","f8a9e043-1c81-433a-abe9-02b9124ac992"
