"instanceType","name","label","id","description","uuid:ID"
"Activity","Informed consent","","Activity_1","","2f5ba7f9-24a2-48da-9f73-058f0efe2558"
"Activity","Inclusion/exclusion criteria","","Activity_2","","31d64969-af44-4e4a-9e5e-40210e11e4d9"
"Activity","Patient number assigned","","Activity_3","","989fd682-1c50-429a-9e56-e814162af75b"
"Activity","Demographics","Demographics","Activity_4","","fd145d29-3b43-4351-b6b9-75d12d14133e"
"Activity","Hachinski","Hachinski","Activity_5","","305673bc-cad1-4190-bee4-230d3b7a48ed"
"Activity","MMSE","MMSE","Activity_6","","ddd3330b-ba3e-44d2-a38f-52a5d12b69a7"
"Activity","Physical examination","","Activity_7","","64f80e24-e16f-4937-9056-e9d1712bde96"
"Activity","Medical history","","Activity_8","","3d5f7475-1ec1-44b0-903d-edfedcb6cbac"
"Activity","Habits","","Activity_9","","55e58aba-0762-472f-a06f-e7e3b9a69945"
"Activity","Chest X-ray","","Activity_10","","7da71cf6-99a4-429a-9a9f-bf566e72f0d5"
"Activity","Apo E genotyping","","Activity_11","","49b536ed-1f8e-4ef1-9bc1-3a79a954ecee"
"Activity","Patient randomised","","Activity_12","","3da77044-1bd4-4e19-9bfd-ba703e0a5d0f"
"Activity","Vital signs / Temperature","Vital Signs and Temperature","Activity_13","","e5d86eda-c927-451c-9295-fd84dce49ffa"
"Activity","Ambulatory ECG placed","","Activity_14","","e145cc1a-2c6a-473f-8e67-7527d472a9fb"
"Activity","Ambulatory ECG removed","","Activity_15","","b8e0bf37-aa35-402c-88dc-f7019691aa4b"
"Activity","ECG","","Activity_16","","15bf3140-f1fa-45be-9388-37e9d932a6f5"
"Activity","Placebo TTS test","","Activity_17","","67d19838-0e26-4f4d-91e2-eaf3cb29ffaf"
"Activity","CT scan","","Activity_18","","518445a2-5438-4f86-b08b-4af7b48bef0b"
"Activity","Concomitant medications","","Activity_19","","38292c83-0a80-4859-8367-92d22011483a"
"Activity","Hematology","","Activity_20","","d99fa761-6723-4d7e-9251-39f2f4f445f4"
"Activity","Chemistry","","Activity_21","","a010051f-44e3-40bd-a4df-1d87b29e7d1f"
"Activity","Uninalysis","","Activity_22","","49be5adc-5f0f-4a37-87d1-2d6c034ce469"
"Activity","Plasma Specimen (Xanomeline)","","Activity_23","","94bd0a50-6f0e-4af3-88b4-6e2d69732754"
"Activity","Hemoglobin A1C","","Activity_24","","7d200e5d-58c9-4f86-bdd6-7ee1f5deea0c"
"Activity","Study drug","Study drug record , Medications dispensed, Medications returned","Activity_25","","44f1777d-1b09-4c55-8e85-1d158cc74268"
"Activity","TTS Acceptability Survey","","Activity_26","","da7d6c0e-dedf-4091-b1fa-7ddf7109b360"
"Activity","ADAS-Cog","","Activity_27","","8b3a4cd4-41fa-4b74-9fed-b1048f0ff7dc"
"Activity","CIBIC+","","Activity_28","","1bdbbc37-c632-4cd9-b0b8-6148c42e5a36"
"Activity","DAD","","Activity_29","","31f43f9c-c23a-4b76-9c61-aba4a97b54de"
"Activity","NPI-X","","Activity_30","","7bdcd9e5-099b-4737-9c1d-c262ade73c59"
"Activity","Adverse events","","Activity_31","","8dd9eb73-f93c-4487-a8d3-d5fca79b4745"
"Activity","Check adverse events","","Activity_32","","68062820-d0fc-40c7-8d01-f4557a0526d8"
"Activity","Supine","Subject supine","Activity_33","","0814fa9b-666c-47f4-8217-e290ff64d35e"
"Activity","Vital Signs Supine","Vital signs while supine","Activity_34","","5c69c0ab-9720-4371-943f-f8d84281c22e"
"Activity","Stand","Subject Standing","Activity_35","","506cde7e-5002-4f28-aa40-454f5e170efc"
"Activity","Vital Signs Standing","Vital signs while standing","Activity_36","","6bf1c280-f3d0-458b-8ad5-59f905b5bc7c"
