"instanceType","name","label","id","isEnabled","uuid:ID","isRequired","datatype"
"BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_98","True","a3e45432-848e-426c-8989-50e95ba89b9c","True","decimal"
"BiomedicalConceptProperty","Unit of Temperature","Unit of Temperature","BiomedicalConceptProperty_99","True","11784f94-c93d-406b-abf7-0ce4852b4ce0","True","string"
"BiomedicalConceptProperty","Vital Signs Location","Vital Signs Location","BiomedicalConceptProperty_100","True","2ea8401b-3f0d-483b-b304-74368aeb98d3","True","string"
"BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_101","True","6ccc72e7-4e1c-4e28-b992-994f99229ef3","True","decimal"
"BiomedicalConceptProperty","Unit of Weight","Unit of Weight","BiomedicalConceptProperty_102","True","89a71c7b-2c3e-4dad-866b-dca4eb76e5d0","True","string"
"BiomedicalConceptProperty","Vital Signs Result","Vital Signs Result","BiomedicalConceptProperty_103","True","de17a3c9-c9b3-42ad-8850-08648525c9d9","True","decimal"
"BiomedicalConceptProperty","Unit of Height","Unit of Height","BiomedicalConceptProperty_104","True","26e0d0e5-17e1-4174-870c-21714aaddfa6","True","string"
"BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_105","True","ca1fb0ae-00a6-458f-ae00-c1db40962541","True","decimal"
"BiomedicalConceptProperty","Laboratory Test Fasting Status","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","True","badb5e6a-30f2-4ec3-874a-fc397103df65","True","boolean"
"BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","True","d0254935-f6f3-4726-bc05-d9195042454f","True","string"
"BiomedicalConceptProperty","Biospecimen Type","Biospecimen Type","BiomedicalConceptProperty_108","True","c926aafb-24b5-4937-bda8-9741c707f5e5","True","string"
"BiomedicalConceptProperty","Laboratory Test Result","Laboratory Test Result","BiomedicalConceptProperty_109","True","c7fcf284-8495-4273-86b5-157b77170ae5","True","string"
