"instanceType","name","id","text","uuid:ID"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_1","Subject identifier","6ebd786e-2957-4f46-a9c7-0ddc3b79beec"
"TransitionRule","ENCOUNTER_START_RULE_1","TransitionRule_2","completion of screening activities","f84d6ec4-405f-45a6-8c3f-f88174c5a6c5"
"TransitionRule","ENCOUNTER_START_RULE_2","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine","f4ae9f0f-743a-4887-9c4d-0f9d1632f996"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_4","subject has connection of ambulatory ECG machine removed","6c4c48e1-4813-428f-854c-52894ae9bb44"
"TransitionRule","ENCOUNTER_START_RULE_3","TransitionRule_5","Radomized","5c464ff9-bb94-4e47-8acb-51cce81fa0a6"
"TransitionRule","ENCOUNTER_START_RULE_12","TransitionRule_6","End of treatment","bdca66ba-c1c5-4ca4-81d7-86bec992374a"
"TransitionRule","ELEMENT_START_RULE_1","TransitionRule_7","Informed consent","26b687b3-5a7a-4bb4-afd1-5d49705931e2"
"TransitionRule","ELEMENT_END_RULE_1","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent","2a9798eb-02be-4a48-af45-88ebc2850d70"
"TransitionRule","ELEMENT_START_RULE_2","TransitionRule_9","Administration of first dose","e166af57-3f08-4bf6-a847-7b0b053fb46b"
"TransitionRule","ELEMENT_START_RULE_7","TransitionRule_14","End of last scheduled visit on study (including early termination)","f3abed95-0290-4ba4-b96f-4991ba8526fe"
"TransitionRule","ELEMENT_END_RULE_7","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)","bdb98bf0-2a4e-4cff-b522-41a4116ca8d5"
"TransitionRule","ELEMENT_START_RULE_3","TransitionRule_10","Administration of first dose","668378a8-2c36-4790-b8bc-fc047f583b68"
"TransitionRule","ELEMENT_START_RULE_4","TransitionRule_11","Randomized","6c852b8e-75cc-46ad-a3fc-15c68d9fd35f"
"TransitionRule","ELEMENT_START_RULE_5","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)","96a350b9-6afd-4e64-8c9e-ee385a0fe9ad"
"TransitionRule","ELEMENT_START_RULE_6","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)","52f3cb19-fbce-4bf4-9f2b-d43e9f2b26c5"
