"codeSystem","uuid:ID","instanceType","id","codeSystemVersion","code","decode"
"http://www.cdisc.org","f7f074b5-f102-4542-9f67-2f3ccc693eb1","Code","Code_1","2023-09-29","C98388","Interventional Study"
"http://www.cdisc.org","01a424d7-2267-4f85-9c8c-f356ccd5f5c3","Code","Code_2","2023-09-29","C15601","Phase II Trial"
"http://www.cdisc.org","67cbcf6e-a435-4d6d-b625-6223bd101881","Code","Code_9","2023-09-29","C132352","Sponsor Approval Date"
"http://www.cdisc.org","119dc26b-d02a-4689-b4c0-ea7c7b76a9fd","Code","Code_10","2023-09-29","C68846","Global"
"http://www.cdisc.org","f23a34e4-2216-4c24-a962-99c13f573806","Code","Code_72","2023-09-29","C99904x3","IRB/IEC Feedback"
"http://www.cdisc.org","d50a1498-0b57-4f03-82ee-4cc8c80bd7ab","Code","Code_73","2023-09-29","C17649","Other"
"http://www.cdisc.org","105186b0-90f5-4a8f-83b2-43c8918db1d1","Code","Code_75","2023-09-29","C41129","Region"
"ISO 3166 1 alpha3","a51649b5-f0e4-4a38-87f1-29824319d595","Code","Code_74","2020-08","150","Europe"
"SPONSOR","2b156ad0-6ae6-462b-82b6-aa0f428d0f4e","Code","Code_4","12","PHARMA","Eli Lilly"
"http://www.cdisc.org","68835a49-a845-469e-879f-5dbd8a261442","Code","Code_76","2023-09-29","C70793","Clinical Study Sponsor"
"ISO 3166 1 alpha3","35903c4a-ca30-45b9-a66e-850bf50ef883","Code","Code_77","2020-08","USA","United States of America"
"http://www.cdisc.org","5da4b35c-6938-43db-ab4d-77c63949a83e","Code","Code_78","2023-09-29","C93453","Study Registry"
"http://www.cdisc.org","7cbcb23e-cad0-4e38-b76a-1a09418d73e6","Code","Code_136","2023-09-29","C49656","Treatment Study"
"http://www.cdisc.org","1de6ba6b-e580-47b8-b559-391277dc86db","Code","Code_137","2023-09-29","C49666","Efficacy Study"
"http://www.cdisc.org","1ad5db29-cdb3-4d1a-9258-356a0a6332e8","Code","Code_138","2023-09-29","C49667","Safety Study"
"http://www.cdisc.org","628d38ea-3f3e-4433-a308-1db5f84a3ed7","Code","Code_139","2023-09-29","C49663","Pharmacokinetic Study"
"SPONSOR","8de1f113-8f55-4ad7-9b80-adf8a15673a6","Code","Code_133","12","MILD_MOD_ALZ","Mild to Moderate Alzheimer's Disease"
"SNOMED","567ce64d-fd82-48dc-86b1-0c92e1243898","Code","Code_134","January 31, 2018","26929004","Alzheimer's disease"
"http://www.cdisc.org","fefc5d09-3634-4b4e-95fe-d58da1cfe809","Code","Code_142","2023-09-29","C99907x1","EXTENSION"
"http://www.cdisc.org","18e74e2d-7c62-4307-a9b6-54794e897e91","Code","Code_143","2023-09-29","C98704","ADAPTIVE"
"http://www.cdisc.org","8567913b-b4ed-4c53-a29e-7e4b66834315","Code","Code_140","2023-09-29","C82639","Parallel Study"
"http://www.cdisc.org","8b64f41e-a15c-4be6-806e-5a75e67c5837","Code","Code_82","2023-09-29","C25716","Visit"
"http://www.cdisc.org","ff2992da-d62c-4fd6-a5ce-94116bf1b779","Code","Code_83","2023-09-29","C51282","Clinic"
"http://www.cdisc.org","15070495-6f4a-411d-85e1-817cba11bfc1","Code","Code_84","2023-09-29","C175574","In Person"
"http://www.cdisc.org","3847ba72-5edb-4bd4-bc31-d81bed104d76","Code","Code_85","2023-09-29","C25716","Visit"
"http://www.cdisc.org","ff52350c-e716-4c96-96fe-36f435bceccf","Code","Code_86","2023-09-29","C51282","Clinic"
"http://www.cdisc.org","8e4f7836-311d-4510-b376-a349fcd7349e","Code","Code_87","2023-09-29","C175574","In Person"
"http://www.cdisc.org","04bf3452-c8c4-46f4-ad6b-0e497a0e4cc3","Code","Code_88","2023-09-29","C25716","Visit"
"http://www.cdisc.org","3e7c81fd-a0fe-42dd-a093-9e704ce99a40","Code","Code_89","2023-09-29","C51282","Clinic"
"http://www.cdisc.org","57699b3b-44a6-4528-9e84-580ebea00f04","Code","Code_90","2023-09-29","C175574","In Person"
"http://www.cdisc.org","e3aa8b21-3b67-498a-85d5-403d7ee833c5","Code","Code_91","2023-09-29","C25716","Visit"
"http://www.cdisc.org","10fb5927-7a6f-4cd2-a11a-0462156c7e99","Code","Code_92","2023-09-29","C51282","Clinic"
