"description","uuid:ID","instanceType","id","name","label"
"","114ad2c1-40c3-4aa6-8d6b-e973e6eb6ad1","Activity","Activity_1","Informed consent",""
"","7cdebd95-0342-4480-8bbb-6e7f7b493712","Activity","Activity_2","Inclusion/exclusion criteria",""
"","3655c763-4771-49fc-965a-3570cfdc42fc","Activity","Activity_3","Patient number assigned",""
"","46b68550-cb5d-4cea-9a5e-a76b3b481d41","Activity","Activity_4","Demographics","Demographics"
"","be880801-0937-46d9-ad21-b894e54dd569","Activity","Activity_5","Hachinski","Hachinski"
"","c6da28e2-bfaa-4a7f-ab28-a1468f7e8fd6","Activity","Activity_6","MMSE","MMSE"
"","2fbd37d9-5877-49db-a306-68dd59569b76","Activity","Activity_7","Physical examination",""
"","89da362f-71e9-4d30-8f1a-58a694e5ef4d","Activity","Activity_8","Medical history",""
"","fb66a96b-b926-4a9b-a3c3-c90e49179941","Activity","Activity_9","Habits",""
"","a34fd8ea-f4b9-46d9-9255-3d07fc7110a2","Activity","Activity_10","Chest X-ray",""
"","6cdf4d92-3608-499c-be11-652fae9354b7","Activity","Activity_11","Apo E genotyping",""
"","e4df17c1-d6e9-4b8c-95e1-467d5fa08b84","Activity","Activity_12","Patient randomised",""
"","8c7ce8b9-2769-4922-a8a2-2cdb4c7bbd15","Activity","Activity_13","Vital signs / Temperature","Vital Signs and Temperature"
"","7061d5bc-2073-49a8-bcf0-3cdf70e3fa9a","Activity","Activity_14","Ambulatory ECG placed",""
"","d9c0037d-4a0e-4922-bea5-98bd68341347","Activity","Activity_15","Ambulatory ECG removed",""
"","3fb240cd-eabb-4e2b-899e-0a9776dbfe81","Activity","Activity_16","ECG",""
"","845c2a94-9611-417b-bdde-73fc735486a7","Activity","Activity_17","Placebo TTS test",""
"","ee8181b0-90f5-469f-ad37-c9c7c92f8534","Activity","Activity_18","CT scan",""
"","2f8f9740-5fd2-4e60-9a75-ee6476bca488","Activity","Activity_19","Concomitant medications",""
"","b00c9652-03a2-4c87-8d61-afad3bc28061","Activity","Activity_20","Hematology",""
"","b535c23f-6873-4b6d-9ef8-028f6532bdc0","Activity","Activity_21","Chemistry",""
"","c07dbc56-0045-45ee-a71c-d8d614009d29","Activity","Activity_22","Uninalysis",""
"","a7da02b0-213a-4230-9966-71af6dc2cfb6","Activity","Activity_23","Plasma Specimen (Xanomeline)",""
"","3fa6294e-6812-4641-944a-dbc63d7317df","Activity","Activity_24","Hemoglobin A1C",""
"","e5cd6e90-fea5-4a4f-9d12-b91ce6314b9b","Activity","Activity_25","Study drug","Study drug record , Medications dispensed, Medications returned"
"","04b2c95a-2619-43da-9621-e5cd0af2ec53","Activity","Activity_26","TTS Acceptability Survey",""
"","0ea21242-23f0-4827-9f0b-4755d8e6d918","Activity","Activity_27","ADAS-Cog",""
"","82fea364-19d3-45b0-bf71-081f6945a2a0","Activity","Activity_28","CIBIC+",""
"","c761d3b9-7833-4a36-8454-e82675e43b46","Activity","Activity_29","DAD",""
"","86ddc938-c00a-440e-8185-b6a9a003d1fa","Activity","Activity_30","NPI-X",""
"","132e56d0-e6dd-4fa4-a31a-21b51fbf6ad5","Activity","Activity_31","Adverse events",""
"","fd508b83-a473-4f0c-8f9f-b7b6932f9200","Activity","Activity_32","Check adverse events",""
"","5345ea41-1c65-4b50-9762-78f862e0024a","Activity","Activity_33","Supine","Subject supine"
"","061e89b6-a2bc-47b2-9a8b-23c82c7a8b4b","Activity","Activity_34","Vital Signs Supine","Vital signs while supine"
"","f7d8c239-f698-45e2-b734-8e560e982b8b","Activity","Activity_35","Stand","Subject Standing"
"","abd8ad07-0f8e-43cf-a150-68020e13f697","Activity","Activity_36","Vital Signs Standing","Vital signs while standing"
