"uuid:ID","instanceType","id","name","sectionNumber","text","sectionTitle"
"4754c785-9159-4cfa-8f18-9b523802334b","NarrativeContent","NarrativeContent_1","ROOT","0","","Root"
"c5e0cfbf-87b3-4d7e-9479-5afff2262b33","NarrativeContent","NarrativeContent_2","SECTION 0","0","<div><usdm:section name=""M11-title-page""></usdm:section></div>","TITLE PAGE"
"76524110-b2ae-467d-9c0d-a85b81942a5f","NarrativeContent","NarrativeContent_3","SECTION 1","1","<div></div>","PROTOCOL SUMMARY"
"a8f1ccd2-7e36-414a-8ca2-8663d58cb72b","NarrativeContent","NarrativeContent_4","SECTION 1.1","1.1","<div></div>","Protocol Synopsis"
"65c606d2-43f4-4c9a-9385-b3a4f222fe59","NarrativeContent","NarrativeContent_5","SECTION 1.2","1.2","<div></div>","Trial Schema"
"31b52c7a-7f9f-4218-a553-16914016980f","NarrativeContent","NarrativeContent_6","SECTION 1.3","1.3","<div></div>","Schedule of Activities"
"b418dcd0-be5f-47f6-916b-a0007ce141e7","NarrativeContent","NarrativeContent_7","SECTION 2","2","<div></div>","INTRODUCTION"
"b94f8530-dabf-46b1-acd1-dbeef0205261","NarrativeContent","NarrativeContent_8","SECTION 2.1","2.1","<div></div>","Purpose of Trial"
"346ec107-d395-4de9-9932-cf90d48226d6","NarrativeContent","NarrativeContent_9","SECTION 2.2","2.2","<div></div>","Summary of Benefits and Risks"
"21ff55b7-9e84-4ddd-b65b-edc1152fea78","NarrativeContent","NarrativeContent_10","SECTION 3","3","<div></div>","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS"
"ba4bc467-d229-495f-a2ec-67d81db0dcf2","NarrativeContent","NarrativeContent_11","SECTION 3.1","3.1","<div><usdm:section name=""M11-objective-endpoints""></usdm:section></div>","Primary Objectives"
"e2200b36-40e3-4d50-a5d7-8e18a4573cae","NarrativeContent","NarrativeContent_12","SECTION 4","4","<div></div>","TRIAL DESIGN"
"2d43823d-4a64-4dc3-8e63-e57c849e98f3","NarrativeContent","NarrativeContent_13","SECTION 4.1","4.1","<div></div>","Description of Trial Design"
"58f09689-3367-4807-8b81-8aee4439056d","NarrativeContent","NarrativeContent_14","SECTION 4.1.1","4.1.1","<div></div>","Participant Input into Design"
"ea633099-1876-4834-a7b7-5a66a5493c0e","NarrativeContent","NarrativeContent_15","SECTION 4.2","4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","Rationale for Trial Design"
"08b56777-f5b9-471a-b4cd-990e0f952116","NarrativeContent","NarrativeContent_16","SECTION 4.2.1","4.2.1","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","Rationale for Comparator"
"8728638c-d4e2-4dd3-82cf-c2329698ca73","NarrativeContent","NarrativeContent_17","SECTION 4.2.2","4.2.2","<div></div>","Rationale for Adaptive or Novel Trial Design"
"729354e8-dbc6-48c4-8367-1dabc6992dab","NarrativeContent","NarrativeContent_18","SECTION 4.2.3","4.2.3","<div></div>","Other Trial Design Considerations"
"7d8156e0-f7af-40f6-8ceb-4756fbcd319c","NarrativeContent","NarrativeContent_19","SECTION 4.3","4.3","<div></div>","Access to Trial Intervention After End of Trial"
"2e391906-3629-4fce-91d2-6d140233ca2e","NarrativeContent","NarrativeContent_20","SECTION 4.4","4.4","<div></div>","Start of Trial and End of Trial"
"6475a74a-a90d-47fb-a4a4-0f1eba847271","NarrativeContent","NarrativeContent_21","SECTION 5","5","<div></div>","TRIAL POPULATION"
"39659956-9006-4add-9601-228fc4cfaaba","NarrativeContent","NarrativeContent_22","SECTION 5.1","5.1","<div><p>For Lilly studies, the following definitions are used:</p>
<div>
<div><strong>Screen</strong></div>
<div>
<p>Screening is the act of determining if an individual meets minimum requirements to become part of a pool of potential candidates for participation in a clinical study.</p>
<p>In this study, <strong>screening</strong> will include asking the candidate preliminary questions (such as age and general health status) and conducting invasive or diagnostic procedures and/or tests (for example, diagnostic psychological tests, x-rays, blood draws). Patients will sign the consent at their screening visit, thereby consenting to undergo the screening procedures and to participate in the study if they qualify.</p>
</div>
</div>
<div>
<div>To <strong>enter</strong></div>
<div>
<p>Patients <strong>entered</strong> into the study are those from whom informed consent for the study has been obtained. Adverse events will be reported for each patient who has <strong>entered</strong> the study, even if the patient is never assigned to a treatment group (<strong>enrolled</strong>).</p></div>
</div>
</div>
<div>
<div>To <strong>enroll</strong></div>
<div>
<p>Patients who are enrolled in the study are those who have been assigned to a treatment group. Patients who are entered into the study but fail to meet criteria specified in the protocol for treatment assignment will not be enrolled in the study.</p></div>
</div>

<p>At Visit 1, patients who meet the enrollment criteria of Mini-Mental State Examination (MMSE) score of 10 to 23 (Attachment LZZT.6), Hachinski Ischemia Score ≤4 (Attachment LZZT.8), a physical exam, safety labs, ECG, and urinalysis, will proceed to Visit 2 and Visit 3. At Visit 3, patients whose CNS imaging and other pending labs from Visit 1 satisfy the inclusion criteria (Section 3.4.2.1) will be enrolled in the study. Approximately 300 patients with a diagnosis of probable mild to moderate AD will be enrolled in the study.</p>","Selection of Trial Population"
"3220a73e-8748-460b-955b-ba67927a17d9","NarrativeContent","NarrativeContent_23","SECTION 5.2","5.2","<div></div>","Rationale for Trial Population"
"5ee2fd45-5a32-4878-9e16-31a73464f64c","NarrativeContent","NarrativeContent_24","SECTION 5.3","5.3","<div><usdm:section name=""M11-inclusion""></usdm:section></div>","Inclusion Criteria"
"2e0ca375-681a-4703-bb1a-1ec389e2ede5","NarrativeContent","NarrativeContent_25","SECTION 5.4","5.4","<div><usdm:section name=""M11-exclusion""></usdm:section></div>","Exclusion Criteria"
"5c8185e9-fae4-4064-a696-22b7b979eab6","NarrativeContent","NarrativeContent_26","SECTION 5.5","5.5","<div></div>","Lifestyle Considerations"
"cd966df3-a21f-4ee9-96b1-7f10458730f8","NarrativeContent","NarrativeContent_27","SECTION 5.5.1","5.5.1","<div></div>","Meals and Dietary Restrictions"
"c2cbb82d-a175-4795-8a75-1ab96bab54f8","NarrativeContent","NarrativeContent_28","SECTION 5.5.2","5.5.2","<div><p>Not applicable</p></div>","Caffeine, Alcohol, Tobacco, and Other Habits"
"19e02f33-b355-4973-a091-a9866d90e813","NarrativeContent","NarrativeContent_29","SECTION 5.5.3","5.5.3","<div></div>","Physical Activity"
"f89c46b3-04ab-4400-8fb7-1c4be4f6356d","NarrativeContent","NarrativeContent_30","SECTION 5.5.4","5.5.4","<div></div>","Other Activity"
"6e714c93-0456-4ee4-bcad-8db6b79a2574","NarrativeContent","NarrativeContent_31","SECTION 5.6","5.6","<div></div>","Screen Failures"
