"uuid:ID","instanceType","isRequired","id","name","label","isEnabled","datatype"
"bb430a45-64ab-4c80-aae2-b84698f5bbaa","BiomedicalConceptProperty","True","BiomedicalConceptProperty_89","Clinical Test Result","Clinical Test Result","True","decimal"
"f71d5b6f-8699-40d5-8eaa-53e1832afaa6","BiomedicalConceptProperty","True","BiomedicalConceptProperty_90","Unit of Temperature","Unit of Temperature","True","string"
"78a10b41-bdf3-4d72-adbd-fbd6af4d352a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_91","Anatomic Site","Anatomic Site","True","string"
"5275e0be-9903-4fe9-bc97-d0ebf57a213b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_92","Clinical Test Result","Clinical Test Result","True","decimal"
"30e2f216-c771-4028-a2bc-c756c3c04af0","BiomedicalConceptProperty","True","BiomedicalConceptProperty_93","Unit of Weight","Unit of Weight","True","string"
"b408b63b-c15d-4318-9c78-0daa5b751927","BiomedicalConceptProperty","True","BiomedicalConceptProperty_94","Clinical Test Result","Clinical Test Result","True","decimal"
"4d0f3d38-91a1-4839-a2df-489fe9212c73","BiomedicalConceptProperty","True","BiomedicalConceptProperty_95","Unit of Height","Unit of Height","True","string"
"6fc22dba-f671-4473-aa89-a81a263615e7","BiomedicalConceptProperty","True","BiomedicalConceptProperty_96","Laboratory Test Result","Laboratory Test Result","True","decimal"
"81de8b28-ac71-4bcc-99b1-3d26a9afd95f","BiomedicalConceptProperty","True","BiomedicalConceptProperty_97","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","boolean"
"faa62e77-c152-448d-a634-8be3496bf60b","BiomedicalConceptProperty","True","BiomedicalConceptProperty_98","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","string"
"2f0035fe-db30-448f-9b22-913451d110f0","BiomedicalConceptProperty","True","BiomedicalConceptProperty_99","Biospecimen Type","Biospecimen Type","True","string"
"acc8fdd8-12d4-4299-aa9b-46b994e7bc3a","BiomedicalConceptProperty","True","BiomedicalConceptProperty_100","Laboratory Test Result","Laboratory Test Result","True","string"
"4fd8b89f-e687-4f7e-a9ca-c24224ca8f81","BiomedicalConceptProperty","True","BiomedicalConceptProperty_101","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","boolean"
"0c39f069-c480-4427-ae72-6c1a34c7481e","BiomedicalConceptProperty","True","BiomedicalConceptProperty_102","Unit of Concentration","Unit of Concentration","True","string"
