"description","uuid:ID","windowUpper","instanceType","id","window","name","label","windowLower","value"
"Screening timing","a78de004-ed49-4e6e-a34c-a95b5fb339fe","","Timing","Timing_1","","TIM1","Screening","","P2W"
"Pre dose timing","422d6a6e-7e44-4e16-9add-be0a8a9e2b77","PT0H","Timing","Timing_2","-4..0 hours","TIM2","Pre dose","PT4H","P2D"
"Dosing anchor","7c47aeff-1911-4c71-a5b8-7964c60919c1","","Timing","Timing_3","","TIM3","Dosing","","P1D"
"Week 2 timing","8696a965-2fd1-451b-98f6-69455ec5c16d","P3D","Timing","Timing_4","-3..3 days","TIM4","Week 2","P3D","P2W"
"Week 4 timing","3dcc8700-c2d6-4f1a-8c21-be079f83ea23","P3D","Timing","Timing_5","-3..3 days","TIM5","Week 4","P3D","P4W"
"Week 6 timing","68b95490-5d93-4d2c-a557-d7a7705ce1db","P3D","Timing","Timing_6","-3..3 days","TIM6","Week 6","P3D","P6W"
"Week 8 timing","f0ef02c3-0723-41a4-bf47-4c0fbdb13417","P3D","Timing","Timing_7","-3..3 days","TIM7","Week 8","P3D","P8W"
"Week 12 timing","393b89f7-a94b-4b40-a809-e2dfd97262e5","P4D","Timing","Timing_9","-4..4 days","TIM9","Week 12","P4D","P12W"
"Week 16 timing","19d09153-89bb-4d1e-bb6d-67a49cdaf8b8","P4D","Timing","Timing_11","-4..4 days","TIM11","Week 16","P4D","P16W"
"Week 20 timing","3c2f375c-7542-450c-9245-d7c478d616bd","P4D","Timing","Timing_13","-4..4 days","TIM13","Week 20","P4D","P20W"
"Week 24 timing","049efcad-b1a6-450c-91f8-5b1c96700fce","P4D","Timing","Timing_15","-4..4 days","TIM15","Week 24","P4D","P24W"
"Week 26 timing","2ec76343-8224-429c-b310-9c4e59cd3a22","P3D","Timing","Timing_16","-3..3 days","TIM16","Week 26","P3D","P26W"
"Week 8 at home timing","396444e2-8ea9-405d-9d2e-38a0664e3bab","","Timing","Timing_8","","TIM8","Week 8 Home","","P2W"
"Week 12 at home timing","3865d46a-981f-43ab-b193-65ba017b1bc6","","Timing","Timing_10","","TIM10","Week 12 Home","","P2W"
"Week 16 at home timing","fd1eca28-232a-4c41-900f-2819e26f4123","","Timing","Timing_12","","TIM12","Week 16 Home","","P2W"
"Week 20 at home timing","6eb9fad3-a227-46d3-ad19-69e5722f0985","","Timing","Timing_14","","TIM14","Week 20 Home","","P2W"
"Adverse Event","bf7ec07f-b142-40d5-85f4-03eb30a8d556","","Timing","Timing_17","","TIM17","Adverse Event","","P1D"
"Early Termination","21433420-31d9-4f32-a9dd-3ba3c5e0a78b","","Timing","Timing_18","","TIM18","Early Termination","","P1D"
"Supine","cd422f10-df67-49a3-a301-4f43e198ada3","","Timing","Timing_19","","TIM19","Supine","","PT0M"
"VS while supine","cbcb5dda-3d23-43c6-b1f8-143770cf7341","","Timing","Timing_20","","TIM20","VS while supine","","PT5M"
"Standing","7fc68084-2028-48fa-96e6-670185296b30","","Timing","Timing_21","","TIM21","Standing","","PT0M"
"VS while standing","630b01c5-d4a5-4dd1-a65a-2bebe6b0bd81","","Timing","Timing_22","","TIM22","VS while standing","","PT1M"
"Standing","2b0476e8-7cf4-45a4-86df-c8b26a9bbe21","","Timing","Timing_23","","TIM23","Standing","","PT0M"
"VS while standing","c5de92b7-8098-420d-9756-2adb3a518f0e","","Timing","Timing_24","","TIM24","VS while standing","","PT2M"
