"uuid:ID","instanceType","id","name","text"
"88119c11-669d-4c0f-9138-792bac9e0bc6","TransitionRule","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier"
"f24d356f-d66e-4268-a19c-468674572cdb","TransitionRule","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities"
"79f7d695-6702-4e5d-86aa-86bc44a5c9c3","TransitionRule","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"e1db6cfe-01cf-4bef-b048-d262af8fb23d","TransitionRule","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"5a41caa1-e236-40e5-9374-b8d664285fe5","TransitionRule","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized"
"d121a707-c22c-4a96-9fca-fe895866f365","TransitionRule","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment"
"69a82d2e-6c0d-4aa0-868a-b58b81d3d404","TransitionRule","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent"
"394f06a5-48d1-4a3c-994e-e21d07b610a1","TransitionRule","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"6517e15f-d47c-4cbf-98e1-bb3766fe4d75","TransitionRule","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose"
"a3108ad5-ab0c-4d60-b23b-67f9e8166556","TransitionRule","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"7f5fa881-ddfa-46e3-ac44-446cf019b7aa","TransitionRule","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"f41a75e4-bb05-44cd-9902-d7f6a1277737","TransitionRule","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose"
"aa5a4466-4bfa-4a9e-97b4-14117ea7a109","TransitionRule","TransitionRule_11","ELEMENT_START_RULE_4","Randomized"
"ce208c96-98da-4673-8eb0-3aaebc214813","TransitionRule","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"7f566a46-2a06-4094-b15a-2f5dec1227d2","TransitionRule","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
