"text","id","name","uuid:ID","instanceType"
"Subject identifier","TransitionRule_1","ENCOUNTER_START_RULE_1","adec53a7-56a2-4711-94a1-09f7862f9502","TransitionRule"
"completion of screening activities","TransitionRule_2","ENCOUNTER_START_RULE_1","60e2f04a-dfc6-4513-a02b-a0d0d03372b1","TransitionRule"
"subject leaves clinic after connection of ambulatory ECG machine","TransitionRule_3","ENCOUNTER_START_RULE_2","aa795d7e-87d5-46ed-8320-18cf7388cf12","TransitionRule"
"subject has connection of ambulatory ECG machine removed","TransitionRule_4","ENCOUNTER_START_RULE_3","98e5aec1-ea7d-4b21-b7ad-92bd6f75edd7","TransitionRule"
"Radomized","TransitionRule_5","ENCOUNTER_START_RULE_3","71d1cce9-7e8e-42d2-b056-cbc9377f1c71","TransitionRule"
"End of treatment","TransitionRule_6","ENCOUNTER_START_RULE_12","ace38a12-e462-4225-a479-e5f7c848acab","TransitionRule"
"Informed consent","TransitionRule_7","ELEMENT_START_RULE_1","44912d6e-b832-45b7-811d-3641a957e198","TransitionRule"
"Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule_8","ELEMENT_END_RULE_1","61bede87-0166-4682-8685-2d2189a5baf1","TransitionRule"
"Administration of first dose","TransitionRule_9","ELEMENT_START_RULE_2","d98bda33-9412-4957-9831-2c8e5c733f48","TransitionRule"
"End of last scheduled visit on study (including early termination)","TransitionRule_14","ELEMENT_START_RULE_7","de5f326d-9f4e-4219-a6c2-02115e6d13ed","TransitionRule"
"Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule_15","ELEMENT_END_RULE_7","ebb2778e-1d2b-4487-af0a-ba1486113849","TransitionRule"
"Administration of first dose","TransitionRule_10","ELEMENT_START_RULE_3","7f50c1ea-ac9c-4f7b-8687-c893dcb28a52","TransitionRule"
"Randomized","TransitionRule_11","ELEMENT_START_RULE_4","9942f8ed-908b-499c-b04d-14d74db42afb","TransitionRule"
"Administration of first dose (from patches supplied at Visit 4)","TransitionRule_12","ELEMENT_START_RULE_5","911f827a-b6ee-45d5-af00-ee06d4643eb3","TransitionRule"
"Administration of first dose (from patches supplied at Visit 12)","TransitionRule_13","ELEMENT_START_RULE_6","4d361192-1c59-47c5-9dc4-0f1d93e14856","TransitionRule"
