"text","id","name","label","uuid:ID","purpose","instanceType","description"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint_1","END1","","4775f3f1-4035-4a21-ae48-daf773346798","","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint_2","END2","","55c07387-aae1-4d5f-a5b3-0568a7f2529a","","Endpoint",""
"Adverse events","Endpoint_3","END3","","f76ae99f-eefa-43e7-948c-3366db18c4f3","","Endpoint",""
"Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint_4","END4","","420c7f98-c20a-4cf9-84cb-33619fd3da74","","Endpoint",""
"Laboratory evaluations (Change from Baseline)","Endpoint_5","END5","","89e3e15e-3757-49df-9a82-b42412c4598d","","Endpoint","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation"
"Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint_6","END6","","3e390dee-473d-4f30-9537-659a10dba202","","Endpoint",""
"Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint_7","END7","","1f8be4a5-133a-40e0-bdb6-a40f90a76c8f","","Endpoint",""
"Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint_8","END8","","d87aa901-5466-4c3f-ad0b-475e707b7739","","Endpoint",""
"*** To be determined from protocol ***","Endpoint_9","END9","","88b4af3e-ad21-492d-b458-2dc9f5864ec7","","Endpoint",""
"*** To be determined from protocol ***","Endpoint_10","END10","","00010da1-a43e-4274-8db4-14c074a54692","","Endpoint",""
"*** To be determined from protocol ***","Endpoint_11","END11","","0e31f11f-4da3-4017-8f28-84bf1922921e","","Endpoint",""
