"id","name","label","uuid:ID","instanceType","description"
"ScheduledActivityInstance_9","SCREEN1","Screen One","c894e88b-1236-47e7-a361-690566e694cb","ScheduledActivityInstance","-"
"ScheduledActivityInstance_10","SCREEN2","Screen Two","066183a3-8a39-4d5f-91c6-c2b038eb3f3f","ScheduledActivityInstance","-"
"ScheduledActivityInstance_11","DOSE","Dose","98c25a33-94a0-4620-87cf-f83a85bf7a2c","ScheduledActivityInstance","-"
"ScheduledActivityInstance_12","WK2","Week 2","99e7de67-907a-449d-9821-b16d88adaea3","ScheduledActivityInstance","-"
"ScheduledActivityInstance_13","WK4","Week 4","3e6dbd43-8997-4bf4-9c6d-3d6680425baa","ScheduledActivityInstance","-"
"ScheduledActivityInstance_14","WK6","Week 6","aee41c39-77fb-4746-987f-41845cc587af","ScheduledActivityInstance","-"
"ScheduledActivityInstance_15","WK8","Week 8","c5df6be8-f351-47a6-b2b7-b4a4643a5bd6","ScheduledActivityInstance","-"
"ScheduledActivityInstance_16","WK8N","Week NPI","64b0f910-0c9f-484f-bdf7-f4ef194bbce8","ScheduledActivityInstance","-"
"ScheduledActivityInstance_17","WK12","Week 12","77480414-7f0b-4ab0-9bdf-b693e56d05ef","ScheduledActivityInstance","-"
"ScheduledActivityInstance_18","WK12N","Week 12 NPI","f72644f9-b857-4297-a1e7-011ce29030d5","ScheduledActivityInstance","-"
"ScheduledActivityInstance_19","WK16","Week 16","c474041a-66a8-4171-b9a1-8af77328b997","ScheduledActivityInstance","-"
"ScheduledActivityInstance_20","WK16N","Week 16 NPI","d701f1e8-07ba-4537-9538-5e189269ed0b","ScheduledActivityInstance","-"
"ScheduledActivityInstance_21","WK20","Week 20","7e611bbc-a5bc-4234-a96d-9438315bcf40","ScheduledActivityInstance","-"
"ScheduledActivityInstance_22","WK20N","Week 20 NPI","c405c722-89ac-45b4-891f-6fa38281fbc3","ScheduledActivityInstance","-"
"ScheduledActivityInstance_23","WK24","Week 24","213e30de-432d-4d4e-9e12-9971bdab9ea4","ScheduledActivityInstance","-"
"ScheduledActivityInstance_24","WK26","Week 26","62bf21a5-eef9-4f39-881a-36364e7cac12","ScheduledActivityInstance","-"
"ScheduledActivityInstance_1","AE","Adevers Event","18bc1f30-9291-46b4-ae54-7a3c28bc46fe","ScheduledActivityInstance","-"
"ScheduledActivityInstance_2","ET","Early Termination","f9132792-88a6-4d67-99af-f706241346e0","ScheduledActivityInstance","-"
"ScheduledActivityInstance_3","VS_5MIN","5 minute supine","ff71ba98-8c53-4fea-b687-277cdeff109d","ScheduledActivityInstance",""
"ScheduledActivityInstance_4","VS_SUPINE","Vital signs supine","b5c7880a-d196-4327-a8e9-46048365c85c","ScheduledActivityInstance",""
"ScheduledActivityInstance_5","VS_1MIN","1 minute standing","843b1068-e2a7-4775-8b69-38d9acf0b035","ScheduledActivityInstance",""
"ScheduledActivityInstance_6","VS_STAND1","Vital signs after 1 min standing","00f282d5-df5f-45bc-8446-762b126b5a73","ScheduledActivityInstance",""
"ScheduledActivityInstance_7","VS_2MIN","2 minute standing","7e4a0d6c-0b41-46b9-90eb-9e7e697968c2","ScheduledActivityInstance",""
"ScheduledActivityInstance_8","VS_STAND3","Vital signs after 3 min standing","491145db-97c5-4f24-8b67-841439110e29","ScheduledActivityInstance",""
