"id","name","label","uuid:ID","instanceType","description"
"Encounter_1","E1","Screening 1","4d24be91-6c00-4fa4-b443-68de3c14ab5a","Encounter","Screening encounter"
"Encounter_2","E2","Screening 2","6b9683a9-b262-4409-9cc7-775a369c2163","Encounter","Screening encounter - Ambulatory ECG Placement"
"Encounter_3","E3","Baseline","8b06804e-79ce-4203-a1d9-bf04a996f18e","Encounter","Baseline encounter - Ambulatory ECG Removal"
"Encounter_4","E4","Week 2","463bba63-57b7-42d1-8446-59c5aa073806","Encounter","Day 14"
"Encounter_5","E5","Week 4","b42bcb95-a8b7-434d-a766-247f095d9261","Encounter","Day 28"
"Encounter_6","E7","Week 6","a8381111-476a-466f-8d73-8940a9958a8f","Encounter","Day 42"
"Encounter_7","E8","Week 8","e70aaf39-986f-4e59-b0f8-f4eae5555edb","Encounter","Day 56"
"Encounter_8","E9","Week 12","5c505787-f2af-428d-b566-babe3a94c0f7","Encounter","Day 84"
"Encounter_9","E10","Week 16","89234f5d-641e-4896-9a3e-20ddefb44a4e","Encounter","Day 112"
"Encounter_10","E11","Week 20","a7d247c7-3cf7-4f21-aaba-25f7c07fc35b","Encounter","Day 140"
"Encounter_11","E12","Week 24","faf6a7ae-fa09-4764-be3e-f39d5d9bb9f1","Encounter","Day 168"
"Encounter_12","E13","Week 26","b392026d-336d-4df3-86f9-69c166e98fc5","Encounter","Day 182"
