"code","id","uuid:ID","codeSystemVersion","instanceType","codeSystem","decode"
"C98388","Code_1","2592e9b3-d872-4b26-97e6-30f9a32e2ee8","2023-12-15","Code","http://www.cdisc.org","Interventional Study"
"C15601","Code_2","b74f4f97-2a31-47a4-ad78-e1d02d3492ed","2023-12-15","Code","http://www.cdisc.org","Phase II Trial"
"C132352","Code_9","41d9bc2a-6169-4d08-b7c3-3e5ad8bd841c","2023-12-15","Code","http://www.cdisc.org","Sponsor Approval Date"
"C68846","Code_10","3b6f7e51-56da-47dc-aacf-14c19cfe31a6","2023-12-15","Code","http://www.cdisc.org","Global"
"C99904x3","Code_72","3d26c132-7440-4b5b-a44d-f512ac60d36a","2023-12-15","Code","http://www.cdisc.org","IRB/IEC Feedback"
"C17649","Code_73","7e9f183b-25aa-4e2d-96b9-955368e1559e","2023-12-15","Code","http://www.cdisc.org","Other"
"C41129","Code_75","14a4848a-65de-4d40-a030-1e95bdd11a33","2023-12-15","Code","http://www.cdisc.org","Region"
"150","Code_74","153c10fb-2c24-403f-89a5-8d4ed8110f92","2020-08","Code","ISO 3166 1 alpha3","Europe"
"PHARMA","Code_4","31f35793-cb26-41af-9bfa-ce3a800380a3","12","Code","SPONSOR","Eli Lilly"
"C70793","Code_76","fd5a8ea6-e587-41ba-86ae-98fabeac70b3","2023-12-15","Code","http://www.cdisc.org","Clinical Study Sponsor"
"USA","Code_77","bc4a3bd6-98d1-490c-8c80-bcba5fed84d6","2020-08","Code","ISO 3166 1 alpha3","United States of America"
"C93453","Code_78","be1152f0-db6f-4e8e-a1fd-f6748f1bb088","2023-12-15","Code","http://www.cdisc.org","Study Registry"
"USA","Code_79","9ab13e9c-48f9-43e6-a0c3-e06ebd19edaa","2020-08","Code","ISO 3166 1 alpha3","United States of America"
"C49656","Code_137","d2dbb44f-c589-4247-898c-2f5a6b3eb01c","2023-12-15","Code","http://www.cdisc.org","Treatment Study"
"C49666","Code_138","2db37cd6-1109-4364-a8f3-6aa9d4bb02be","2023-12-15","Code","http://www.cdisc.org","Efficacy Study"
"C49667","Code_139","df76f52a-c3b6-4806-a133-725b8e3650df","2023-12-15","Code","http://www.cdisc.org","Safety Study"
"C49663","Code_140","90499faf-f268-4bd8-874d-76107cd851bc","2023-12-15","Code","http://www.cdisc.org","Pharmacokinetic Study"
"MILD_MOD_ALZ","Code_134","5e2e404f-835b-426e-baf3-b8ce4982bd3f","12","Code","SPONSOR","Mild to Moderate Alzheimer's Disease"
"26929004","Code_135","c0396fbb-5a34-484d-828e-ef89c25ee8e7","January 31, 2018","Code","SNOMED","Alzheimer's disease"
"C99907x1","Code_143","70d2613b-b878-4ce7-b43c-aa2047de8467","2023-12-15","Code","http://www.cdisc.org","EXTENSION"
"C98704","Code_144","2d564826-5d28-483a-a641-977ac76676b8","2023-12-15","Code","http://www.cdisc.org","ADAPTIVE"
"C82639","Code_141","691cff8f-00ec-4558-8ce2-eb0f0d28a90c","2023-12-15","Code","http://www.cdisc.org","Parallel Study"
"C25716","Code_83","4e26bd90-7190-49ae-a893-cf1bcf6fa835","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_84","8a5f50ed-7554-41ff-b7fc-003ce2b375c6","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_85","6be1720e-143a-4717-ac87-524c9f162eae","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_86","94e1cde6-5132-4f1d-b4c5-a70ae2937f56","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_87","cce7faa2-70a0-4a48-8e8e-e45ba10a9455","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_88","6448caef-8937-4f4f-a39c-d2640f879bde","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_89","44091eea-6775-44e0-8db0-25c72d2714e3","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_90","390e06f1-5505-4a39-8703-8c0ca62b2775","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_91","97abc87a-4010-4ed8-b069-9011c3f934ca","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_92","66c4edb8-94fd-4b4d-bd51-157d748932b2","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_93","92317642-2e79-4fcf-948e-c10f144edb05","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_94","cc7ab44a-2acf-40b8-b768-6cfb464bab28","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_95","f81f3f68-7a3f-4f01-bbd7-47387c33eb08","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_96","ff88a082-f6f5-4dd3-b084-30b0b243a3ef","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_97","a2f60f0f-07e8-4a2a-bca9-fd2e5e5d6b24","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_98","915d99fc-7a68-41a6-a283-c59c8f751a30","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_99","55fa1b1d-884a-4a76-bf97-4e9245d1e152","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_100","30c34a4b-dae7-410d-bde6-6e73074ef361","2023-12-15","Code","http://www.cdisc.org","In Person"
"C25716","Code_101","9a18b0db-a531-4e36-ac46-08cfef133186","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_102","62dbfbda-f037-48b8-9586-7019b5a9bc8a","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_103","1afa44b0-34c0-4243-a6c2-be4b0913ff3e","2023-12-15","Code","http://www.cdisc.org","In Person"
"C171537","Code_104","f92e2170-b6ac-405a-a8f6-cf60b51e6b95","2023-12-15","Code","http://www.cdisc.org","Telephone Call"
"C25716","Code_105","9d73b2cb-d06c-4bfe-9f32-2e29b845d359","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_106","739e8141-1803-43bf-a1f4-e97cfaabbb93","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_107","377e01ab-bdc0-41f1-b909-084a2bf244fa","2023-12-15","Code","http://www.cdisc.org","In Person"
"C171537","Code_108","ae0dc22c-2056-42b4-ab20-b9a9c0f02b45","2023-12-15","Code","http://www.cdisc.org","Telephone Call"
"C25716","Code_109","94cb893d-ded1-4a71-b09d-41d0fb7485a5","2023-12-15","Code","http://www.cdisc.org","Visit"
"C51282","Code_110","8325dacb-e4a6-40f2-8a55-d91cffc84578","2023-12-15","Code","http://www.cdisc.org","Clinic"
"C175574","Code_111","e4c19f17-c306-4208-9d9c-3dd4531b4f6d","2023-12-15","Code","http://www.cdisc.org","In Person"
"C171537","Code_112","9c286f7a-c552-4b67-9661-340daebcaeef","2023-12-15","Code","http://www.cdisc.org","Telephone Call"
