"id","name","label","uuid:ID","windowLower","windowLabel","value","windowUpper","instanceType","valueLabel","description"
"Timing_1","TIM1","Screening","0d66d40d-d2e6-4ace-b37d-29578f18d177","","","P2W","","Timing","2 weeks","Screening timing"
"Timing_2","TIM2","Pre dose","755b4735-0cad-40c2-9265-79f2918ce2e7","PT4H","-4..0 hours","P2D","PT0H","Timing","2 days","Pre dose timing"
"Timing_3","TIM3","Dosing","28a4b5a6-fa6f-40a8-a054-2bee63c42351","","","P1D","","Timing","1 Day","Dosing anchor"
"Timing_4","TIM4","Week 2","56ca0e8d-8d8f-4174-98f3-8f12c13193ee","P3D","-3..3 days","P2W","P3D","Timing","2 Weeks","Week 2 timing"
"Timing_5","TIM5","Week 4","03dd8968-9f14-4100-8683-b133797eaf27","P3D","-3..3 days","P4W","P3D","Timing","4 Weeks","Week 4 timing"
"Timing_6","TIM6","Week 6","fe7bb747-edae-4298-bc22-c9e19ad4d691","P3D","-3..3 days","P6W","P3D","Timing","6 Weeks","Week 6 timing"
"Timing_7","TIM7","Week 8","cbc77f83-b582-492b-b04b-c1b5e14a1e08","P3D","-3..3 days","P8W","P3D","Timing","8 Weeks","Week 8 timing"
"Timing_9","TIM9","Week 12","24c3daba-c420-4732-9f32-cc4575d1624c","P4D","-4..4 days","P12W","P4D","Timing","12 Weeks","Week 12 timing"
"Timing_11","TIM11","Week 16","c92bb129-fc47-4265-88ab-771c096e26d4","P4D","-4..4 days","P16W","P4D","Timing","16 Weeks","Week 16 timing"
"Timing_13","TIM13","Week 20","5ff94656-7b89-4c55-80f6-feeed35f8389","P4D","-4..4 days","P20W","P4D","Timing","20 Weeks","Week 20 timing"
"Timing_15","TIM15","Week 24","a84420a0-f5eb-47fb-9c6c-e955251a856a","P4D","-4..4 days","P24W","P4D","Timing","24 Weeks","Week 24 timing"
"Timing_16","TIM16","Week 26","5f12e400-6e8e-4aa4-b0e3-b2bbcbacc852","P3D","-3..3 days","P26W","P3D","Timing","26 Weeks","Week 26 timing"
"Timing_8","TIM8","Week 8 Home","0f433be6-2311-44c0-b86c-68fdc718aebe","","","P2W","","Timing","2 Weeks","Week 8 at home timing"
"Timing_10","TIM10","Week 12 Home","787ebb41-9c56-4c86-a3bf-498b6034422f","","","P2W","","Timing","2 Weeks","Week 12 at home timing"
"Timing_12","TIM12","Week 16 Home","9b3194f7-eef1-4387-baa1-1d3f9906ba7a","","","P2W","","Timing","2 Weeks","Week 16 at home timing"
"Timing_14","TIM14","Week 20 Home","312e8879-3201-4d22-911c-2014ac9c7f38","","","P2W","","Timing","2 Weeks","Week 20 at home timing"
"Timing_17","TIM17","Adverse Event","3061f45e-1944-44ed-88fa-2a27877a18c5","","","P1D","","Timing","1 Day","Adverse Event"
"Timing_18","TIM18","Early Termination","56d22da6-d9a0-4eb4-99f6-0ac769afed81","","","P1D","","Timing","1 Day","Early Termination"
"Timing_19","TIM19","Supine","25644adf-60e9-4447-bb9f-24c5cfc16716","","","PT0M","","Timing","0 mins","Supine"
"Timing_20","TIM20","VS while supine","7991c3a3-4585-4a01-8546-7db336bac477","","","PT5M","","Timing","5 mins","VS while supine"
"Timing_21","TIM21","Standing","ca205aa9-9148-4ff7-b14f-dc41aaa44bf4","","","PT0M","","Timing","0 min","Standing"
"Timing_22","TIM22","VS while standing","10300947-5f6a-461f-bb55-4ae2fdf6aba6","","","PT1M","","Timing","1 min","VS while standing"
"Timing_23","TIM23","Standing","c6be78d8-d328-4f5e-b06e-4d3b62466b73","","","PT0M","","Timing","0 min","Standing"
"Timing_24","TIM24","VS while standing","15f26df5-df0a-4e34-a0f3-96baf7339e14","","","PT2M","","Timing","2 min","VS while standing"
