"uuid:ID","decode","codeSystem","codeSystemVersion","code","id"
"9086e58a-6f94-4735-a58c-1690041560fd","Interventional Study","http://www.cdisc.org","2023-09-29","C98388","Code_1"
"133be122-7dd7-4d29-8649-d6b9c14a234b","Phase II Trial","http://www.cdisc.org","2023-09-29","C15601","Code_2"
"189314f6-0910-4f8b-a3dc-65ed8e6f9711","Sponsor Approval Date","http://www.cdisc.org","2023-09-29","C132352","Code_5"
"adeadeef-1336-4c29-805b-3383e1050f0b","Global","http://www.cdisc.org","2023-09-29","C68846","Code_6"
"946dc5d9-dbcd-4558-b69b-fa56a59b8d07","IRB/IEC Feedback","http://www.cdisc.org","2023-09-29","C99904x3","Code_54"
"1d485112-5587-42b0-89ca-3b0c9a97c228","Other","http://www.cdisc.org","2023-09-29","C17649","Code_55"
"3f86382f-7907-4dd1-89ba-6454bd58ab38","Region","http://www.cdisc.org","2023-09-29","C41129","Code_57"
"5dcd0ba0-6436-479a-b027-7426ace7d957","Europe","ISO 3166 1 alpha3","2020-08","150","Code_56"
"ded8e2dd-759b-4a51-a6cf-1d20593d107a","Country","http://www.cdisc.org","2023-09-29","C25464","Code_59"
"dee9720c-3060-4c7e-b686-e7463411357b","Denmark","ISO 3166 1 alpha3","2020-08","DNK","Code_58"
"62bd772b-fdb6-41ca-b84b-f6b2a03c4cf0","Eli Lilly","SPONSOR","12","PHARMA","Code_3"
"89c1a009-5d11-4da9-b4c8-be33a7dfc7bc","Clinical Study Sponsor","http://www.cdisc.org","2023-09-29","C70793","Code_60"
"638949e7-467f-416e-b18d-3db1b7b61e7c","United States of America","ISO 3166 1 alpha3","2020-08","USA","Code_61"
"cfc74d29-6a6a-4032-b35c-26beddac2d1b","Study Registry","http://www.cdisc.org","2023-09-29","C93453","Code_62"
"98c1ea65-d4de-4a71-93f5-bd35d28c81af","Treatment Study","http://www.cdisc.org","2023-09-29","C49656","Code_120"
"64b5e658-bfa4-433e-aa34-9cff80b73a13","Efficacy Study","http://www.cdisc.org","2023-09-29","C49666","Code_121"
"2fac884c-5fef-420b-a5f3-b80287e9f291","Safety Study","http://www.cdisc.org","2023-09-29","C49667","Code_122"
"34534150-7717-4df7-a115-5ec24a8a7eeb","Pharmacokinetic Study","http://www.cdisc.org","2023-09-29","C49663","Code_123"
